Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,C.Blackmon o0.5 Runs Scored,Thespinzone,100,0.1,C.Blackmon,0.2,0.1,Colorado Rockies,Kansas City Royals,0.0,0.4897959183673469,0,0.6,1,0.7,1
0,B.Reynolds o0.5 RBI,Thespinzone,190,0.1,B.Reynolds,0.29,0.1899999999999999,Pittsburgh Pirates,St. Louis Cardinals,1.0,0.3846153846153846,0,0.6,1,0.4,0
1,R.Lewis o0.5 RBI,Thespinzone,210,0.1,R.Lewis,0.31,0.21,Minnesota Twins,Cleveland Guardians,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
0,F.Freeman o1.5 total bases,Dan Servodidio,-110,1.0,F.Freeman,1.9090909090909087,0.9090909090909088,Los Angeles Dodgers,New York Yankees,1.0,0.5087719298245614,1,1.0,1,0.7,1
