Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
C.Morel o0.5 hits+runs+rbi,Rotowire,Tampa Bay Rays,C.Morel,Baltimore Orioles,0.0,0.5483870967741935,1,0.8,1,0.6,1,100,0.75,1.5,0.75
J.Walker o0.5 hits+runs+rbi,Rotowire,St Louis Cardinals,J.Walker,Seattle Mariners,1.0,0.5333333333333333,1,0.4,0,0.4,0,100,0.75,1.5,0.75
B.Rooker o1.5 hits+runs+rbi,Rotowire Prizepicks,Oakland Athletics,B.Rooker,Detroit Tigers,1.0,0.584,1,0.8,1,0.9,1,100,1.5,3.0,1.5
T.Sweeney o0.5 hits+runs+rbi,Rotowire,Detroit Tigers,T.Sweeney,Oakland Athletics,0.0,0.6,1,0.6,1,0.5,0,100,0.75,1.5,0.75
J.Holliday o0.5 hits+runs+rbi,Rotowire,Baltimore Orioles,J.Holliday,Tampa Bay Rays,1.0,0.6363636363636364,1,0.6,1,0.7,1,100,0.75,1.5,0.75
J.Altuve o1.5 hits+runs+rbi,Rotowire,Houston Astros,J.Altuve,Arizona Diamondbacks,1.0,0.5693430656934306,1,0.4,0,0.5,0,100,0.75,1.5,0.75
B.Gamel o0.5 hits+runs+rbi,Rotowire,Houston Astros,B.Gamel,Arizona Diamondbacks,1.0,0.8,1,0.6,1,0.8,1,100,0.75,1.5,0.75
C.Mullins o0.5 hits+runs+rbi,Rotowire,Baltimore Orioles,C.Mullins,Tampa Bay Rays,1.0,0.6083333333333333,1,0.8,1,0.8,1,100,0.75,1.5,0.75
E.Julien o0.5 hits+runs+rbi,Rotowire,Minnesota Twins,E.Julien,Kansas City Royals,0.0,0.4875,0,0.6,1,0.5,0,100,0.75,1.5,0.75
V.Guerrero o1.5 hits+runs+rbi,Rotowire Prizepicks,Toronto Blue Jays,V.Guerrero,Atlanta Braves,0.0,0.572463768115942,1,0.8,1,0.8,1,100,1.5,3.0,1.5
