,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct
0,W.Warren o14.5 Outs,SBK5065,New York Yankees,W.Warren,St Louis Cardinals,1.0,0.5,0,0.5,0,0.5,0,-169,1.0,1.5917159763313609,0.5917159763313609,N
1,Y.Kikuchi u6.5 Ks,PropBetGuy,Houston Astros,Y.Kikuchi,Kansas City Royals,1.0,0.4,0,0.4,0,0.4,0,110,1.0,2.1,1.1,N
2,S.Baz o1.5 BB,PropBetGuy,Tampa Bay Rays,S.Baz,San Diego Padres,1.0,0.625,1,0.8,1,0.625,1,-121,1.21,2.21,1.0,Y
3,M.Vientos o1.5 Hits + Runs + RBIs,MJCLocks,New York Mets,M.Vientos,Chicago White Sox,0.0,0.5411764705882353,1,0.6,1,0.7,1,-125,1.25,2.25,1.0,Y
4,G.Perdomo o0.5 hits+runs+rbi,Rotowire,Arizona Diamondbacks,G.Perdomo,Los Angeles Dodgers,1.0,0.7857142857142857,1,0.8,1,0.8,1,100,0.75,1.5,0.75,N
5,T.Casas o0.5 hits+runs+rbi,Rotowire,Boston Red Sox,T.Casas,Detroit Tigers,0.0,0.6944444444444444,1,0.6,1,0.7,1,100,0.75,1.5,0.75,N
6,W.Warren o4.5 strikeouts,Rotowire,New York Yankees,W.Warren,St Louis Cardinals,1.0,1.0,1,1.0,1,1.0,1,100,0.75,1.5,0.75,N
7,D.Herz o5.5 strikeouts,Rotowire,Washington Nationals,D.Herz,Chicago Cubs,1.0,0.4285714285714285,0,0.6,1,0.5,0,100,0.75,1.5,0.75,N
8,C.Carroll o1.5 hits+runs+rbi,Rotowire Prizepicks,Arizona Diamondbacks,C.Carroll,Los Angeles Dodgers,1.0,0.5546875,1,0.8,1,0.7,1,100,1.5,3.0,1.5,Y
9,W.Warren o4.5 strikeouts,Rotowire Prizepicks,New York Yankees,W.Warren,St Louis Cardinals,1.0,1.0,1,1.0,1,1.0,1,100,1.5,3.0,1.5,N
10,K.Gibson o4.5 strikeouts,Rotowire Prizepicks,St Louis Cardinals,K.Gibson,New York Yankees,0.0,0.6,1,0.8,1,0.7,1,100,1.5,3.0,1.5,Y
11,J.Estes o3.5 strikeouts,Rotowire,Oakland Athletics,J.Estes,Texas Rangers,0.0,0.7222222222222222,1,0.8,1,0.8,1,100,0.75,1.5,0.75,Y
12,D.Herz o5.5 strikeouts,Rotowire Prizepicks,Washington Nationals,D.Herz,Chicago Cubs,1.0,0.4285714285714285,0,0.6,1,0.5,0,100,1.5,3.0,1.5,N
13,W.Warren o4.5 hits allowed,Rotowire Prizepicks,New York Yankees,W.Warren,St Louis Cardinals,1.0,0.75,1,0.75,1,0.75,1,100,1.5,3.0,1.5,Y
14,D.Kremer o15.5 outs,Rotowire,Baltimore Orioles,D.Kremer,Colorado Rockies,0.0,0.631578947368421,1,0.6,1,0.5,0,100,0.75,1.5,0.75,N
15,C.Ragans o5.5 strikeouts,Rotowire,Kansas City Royals,C.Ragans,Houston Astros,0.0,0.7407407407407407,1,0.8,1,0.8,1,100,0.75,1.5,0.75,Y
16,S.Baz o15.5 Outs,SBK5065,Tampa Bay Rays,S.Baz,San Diego Padres,1.0,0.625,1,0.8,1,0.625,1,100,1.0,2.0,1.0,N
17,N.Pivetta o5.5 strikeouts,Rotowire,Boston Red Sox,N.Pivetta,Detroit Tigers,0.0,0.55,1,0.6,1,0.6,1,100,0.75,1.5,0.75,Y
18,D.Herz u15.5 Outs,SBK5065,Washington Nationals,D.Herz,Chicago Cubs,1.0,0.7142857142857143,1,0.6,1,0.7,1,-170,1.0,1.5882352941176472,0.5882352941176472,Y
19,M.Fried o16.5 Outs,SBK5065,Atlanta Braves,M.Fried,Philadelphia Phillies,0.0,0.5652173913043478,1,0.2,0,0.5,0,-125,1.0,1.8,0.8,Y
20,E.Cabrera u15.5 Outs,SBK5065,Miami Marlins,E.Cabrera,San Francisco Giants,0.0,0.6666666666666666,1,0.4,0,0.6,1,-113,1.0,1.8849557522123888,0.8849557522123894,N
