,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,B.Rooker o0.5 Runs Scored,sirlockselot_,140,2.0,B.Rooker,4.8,2.8,Oakland Athletics,Tampa Bay Rays,1,0.4392523364485981,0,0.6,1,0.5,0,N
1,B.Rooker o3.5 Total Bases,theprophunter0_,370,0.27,B.Rooker,1.269,0.999,Oakland Athletics,Tampa Bay Rays,1,0.2710280373831775,0,0.2,0,0.2,0,N
2,B.Rooker o1.5 Hits + Runs + RBIs,theprophunter0_,110,1.0,B.Rooker,2.1,1.1,Oakland Athletics,Tampa Bay Rays,1,0.5794392523364486,1,0.8,1,0.7,1,N
3,B.Rooker o1.5 Total Bases,theprophunter0_,150,0.5,B.Rooker,1.25,0.75,Oakland Athletics,Tampa Bay Rays,1,0.5046728971962616,1,0.8,1,0.5,0,N
4,J.Boyle o3.5 Hits Allowed,JBBets1,-135,1.0,J.Boyle,1.7407407407407407,0.7407407407407407,Oakland Athletics,Tampa Bay Rays,1,0.5,0,0.4,0,0.5,0,N
5,T.Bradley o1.5 BB,Markus_Markets,-135,1.0,T.Bradley,1.7407407407407407,0.7407407407407407,Tampa Bay Rays,Oakland Athletics,0,0.7058823529411765,1,0.6,1,0.8,1,Y
6,M.Betts o3.5 Total Bases,theprophunter0_,350,0.5,M.Betts,2.25,1.75,Los Angeles Dodgers,Seattle Mariners,1,0.2207792207792207,0,0.2,0,0.2,0,N
7,M.Betts o1.5 Total Bases,theprophunter0_,100,1.5,M.Betts,3.0,1.5,Los Angeles Dodgers,Seattle Mariners,1,0.4285714285714285,0,0.4,0,0.4,0,N
8,B.Woo o15.5 Outs,Markus_Markets,-114,1.0,B.Woo,1.8771929824561404,0.8771929824561404,Seattle Mariners,Los Angeles Dodgers,0,0.6428571428571429,1,0.8,1,0.6,1,Y
9,B.Woo o15.5 Outs,Jort,-120,1.2,B.Woo,2.2,1.0000000000000002,Seattle Mariners,Los Angeles Dodgers,0,0.6428571428571429,1,0.8,1,0.6,1,Y
10,B.Woo u1.5 BB,SBK5065,-150,1.0,B.Woo,1.6666666666666663,0.6666666666666665,Seattle Mariners,Los Angeles Dodgers,0,0.9285714285714286,1,1.0,1,0.9,1,N
11,G.Stone u16.5 Outs,PropBetGuy,-115,1.15,G.Stone,2.1499999999999995,0.9999999999999996,Los Angeles Dodgers,Seattle Mariners,1,0.5,0,0.8,1,0.7,1,N
12,Z.Matthews u1.5 BB,SBK5065,-175,1.5,Z.Matthews,2.357142857142857,0.8571428571428572,Minnesota Twins,San Diego Padres,0,1.0,1,1.0,1,1.0,1,N
13,K.Harrison o16.5 Outs,KyleJustBets,-125,1.0,K.Harrison,1.8,0.8,San Francisco Giants,Chicago White Sox,1,0.3809523809523809,0,0.2,0,0.3,0,Y
14,K.Harrison o4.5 Ks,KyleJustBets,-155,1.0,K.Harrison,1.6451612903225803,0.6451612903225805,San Francisco Giants,Chicago White Sox,1,0.5714285714285714,1,0.6,1,0.5,0,Y
15,S.Marte o0.5 RBI,charliedisturco,200,0.5,S.Marte,1.5,1.0,New York Mets,Baltimore Orioles,1,0.3076923076923077,0,0.4,0,0.3,0,N
16,P.Alonso o0.5 RBI,charliedisturco,160,0.5,P.Alonso,1.3,0.8,New York Mets,Baltimore Orioles,1,0.3225806451612903,0,0.4,0,0.4,0,N
17,M.Vientos o1.5 Total Bases,theprophunter0_,-105,1.05,M.Vientos,2.05,0.9999999999999998,New York Mets,Baltimore Orioles,1,0.48,0,0.6,1,0.5,0,N
