,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct
0,K.Gausman u18.5 Outs,SBK5065,Toronto Blue Jays,K.Gausman,Minnesota Twins,0.0,0.6153846153846154,1,0.4,0,0.4,0,-184,1.0,1.5434782608695652,0.5434782608695652,Y
1,A.Oller o3.5 Ks,KyleJustBets,Miami Marlins,A.Oller,San Francisco Giants,0.0,0.5,0,0.5,0,0.5,0,-150,1.5,2.5,1.0,Y
2,J.Soto o1.5 Hits + Runs + RBIs,MJCLocks,New York Yankees,J.Soto,St Louis Cardinals,1.0,0.5923076923076923,1,0.2,0,0.3,0,-125,1.25,2.25,1.0,Y
3,V.Scott o0.5 hits+runs+rbi,Rotowire,St Louis Cardinals,V.Scott,New York Yankees,0.0,0.5789473684210527,1,1.0,1,0.9,1,100,0.75,1.5,0.75,N
4,J.Cannon o15.5 outs,Rotowire,Chicago White Sox,J.Cannon,New York Mets,1.0,0.6,1,0.6,1,0.7,1,100,0.75,1.5,0.75,N
5,F.Valdez o5.5 strikeouts,Rotowire,Houston Astros,F.Valdez,Kansas City Royals,1.0,0.4782608695652174,0,0.8,1,0.7,1,100,0.75,1.5,0.75,Y
6,C.Kershaw o3.5 strikeouts,Rotowire,Los Angeles Dodgers,C.Kershaw,Arizona Diamondbacks,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,100,0.75,1.5,0.75,N
7,L.Butler o1.5 hits+runs+rbi,Rotowire Prizepicks,Oakland Athletics,L.Butler,Texas Rangers,0.0,0.425531914893617,0,1.0,1,0.9,1,100,1.5,3.0,1.5,Y
8,R.Lopez o5.5 strikeouts,Rotowire Prizepicks,Atlanta Braves,R.Lopez,Philadelphia Phillies,0.0,0.5714285714285714,1,0.4,0,0.6,1,100,1.5,3.0,1.5,Y
9,S.Imanaga o5.5 strikeouts,Rotowire Prizepicks,Chicago Cubs,S.Imanaga,Washington Nationals,0.0,0.625,1,0.6,1,0.6,1,100,1.5,3.0,1.5,Y
