,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
1,1,C.Bassitt u5.5 Ks,GDAWG5000,110,0.5,C.Bassitt,1.05,0.55,Toronto Blue Jays,Seattle Mariners,1.0,0.5,0,0.5,0,0.5,0,N
2,2,C.Bassitt u5.5 Ks,GreenDotDaily,115,1.0,C.Bassitt,2.15,1.15,Toronto Blue Jays,Seattle Mariners,1.0,0.5,0,0.5,0,0.5,0,N
3,3,C.Bassitt u5.5 Ks,NicholaskMartin,110,0.75,C.Bassitt,1.5750000000000002,0.8250000000000002,Toronto Blue Jays,Seattle Mariners,1.0,0.5,0,0.5,0,0.5,0,N
4,4,C.Bassitt u5.5 Ks,charliedisturco,115,1.0,C.Bassitt,2.15,1.15,Toronto Blue Jays,Seattle Mariners,1.0,0.5,0,0.5,0,0.5,0,N
5,5,C.Bassitt u5.5 Ks,The_Oddsmaker,115,1.0,C.Bassitt,2.15,1.15,Toronto Blue Jays,Seattle Mariners,1.0,0.5,0,0.5,0,0.5,0,N
6,6,C.Bassitt u5.5 Ks,AnthonyDabbundo,115,1.0,C.Bassitt,2.15,1.15,Toronto Blue Jays,Seattle Mariners,1.0,0.5,0,0.5,0,0.5,0,N
7,7,C.Walker o2.5 Hits+Runs+RBIs,PropBetGuy,-120,1.2,C.Walker,2.2,1.0000000000000002,Arizona Diamondbacks,Colorado Rockies,0.0,0.6363636363636364,1,0.6,1,0.6,1,Y
8,8,C.Quantrill u15.5 Outs,PropBetGuy,-140,1.4,C.Quantrill,2.4,1.0,Colorado Rockies,Arizona Diamondbacks,1.0,1.0,1,1.0,1,1.0,1,N
9,9,M.Betts o0.5 HR,GreenDotDaily,400,0.5,M.Betts,2.5,2.0,Los Angeles Dodgers,Minnesota Twins,0.0,0.3636363636363636,0,0.0,0,0.3,0,N
10,10,L.Varland u15.5 Outs,SBK5065,-145,1.0,L.Varland,1.6896551724137931,0.6896551724137931,Minnesota Twins,Los Angeles Dodgers,1.0,1.0,1,1.0,1,1.0,1,Y
