,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,C.Rea u4.5 Ks,NicholaskMartin,-110,1.0,C.Rea,1.9090909090909087,0.9090909090909092,Milwaukee Brewers,Tampa Bay Rays,1,0.8,1,0.8,1,0.8,1,N
1,1,C.Rea u4.5 Ks,The_Oddsmaker,-110,1.1,C.Rea,2.1,1.0,Milwaukee Brewers,Tampa Bay Rays,1,0.8,1,0.8,1,0.8,1,N
2,2,Z.Eflin u1.5 BB,SBK5065,-160,1.25,Z.Eflin,2.03125,0.78125,Tampa Bay Rays,Milwaukee Brewers,0,0.8333333333333334,1,0.8,1,0.8333333333333334,1,Y
3,3,Z.Eflin u17.5 Outs,cowhitchurch,100,0.5,Z.Eflin,1.0,0.5,Tampa Bay Rays,Milwaukee Brewers,0,0.3333333333333333,0,0.2,0,0.3333333333333333,0,Y
4,4,M.Mikolas u1.5 BB,The_Oddsmaker,-165,1.65,M.Mikolas,2.65,1.0,St Louis Cardinals,Detroit Tigers,0,0.5,0,0.6,1,0.5,0,Y
5,5,M.Mikolas u17.5 Outs,cowhitchurch,-110,0.55,M.Mikolas,1.05,0.5,St Louis Cardinals,Detroit Tigers,0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,N
6,6,M.Kepler o0.5 HR,charliedisturco,330,0.1,M.Kepler,0.43,0.3299999999999999,Minnesota Twins,Chicago White Sox,0,0.0769230769230769,0,0.2,0,0.1,0,N
7,7,M.Kepler o1.5 Total Bases,charliedisturco,-115,0.4,M.Kepler,0.7478260869565218,0.3478260869565217,Minnesota Twins,Chicago White Sox,0,0.2307692307692307,0,0.2,0,0.3,0,N
8,8,C.Flexen u4.5 Ks,SBK5065,-160,1.25,C.Flexen,2.03125,0.78125,Chicago White Sox,Minnesota Twins,1,1.0,1,1.0,1,1.0,1,Y
9,9,C.Flexen o4.5 Ks,_Collin1,120,0.5,C.Flexen,1.1,0.6000000000000001,Chicago White Sox,Minnesota Twins,1,0.0,0,0.0,0,0.0,0,N
10,10,C.Flexen u4.5 Ks,BJCunningham,-150,1.5,C.Flexen,2.5,1.0,Chicago White Sox,Minnesota Twins,1,1.0,1,1.0,1,1.0,1,Y
11,11,S.Imanaga o4.5 Ks,cowhitchurch,-140,0.7,S.Imanaga,1.2,0.5,Chicago Cubs,New York Mets,0,0.6,1,0.6,1,0.6,1,Y
12,12,S.Imanaga u4.5 Ks,_Collin1,110,0.45,S.Imanaga,0.945,0.495,Chicago Cubs,New York Mets,0,0.4,0,0.4,0,0.4,0,N
13,13,A.Heaney o1.5 BB,cowhitchurch,-110,0.55,A.Heaney,1.05,0.5,Texas Rangers,Washington Nationals,1,0.6,1,0.6,1,0.6,1,N
14,14,T.Williams o3.5 Ks,cowhitchurch,118,0.5,T.Williams,1.09,0.5899999999999999,Washington Nationals,Texas Rangers,0,0.6,1,0.6,1,0.6,1,N
15,15,T.Williams u3.5 Ks,_Collin1,-125,0.63,T.Williams,1.134,0.5040000000000001,Washington Nationals,Texas Rangers,0,0.4,0,0.4,0,0.4,0,Y
16,16,C.Sale o17.5 Outs,PropBetGuy,-120,1.2,C.Sale,2.2,1.0000000000000002,Atlanta Braves,Seattle Mariners,0,0.6,1,0.6,1,0.6,1,N
17,17,Q.Priester o15.5 Outs,cowhitchurch,-117,0.59,Q.Priester,1.0942735042735043,0.5042735042735044,Pittsburgh Pirates,Oakland Athletics,0,0.5,0,0.5,0,0.5,0,Y
18,18,T.McKenzie u4.5 Ks,SBK5065,-150,1.25,T.McKenzie,2.083333333333333,0.833333333333333,Cleveland Guardians,Houston Astros,0,0.6,1,0.6,1,0.6,1,N
19,19,Y.Yamamoto o15.5 Outs,cowhitchurch,-119,0.6,Y.Yamamoto,1.104201680672269,0.504201680672269,Los Angeles Dodgers,Arizona Diamondbacks,0,0.4,0,0.4,0,0.4,0,Y
20,20,L.Gil o5.5 Ks,cowhitchurch,-135,0.68,L.Gil,1.1837037037037037,0.5037037037037037,New York Yankees,Baltimore Orioles,0,1.0,1,1.0,1,1.0,1,N
21,21,L.Gil o5.5 ks,Jason Radowitz,-140,1.0,L.Gil,1.7142857142857144,0.7142857142857144,New York Yankees,Baltimore Orioles,0,1.0,1,1.0,1,1.0,1,N
22,22,R.Munoz o4.5 ks,Jason Radowitz,-110,1.0,R.Munoz,1.9090909090909087,0.9090909090909092,Miami Marlins,Colorado Rockies,1,1.0,1,1.0,1,1.0,1,Y
23,23,T.Williams u3.5 ks,Jason Radowitz,-125,1.0,T.Williams,1.8,0.8,Washington Nationals,Texas Rangers,0,0.4,0,0.4,0,0.4,0,Y
24,24,E.Carter o0.5 HR,Jason Radowitz,500,0.1,E.Carter,0.6000000000000001,0.5000000000000001,Texas Rangers,Washington Nationals,1,0.1851851851851851,0,0.2,0,0.3,0,N
25,25,K.Tucker o0.5 HR,Jason Radowitz,425,0.1,K.Tucker,0.525,0.425,Houston Astros,Cleveland Guardians,1,0.1724137931034483,0,0.4,0,0.2,0,Y
26,26,C.Abrams o0.5 hits,Teddy Ricketson,-250,1.0,C.Abrams,1.4,0.3999999999999999,Washington Nationals,Texas Rangers,0,0.8461538461538461,1,1.0,1,0.9,1,N
27,27,M.Betts o1.5 total bases,Rotowire,100,0.75,M.Betts,1.5,0.75,Los Angeles Dodgers,Arizona Diamondbacks,0,0.4666666666666667,0,0.6,1,0.6,1,Y
28,28,M.Siani u1.5 total bases,Rotowire,100,0.75,M.Siani,1.5,0.75,St Louis Cardinals,Detroit Tigers,0,0.8888888888888888,1,1.0,1,0.9,1,N
