,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,S.Perez o0.5 RBI,Thespinzone,143,0.25,S.Perez,0.6074999999999999,0.3574999999999999,Kansas City Royals,Minnesota Twins,0,0.4230769230769231,0,0.2,0,0.5,0,N
1,1,R.Jeffers o0.5 RBI,Thespinzone,175,0.2,R.Jeffers,0.55,0.35,Minnesota Twins,Kansas City Royals,1,0.4347826086956521,0,0.4,0,0.2,0,N
2,2,B.Witt o0.5 Runs Scored,Thespinzone,-103,0.25,B.Witt,0.4927184466019417,0.2427184466019417,Kansas City Royals,Minnesota Twins,0,0.6111111111111112,1,0.8,1,0.7,1,N
3,3,A.Marsh o15.5 Outs,MrTuttle05,115,1.0,A.Marsh,2.15,1.15,Kansas City Royals,Minnesota Twins,0,0.5,0,0.6,1,0.5,0,Y
4,4,J.Ryan u1.5 BB,PropBetGuy,-139,1.39,J.Ryan,2.39,0.9999999999999998,Minnesota Twins,Kansas City Royals,1,0.9,1,0.8,1,0.9,1,Y
5,5,D.Smith o0.5 RBI,Thespinzone,210,0.25,D.Smith,0.775,0.525,Boston Red Sox,Baltimore Orioles,0,0.3333333333333333,0,0.4,0,0.4,0,N
6,6,G.Henderson o0.5 RBI,Thespinzone,150,0.25,G.Henderson,0.625,0.375,Baltimore Orioles,Boston Red Sox,1,0.4705882352941176,0,0.4,0,0.6,1,N
7,7,C.Criswell o3.5 Ks,Thespinzone,108,0.25,C.Criswell,0.52,0.27,Boston Red Sox,Baltimore Orioles,0,0.7142857142857143,1,0.8,1,0.7142857142857143,1,N
8,8,J.Naylor o0.5 HR,charliedisturco,450,0.15,J.Naylor,0.825,0.6749999999999999,Cleveland Guardians,Colorado Rockies,0,0.26,0,0.2,0,0.2,0,N
9,9,R.McMahon o0.5 HR,charliedisturco,525,0.15,R.McMahon,0.9375,0.7875,Colorado Rockies,Cleveland Guardians,1,0.1923076923076923,0,0.4,0,0.4,0,N
11,11,B.Bichette o0.5 HR,charliedisturco,500,0.15,B.Bichette,0.8999999999999999,0.7499999999999999,Toronto Blue Jays,Chicago White Sox,0,0.0612244897959183,0,0.2,0,0.1,0,Y
12,12,V.Guerrero o0.5 HR,charliedisturco,320,0.15,V.Guerrero,0.63,0.48,Toronto Blue Jays,Chicago White Sox,0,0.0961538461538461,0,0.2,0,0.1,0,N
13,13,F.Valdez o16.5 Outs,MrTuttle05,-145,1.45,F.Valdez,2.45,1.0000000000000002,Houston Astros,Seattle Mariners,0,0.4285714285714285,0,0.4,0,0.4285714285714285,0,Y
14,14,M.Parker o15.5 Outs,PropBetGuy,104,1.0,M.Parker,2.04,1.04,Washington Nationals,Atlanta Braves,0,0.5714285714285714,1,0.6,1,0.5714285714285714,1,Y
15,15,N.Nastrini u3.5 ks,Jason Radowitz,106,1.0,N.Nastrini,2.06,1.06,Chicago White Sox,Toronto Blue Jays,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,N
16,16,J.Ryan u5.5 ks,Jason Radowitz,116,1.0,J.Ryan,2.16,1.16,Minnesota Twins,Kansas City Royals,1,0.4,0,0.6,1,0.4,0,N
17,17,T.Rogers u3.5 ks,Jason Radowitz,122,1.0,T.Rogers,2.22,1.2199999999999998,Miami Marlins,San Diego Padres,0,0.4,0,0.6,1,0.4,0,Y
18,18,G.Sheets o0.5 HR,Jason Radowitz,450,0.1,G.Sheets,0.55,0.45,Chicago White Sox,Toronto Blue Jays,1,0.0625,0,0.0,0,0.0,0,Y
19,19,R.Jeffers o0.5 HR,Jason Radowitz,500,0.1,R.Jeffers,0.6000000000000001,0.5000000000000001,Minnesota Twins,Kansas City Royals,1,0.217391304347826,0,0.0,0,0.0,0,N
20,20,K.Tucker o0.5 HR,Jason Radowitz,330,0.1,K.Tucker,0.43,0.3299999999999999,Houston Astros,Seattle Mariners,0,0.2692307692307692,0,0.4,0,0.3,0,N
22,22,N.Castellanos u0.5 hits,Nick Simon,145,1.0,N.Castellanos,2.45,1.4500000000000002,Philadelphia Phillies,San Francisco Giants,0,0.4629629629629629,0,0.4,0,0.6,1,Y
24,24,M.Amaya u1.5 total bases,Rotowire,100,0.75,M.Amaya,1.5,0.75,Chicago Cubs,Milwaukee Brewers,0,0.84375,1,0.8,1,0.9,1,Y
25,25,M.Parker o3.5 strikeouts,Rotowire,100,0.75,M.Parker,1.5,0.75,Washington Nationals,Atlanta Braves,0,0.5714285714285714,1,0.4,0,0.5714285714285714,1,Y
26,26,T.Walker u4.5 strikeouts,Rotowire,100,0.75,T.Walker,1.5,0.75,Philadelphia Phillies,San Francisco Giants,0,0.6,1,0.6,1,0.6,1,Y
27,27,C.Irvin u4.5 strikeouts,Rotowire,100,0.75,C.Irvin,1.5,0.75,Baltimore Orioles,Boston Red Sox,1,0.7142857142857143,1,0.6,1,0.7142857142857143,1,N
28,28,A.Marsh o4.5 strikeouts,Rotowire,100,0.75,A.Marsh,1.5,0.75,Kansas City Royals,Minnesota Twins,0,0.625,1,0.8,1,0.625,1,Y
29,29,C.Bassitt o4.5 strikeouts,Rotowire,100,0.75,C.Bassitt,1.5,0.75,Toronto Blue Jays,Chicago White Sox,0,0.5,0,0.4,0,0.5,0,Y
30,30,J.Ryan u6.5 strikeouts,Rotowire,100,0.75,J.Ryan,1.5,0.75,Minnesota Twins,Kansas City Royals,1,0.6,1,0.8,1,0.6,1,N
