,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,L.Castillo u6.5 Ks,GDAWG5000,120,0.5,1.1,Seattle Mariners,L.Castillo,Boston Red Sox,1.0,0.6000000000000001,Y,1.0,1,1.0,1,1.0,1
1,L.Castillo u6.5 Ks,AnthonyDabbundo,120,1.0,2.2,Seattle Mariners,L.Castillo,Boston Red Sox,1.0,1.2000000000000002,Y,1.0,1,1.0,1,1.0,1
2,L.Castillo u6.5 Ks,BJCunningham,115,1.0,2.15,Seattle Mariners,L.Castillo,Boston Red Sox,1.0,1.15,Y,1.0,1,1.0,1,1.0,1
3,Z.Gallen u5.5 Ks,AnthonyDabbundo,145,1.0,2.45,Arizona Diamondbacks,Z.Gallen,Colorado Rockies,1.0,1.4500000000000002,Y,1.0,1,1.0,1,1.0,1
4,N.Eovaldi u5.5 Ks,Brinson,-145,1.45,2.45,Texas Rangers,N.Eovaldi,Chicago Cubs,1.0,1.0000000000000002,Y,1.0,1,1.0,1,1.0,1
5,N.Eovaldi u5.5 Ks,cowhitchurch,-142,1.42,2.42,Texas Rangers,N.Eovaldi,Chicago Cubs,1.0,1.0,Y,1.0,1,1.0,1,1.0,1
6,N.Eovaldi u5.5 Ks,AnthonyDabbundo,-145,1.45,2.45,Texas Rangers,N.Eovaldi,Chicago Cubs,1.0,1.0000000000000002,Y,1.0,1,1.0,1,1.0,1
7,N.Eovaldi u5.5 Ks,The_Oddsmaker,-145,1.45,2.45,Texas Rangers,N.Eovaldi,Chicago Cubs,1.0,1.0000000000000002,Y,1.0,1,1.0,1,1.0,1
8,J.Steele u5.5 Ks,SBK5065,-135,1.0,1.7407407407407407,Chicago Cubs,J.Steele,Texas Rangers,0.0,0.7407407407407407,N,0.0,0,0.0,0,0.0,0
9,Y.Darvish u5.5 Ks,kylemurray03,-105,1.05,2.05,San Diego Padres,Y.Darvish,San Francisco Giants,1.0,0.9999999999999998,N,0.0,0,0.0,0,0.0,0
10,Y.Darvish u6.5 Ks,SBK5065,-160,1.0,1.625,San Diego Padres,Y.Darvish,San Francisco Giants,1.0,0.625,N,0.0,0,0.0,0,0.0,0
11,N.Velazquez o0.5 HR,Thespinzone,650,0.05,0.375,Kansas City Royals,N.Velazquez,Minnesota Twins,1.0,0.325,N,0.0,0,0.0,0,0.0,0
12,M.Margot u0.5 Hits,SBK5065,138,0.5,1.19,Minnesota Twins,M.Margot,Kansas City Royals,0.0,0.69,N,0.0,0,0.0,0,0.0,0
13,K.Farmer u0.5 Hits,SBK5065,152,0.76,1.9152,Minnesota Twins,K.Farmer,Kansas City Royals,0.0,1.1552,Y,1.0,1,1.0,1,1.0,1
14,P.Lopez u6.5 Ks,SBK5065,-150,1.0,1.6666666666666663,Minnesota Twins,P.Lopez,Kansas City Royals,0.0,0.6666666666666665,N,0.0,0,0.0,0,0.0,0
15,K.Pillar u0.5 Hits,SBK5065,118,1.18,2.5723999999999996,Chicago White Sox,K.Pillar,Detroit Tigers,1.0,1.3923999999999996,Y,1.0,1,1.0,1,1.0,1
16,G.Crochet u4.5 Ks,cowhitchurch,125,1.0,2.25,Chicago White Sox,G.Crochet,Detroit Tigers,1.0,1.25,N,0.0,0,0.0,0,0.0,0
17,G.Crochet u4.5 Ks,AnthonyDabbundo,130,1.0,2.3,Chicago White Sox,G.Crochet,Detroit Tigers,1.0,1.2999999999999998,N,0.0,0,0.0,0,0.0,0
18,M.Keller u5.5 Ks,cowhitchurch,-140,1.0,1.7142857142857144,Pittsburgh Pirates,M.Keller,Miami Marlins,0.0,0.7142857142857144,Y,1.0,1,1.0,1,1.0,1
19,M.Keller u5.5 Ks,The_Oddsmaker,-140,1.0,1.7142857142857144,Pittsburgh Pirates,M.Keller,Miami Marlins,0.0,0.7142857142857144,Y,1.0,1,1.0,1,1.0,1
20,R.Mountcastle o0.5 RBI,Thespinzone,165,0.08,0.212,Baltimore Orioles,R.Mountcastle,Los Angeles Angels,1.0,0.132,Y,1.0,1,1.0,1,1.0,1
21,G.Stanton o0.5 HR,Thespinzone,425,0.05,0.2625,New York Yankees,G.Stanton,Houston Astros,0.0,0.2125,N,0.0,0,0.0,0,0.0,0
22,F.Valdez u5.5 Ks,kylemurray03,100,1.0,2.0,Houston Astros,F.Valdez,New York Yankees,1.0,1.0,Y,1.0,1,1.0,1,1.0,1
23,Y.Diaz o0.5 HR,GDAWG5000,550,0.2,1.3,Houston Astros,Y.Diaz,New York Yankees,1.0,1.1,N,0.0,0,0.0,0,0.0,0
24,Y.Diaz o0.5 HR,The_Oddsmaker,550,0.4,2.6,Houston Astros,Y.Diaz,New York Yankees,1.0,2.2,N,0.0,0,0.0,0,0.0,0
25,T.Glasnow u7.5 Ks,cowhitchurch,-155,0.5,0.8225806451612903,Los Angeles Dodgers,T.Glasnow,St Louis Cardinals,1.0,0.3225806451612902,Y,1.0,1,1.0,1,1.0,1
26,T.Glasnow u7.5 Ks,SBK5065,-132,0.76,1.3357575757575757,Los Angeles Dodgers,T.Glasnow,St Louis Cardinals,1.0,0.5757575757575757,Y,1.0,1,1.0,1,1.0,1
27,Z.Eflin o4.5 Ks,AnthonyDabbundo,100,1.0,2.0,Tampa Bay Rays,Z.Eflin,Toronto Blue Jays,1.0,1.0,Y,1.0,1,1.0,1,1.0,1
28,M.Keller o4.5 Ks,Jason Radowitz,-140,1.0,1.7142857142857144,Pittsburgh Pirates,M.Keller,Miami Marlins,0.0,0.7142857142857144,N,0.0,0,0.0,0,0.0,0
29,T.Skubal o6.5 Ks,Jason Radowitz,-111,1.0,1.900900900900901,Detroit Tigers,T.Skubal,Chicago White Sox,0.0,0.900900900900901,N,0.0,0,0.0,0,0.0,0
