,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct
0,M.Boyd o5.5 Ks,PropBetGuy,Cleveland Guardians,M.Boyd,Chicago White Sox,0,0.6,1,0.6,1,0.6,1,-130,1.3,2.3,0.9999999999999998,Y
2,H.Brown u18.5 Outs,SBK5065,Houston Astros,H.Brown,Oakland Athletics,1,0.8888888888888888,1,0.6,1,0.8,1,-185,1.25,1.925675675675676,0.6756756756756757,Y
3,C.Ragans o15.5 outs,Rotowire,Kansas City Royals,C.Ragans,New York Yankees,0,0.7241379310344828,1,0.4,0,0.7,1,100,0.75,1.5,0.75,Y
4,A.Volpe o0.5 hits+runs+rbi,Rotowire,New York Yankees,A.Volpe,Kansas City Royals,1,0.7762237762237763,1,0.6,1,0.8,1,100,0.75,1.5,0.75,Y
5,L.Arraez o1.5 hits+runs+rbi,Rotowire Prizepicks,San Diego Padres,L.Arraez,Seattle Mariners,0,0.6213592233009708,1,0.8,1,0.7,1,100,1.5,3.0,1.5,N
6,Z.Wheeler o7.5 Ks,rsura_,Philadelphia Phillies,Z.Wheeler,Tampa Bay Rays,1,0.3571428571428571,0,0.2,0,0.3,0,110,1.0,2.1,1.1,Y
7,B.Francis u5.5 Ks,MoneylineHacks,Toronto Blue Jays,B.Francis,New York Mets,1,0.4,0,0.2,0,0.4,0,-112,2.0,3.7857142857142856,1.7857142857142856,Y
8,J.Burger o0.5 HR,theprophunter0_,Miami Marlins,J.Burger,Pittsburgh Pirates,0,0.1932773109243697,0,0.0,0,0.0,0,335,0.25,1.0875,0.8374999999999999,N
9,J.Burger o1.5 Total Bases,theprophunter0_,Miami Marlins,J.Burger,Pittsburgh Pirates,0,0.4201680672268907,0,0.2,0,0.2,0,-120,1.2,2.2,1.0000000000000002,N
11,C.Bradford o16.5 outs,Rotowire Prizepicks,Texas Rangers,C.Bradford,Arizona Diamondbacks,0,0.7,1,1.0,1,0.7,1,100,1.5,3.0,1.5,N
12,C.Mize o15.5 Outs,ThePropfessor_,Detroit Tigers,C.Mize,Colorado Rockies,1,0.5555555555555556,1,0.6,1,0.5,0,-118,1.18,2.18,0.9999999999999998,N
13,S.Suzuki o1.5 Hits + Runs + RBIs,MJCLocks,Chicago Cubs,S.Suzuki,Los Angeles Dodgers,0,0.5508474576271186,1,0.4,0,0.4,0,-115,1.15,2.1499999999999995,0.9999999999999996,Y
14,B.Francis o5.5 Ks,KyleJustBets,Toronto Blue Jays,B.Francis,New York Mets,1,0.6,1,0.8,1,0.6,1,-126,1.0,1.7936507936507935,0.7936507936507935,N
15,F.Lindor o1.5 Hits + Runs + RBIs,LinesAtLunch,New York Mets,F.Lindor,Toronto Blue Jays,0,0.5724137931034483,1,0.4,0,0.7,1,-135,1.35,2.35,1.0,Y
16,T.Gordon o2.5 Earned Runs,LinesAtLunch,Colorado Rockies,T.Gordon,Detroit Tigers,0,0.7142857142857143,1,0.6,1,0.7142857142857143,1,-140,1.4,2.4,1.0,Y
17,C.Mize o15.5 Outs,FirefighterBets,Detroit Tigers,C.Mize,Colorado Rockies,1,0.5555555555555556,1,0.6,1,0.5,0,-120,1.0,1.8333333333333333,0.8333333333333335,N
18,S.Suzuki o1.5 Hits + Runs + RBIs,FirefighterBets,Chicago Cubs,S.Suzuki,Los Angeles Dodgers,0,0.5508474576271186,1,0.4,0,0.4,0,-115,1.0,1.869565217391304,0.8695652173913042,Y
19,Z.Wheeler o7.5 Ks,LinesAtLunch,Philadelphia Phillies,Z.Wheeler,Tampa Bay Rays,1,0.3571428571428571,0,0.2,0,0.3,0,110,1.0,2.1,1.1,Y
20,B.Woo o4.5 Ks,LinesAtLunch,Seattle Mariners,B.Woo,San Diego Padres,1,0.5555555555555556,1,0.8,1,0.7,1,110,1.0,2.1,1.1,Y
21,B.Francis o5.5 Ks,FirefighterBets,Toronto Blue Jays,B.Francis,New York Mets,1,0.6,1,0.8,1,0.6,1,-110,1.0,1.9090909090909087,0.9090909090909092,N
22,J.McCarthy o1.5 Hits + Runs + RBIs,FirefighterBets,Arizona Diamondbacks,J.McCarthy,Texas Rangers,1,0.5178571428571429,1,0.6,1,0.7,1,-107,1.0,1.9345794392523368,0.9345794392523366,N
23,J.Rojas o0.5 hits+runs+rbi,Rotowire,Philadelphia Phillies,J.Rojas,Tampa Bay Rays,1,0.65,1,0.8,1,0.4,0,100,0.75,1.5,0.75,Y
24,C.Ragans o6.5 strikeouts,Rotowire Prizepicks,Kansas City Royals,C.Ragans,New York Yankees,0,0.6551724137931034,1,0.8,1,0.7,1,100,1.5,3.0,1.5,Y
25,M.Harris o1.5 hits+runs+rbi,Rotowire,Atlanta Braves,M.Harris,Washington Nationals,0,0.4408602150537634,0,0.6,1,0.6,1,100,0.75,1.5,0.75,Y
26,C.Ragans u17.5 Outs,PropBetGuy,Kansas City Royals,C.Ragans,New York Yankees,0,0.3448275862068966,0,0.6,1,0.5,0,-120,1.2,2.2,1.0000000000000002,N
27,Y.Diaz o1.5 hits+runs+rbi,Rotowire,Houston Astros,Y.Diaz,Oakland Athletics,1,0.5757575757575758,1,0.6,1,0.7,1,100,0.75,1.5,0.75,N
28,Z.Gelof o0.5 hits+runs+rbi,Rotowire,Oakland Athletics,Z.Gelof,Houston Astros,0,0.6,1,1.0,1,0.7,1,100,0.75,1.5,0.75,Y
29,R.Devers o0.5 HR,charliedisturco,Boston Red Sox,R.Devers,Baltimore Orioles,1,0.203125,0,0.0,0,0.0,0,400,0.15,0.75,0.6,N
30,K.Carpenter o0.5 HR,charliedisturco,Detroit Tigers,K.Carpenter,Colorado Rockies,1,0.1690140845070422,0,0.0,0,0.1,0,550,0.15,0.975,0.825,N
31,T.Ward o1.5 hits+runs+rbi,Rotowire Prizepicks,Los Angeles Angels,T.Ward,Minnesota Twins,0,0.4532374100719424,0,0.8,1,0.7,1,100,1.5,3.0,1.5,Y
32,M.Olson o0.5 HR,charliedisturco,Atlanta Braves,M.Olson,Washington Nationals,0,0.1517241379310344,0,0.0,0,0.0,0,350,0.15,0.6749999999999999,0.5249999999999999,N
33,J.Wilson o0.5 hits+runs+rbi,Rotowire,Oakland Athletics,J.Wilson,Houston Astros,0,0.75,1,0.8,1,0.7,1,100,0.75,1.5,0.75,Y
34,N.Arenado o1.5 hits+runs+rbi,Rotowire Prizepicks,St Louis Cardinals,N.Arenado,Cincinnati Reds,1,0.5255474452554745,1,0.6,1,0.7,1,100,1.5,3.0,1.5,Y
35,L.Raley o0.5 total bases,Rotowire Prizepicks,Seattle Mariners,L.Raley,San Diego Padres,1,0.5042735042735043,1,0.8,1,0.5,0,100,1.5,3.0,1.5,Y
36,B.Perkins o0.5 hits+runs+rbi,Rotowire,Milwaukee Brewers,B.Perkins,San Francisco Giants,0,0.6057692307692307,1,0.4,0,0.7,1,100,0.75,1.5,0.75,Y
37,L.Raley o0.5 hits+runs+rbi,Rotowire,Seattle Mariners,L.Raley,San Diego Padres,1,0.5641025641025641,1,0.8,1,0.6,1,100,0.75,1.5,0.75,Y
38,S.Ohtani o1.5 Total Bases,charliedisturco,Los Angeles Dodgers,S.Ohtani,Chicago Cubs,1,0.5571428571428572,1,0.6,1,0.6,1,105,0.5,1.025,0.5249999999999999,Y
