,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct
0,M.Meyer u4.5 Ks,Markus_Markets,Miami Marlins,M.Meyer,Washington Nationals,1.0,0.7,1,0.8,1,0.7,1,-105,1.0,1.9523809523809523,0.9523809523809524,N
1,D.Peterson o1.5 Earned Runs,SBK5065,New York Mets,D.Peterson,Boston Red Sox,1.0,0.6875,1,0.4,0,0.6,1,-166,1.33,2.1312048192771083,0.8012048192771082,N
2,A.Heaney u15.5 Outs,SBK5065,Texas Rangers,A.Heaney,New York Yankees,1.0,0.64,1,0.8,1,0.7,1,-165,1.0,1.606060606060606,0.606060606060606,Y
4,N.Nastrini u3.5 BB,SBK5065,Chicago White Sox,N.Nastrini,Baltimore Orioles,0.0,0.4285714285714285,0,0.4,0,0.4285714285714285,0,-135,1.25,2.175925925925926,0.925925925925926,N
5,C.Bassitt u18.5 Outs,SBK5065,Toronto Blue Jays,C.Bassitt,Philadelphia Phillies,1.0,0.6666666666666666,1,0.6,1,0.7,1,-189,1.25,1.9113756613756607,0.6613756613756614,Y
6,J.Burger o1.5 hits+runs+rbi,Rotowire,Miami Marlins,J.Burger,Washington Nationals,1.0,0.4464285714285714,0,0.4,0,0.5,0,100,0.75,1.5,0.75,N
7,B.Doyle o0.5 hits+runs+rbi,Rotowire,Colorado Rockies,B.Doyle,Atlanta Braves,0.0,0.751937984496124,1,1.0,1,0.9,1,100,0.75,1.5,0.75,N
8,M.Ozuna o1.5 hits+runs+rbi,Rotowire,Atlanta Braves,M.Ozuna,Colorado Rockies,1.0,0.6058394160583942,1,0.4,0,0.4,0,100,0.75,1.5,0.75,N
9,K.Freeland u2.5 BB,SBK5065,Colorado Rockies,K.Freeland,Atlanta Braves,0.0,0.875,1,0.8,1,0.9,1,-215,1.33,1.9486046511627908,0.6186046511627907,Y
10,M.Olson o1.5 hits+runs+rbi,Rotowire Prizepicks,Atlanta Braves,M.Olson,Colorado Rockies,1.0,0.4817518248175182,0,0.8,1,0.8,1,100,1.5,3.0,1.5,N
11,M.Meyer u2.5 BB,SBK5065,Miami Marlins,M.Meyer,Washington Nationals,1.0,0.7,1,0.4,0,0.7,1,-185,1.0,1.5405405405405406,0.5405405405405406,Y
12,C.Sale o8.5 Ks,LinesAtLunch,Atlanta Braves,C.Sale,Colorado Rockies,1.0,0.48,0,0.6,1,0.6,1,-135,1.35,2.35,1.0,Y
