,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
8,H.Kim o0.5 Runs Scored,Thespinzone,115,0.12,0.258,0.138,H.Kim,San Diego Padres,Los Angeles Dodgers,1.0,,,,,,
12,C.Bellinger o0.5 Runs Scored,Thespinzone,140,0.14,0.336,0.196,C.Bellinger,Chicago Cubs,Atlanta Braves,1.0,,,,,,
16,M.Wallner o0.5 Runs Scored,Thespinzone,160,0.16,0.416,0.256,M.Wallner,Minnesota Twins,Arizona Diamondbacks,1.0,,,,,,
19,M.Moustakas o0.5 Runs Scored,Thespinzone,140,0.1,0.24,0.1399999999999999,M.Moustakas,Los Angeles Angels,Seattle Mariners,1.0,,,,,,
31,D.Schneider o0.5 Runs Scored,Thespinzone,116,0.17,0.3672,0.1972,D.Schneider,Toronto Blue Jays,Boston Red Sox,0.0,,,,,,
36,Y.Diaz o0.5 Runs Scored,Thespinzone,100,0.11,0.22,0.11,Y.Diaz,Tampa Bay Rays,Detroit Tigers,0.0,,,,,,
37,R.Greene o0.5 Runs Scored,Thespinzone,135,0.1,0.235,0.135,R.Greene,Detroit Tigers,Tampa Bay Rays,1.0,,,,,,
5,O.Arcia o0.5 Runs Scored,Thespinzone,165,0.1,0.265,0.165,O.Arcia,Atlanta Braves,Chicago Cubs,0.0,0.3908045977011494,0.0,0.6,1.0,0.5,0.0
6,E.Julien o0.5 Runs Scored,Thespinzone,117,0.12,0.2603999999999999,0.1403999999999999,E.Julien,Minnesota Twins,Arizona Diamondbacks,1.0,0.3968253968253968,0.0,0.4,0.0,0.5,0.0
7,M.Wallner o0.5 Runs Scored,Thespinzone,160,0.16,0.416,0.256,M.Wallner,Minnesota Twins,Arizona Diamondbacks,1.0,0.4482758620689655,0.0,0.6,1.0,0.7,1.0
11,D.Schneider o0.5 Runs Scored,Thespinzone,116,0.17,0.3672,0.1972,D.Schneider,Toronto Blue Jays,Boston Red Sox,0.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Y.Diaz o0.5 Runs Scored,Thespinzone,100,0.11,0.22,0.11,Y.Diaz,Tampa Bay Rays,Detroit Tigers,0.0,0.5212765957446809,1.0,0.6,1.0,0.5,0.0
