,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,A.Baddoo o0.5 RBI,NicholaskMartin,230,0.25,A.Baddoo,0.825,0.575,Detroit Tigers,Texas Rangers,1.0,0.238095238095238,0.0,0.4,0.0,0.5,0.0
1,J.Soler o0.5 RBI,Thespinzone,155,0.08,J.Soler,0.204,0.1239999999999999,Miami Marlins,San Diego Padres,1.0,0.3396226415094339,0.0,0.6,1.0,0.6,1.0
4,F.Freeman o0.5 RBI,Thespinzone,155,0.08,F.Freeman,0.204,0.1239999999999999,Los Angeles Dodgers,Washington Nationals,1.0,0.375,0.0,0.6,1.0,0.5,0.0
5,C.Dickerson o0.5 RBI,Thespinzone,185,0.08,C.Dickerson,0.228,0.148,Washington Nationals,Los Angeles Dodgers,0.0,0.4166666666666667,0.0,0.6,1.0,0.5,0.0
1,M.Moniak o0.5 RBI,Thespinzone,210,0.05,M.Moniak,0.155,0.105,Los Angeles Angels,Chicago White Sox,0.0,,,,,,
6,A.Baddoo o0.5 RBI,NicholaskMartin,230,0.25,A.Baddoo,0.825,0.575,Detroit Tigers,Texas Rangers,1.0,,,,,,
8,J.Heim o0.5 RBI,Thespinzone,155,0.12,J.Heim,0.306,0.186,Texas Rangers,Detroit Tigers,0.0,,,,,,
9,C.Seager o0.5 RBI,Thespinzone,155,0.08,C.Seager,0.204,0.1239999999999999,Texas Rangers,Detroit Tigers,0.0,,,,,,
13,J.Soler o0.5 RBI,Thespinzone,155,0.08,J.Soler,0.204,0.1239999999999999,Miami Marlins,San Diego Padres,1.0,,,,,,
18,F.Freeman o0.5 RBI,Thespinzone,155,0.08,F.Freeman,0.204,0.1239999999999999,Los Angeles Dodgers,Washington Nationals,1.0,,,,,,
19,C.Dickerson o0.5 RBI,Thespinzone,185,0.08,C.Dickerson,0.228,0.148,Washington Nationals,Los Angeles Dodgers,0.0,,,,,,
25,S.Steer o0.5 RBI,Thespinzone,145,0.11,S.Steer,0.2695,0.1595,Cincinnati Reds,Boston Red Sox,0.0,,,,,,
32,C.Carroll o0.5 RBI,Thespinzone,150,0.11,C.Carroll,0.275,0.165,Arizona Diamondbacks,Colorado Rockies,1.0,,,,,,
