Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
K.Gibson u2.5 BB,SBK5065,St Louis Cardinals,K.Gibson,Toronto Blue Jays,0.0,0.6666666666666666,1,0.6,1,0.7,1,-165,1.0,1.606060606060606,0.606060606060606
J.Taillon u1.5 BB,SBK5065,Chicago Cubs,J.Taillon,Colorado Rockies,0.0,0.68,1,0.6,1,0.7,1,-150,1.0,1.6666666666666663,0.6666666666666665
