Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Over?,Under?,Prop Bets
R.Greene o1.5 Total Bases,charliedisturco,125,0.5,R.Greene,1.125,0.625,Detroit Tigers,Los Angeles Angels,1.0,0.4128440366972477,0,0.6,1,0.4,0,1.0,0.0,total bases
S.Ohtani o1.5 Total Bases,theprophunter0_,-105,1.05,S.Ohtani,2.05,0.9999999999999998,Los Angeles Dodgers,Baltimore Orioles,1.0,0.5546875,1,0.8,1,0.7,1,1.0,0.0,total bases
