Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Over?,Under?,Prop Bets
M.King o5.5 Ks,charliedisturco,104,1.0,M.King,2.04,1.04,San Diego Padres,St Louis Cardinals,0.0,0.72,1.0,1.0,1.0,0.9,1.0,,,
D.Peterson u4.5 Ks,PlayerPropSavant,-135,2.03,D.Peterson,3.533703703703704,1.5037037037037035,New York Mets,Arizona Diamondbacks,0.0,0.5333333333333333,1.0,0.6,1.0,0.5,0.0,,,
H.Brown u5.5 Ks,PropBetGuy,-117,1.17,H.Brown,2.17,1.0,Houston Astros,Kansas City Royals,1.0,0.44,0.0,0.2,0.0,0.4,0.0,,,
H.Birdsong o5.5 strikeouts,Rotowire Prizepicks,100,1.5,H.Birdsong,3.0,1.5,San Francisco Giants,Milwaukee Brewers,0.0,0.2,0.0,0.2,0.0,0.2,0.0,1.0,0.0,strikeouts
C.Morton o5.5 strikeouts,Rotowire Prizepicks,100,1.5,C.Morton,3.0,1.5,Atlanta Braves,Philadelphia Phillies,0.0,0.5416666666666666,1.0,0.8,1.0,0.5,0.0,1.0,0.0,strikeouts
J.Aguiar o4.5 strikeouts,Rotowire Prizepicks,100,1.5,J.Aguiar,3.0,1.5,Cincinnati Reds,Oakland Athletics,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,strikeouts
C.Morton o5.5 strikeouts,Rotowire,100,0.75,C.Morton,1.5,0.75,Atlanta Braves,Philadelphia Phillies,0.0,0.5416666666666666,1.0,0.8,1.0,0.5,0.0,1.0,0.0,strikeouts
B.Singer o4.5 strikeouts,Rotowire,100,0.75,B.Singer,1.5,0.75,Kansas City Royals,Houston Astros,0.0,0.6153846153846154,1.0,0.8,1.0,0.7,1.0,,,
