,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
3,J.Soler o0.5 RBI,Thespinzone,145,0.11,J.Soler,0.2695,0.1595,Miami Marlins,Washington Nationals,1.0
7,Y.Alvarez o0.5 RBI,Thespinzone,102,0.08,Y.Alvarez,0.1616,0.0815999999999999,Houston Astros,Chicago Cubs,1.0
8,Y.Alvarez o0.5 RBI,charliedisturco,330,0.3,Y.Alvarez,1.2899999999999998,0.9899999999999998,Houston Astros,Chicago Cubs,1.0
14,J.Soto o0.5 RBI,NicholaskMartin,160,0.5,J.Soto,1.3,0.8,San Diego Padres,Kansas City Royals,1.0
