,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Mike Clevinger,Chicago White Sox,5.2,6,3,3,1,2,2,4.19,101,66,41,6,19,7,14,46,-0.082,0.6,-0.03,0.34,-0.4,17,New York Yankees,0
1,1,Randy Vásquez,New York Yankees,5.2,2,0,0,1,3,0,1.74,86,54,42,4,8,8,8,67,0.284,0.83,0.17,0.81,2.7,17,Chicago White Sox,1
2,2,Clayton Kershaw,Los Angeles Dodgers,7.0,5,0,0,2,9,0,2.95,98,64,34,14,16,8,8,74,0.228,0.68,0.18,0.87,3.8,21,Cincinnati Reds,0
3,3,Graham Ashcraft,Cincinnati Reds,2.2,3,3,3,2,1,0,6.78,46,26,15,4,7,4,5,39,-0.179,1.32,-0.08,1.02,-1.8,8,Los Angeles Dodgers,1
4,4,Bailey Ober,Minnesota Twins,5.1,3,4,3,2,7,1,2.61,88,52,28,14,10,4,8,53,-0.163,0.71,-0.09,0.64,-0.9,16,Tampa Bay Rays,0
5,5,Yonny Chirinos,Tampa Bay Rays,5.2,5,1,1,0,4,1,2.6,65,45,32,6,7,4,14,59,0.16,0.97,0.08,0.82,1.6,17,Minnesota Twins,1
6,6,Kyle Bradish,Baltimore Orioles,5.0,6,3,3,1,10,0,4.25,98,63,32,13,18,7,4,52,-0.151,0.67,-0.1,0.71,-1.0,15,Milwaukee Brewers,0
7,7,Colin Rea,Milwaukee Brewers,5.0,3,0,0,1,8,0,4.47,84,59,30,10,19,2,8,68,0.233,0.83,0.18,1.06,2.6,15,Baltimore Orioles,1
8,8,Alex Cobb,San Francisco Giants,5.0,8,4,4,1,7,0,3.01,83,60,36,11,13,4,12,41,-0.179,0.85,-0.11,0.87,-1.0,15,Colorado Rockies,0
9,9,Chase Anderson,Colorado Rockies,5.1,6,3,3,1,7,2,2.25,92,58,35,13,10,9,6,50,0.004,0.91,0.0,0.29,0.3,16,San Francisco Giants,1
10,10,Lance Lynn,Chicago White Sox,5.0,8,5,5,3,4,1,6.72,98,63,39,9,15,9,10,32,-0.329,1.03,-0.1,0.53,-2.4,15,New York Yankees,0
11,11,Luis Severino,New York Yankees,5.0,6,4,4,2,6,3,5.75,86,55,33,9,13,7,9,43,-0.171,0.78,-0.1,0.76,-1.4,15,Chicago White Sox,1
12,12,Tyler Holton,Detroit Tigers,1.0,0,0,0,1,1,0,2.25,13,7,4,3,0,1,0,53,0.049,0.88,0.01,0.46,0.5,3,Philadelphia Phillies,0
13,13,Zack Wheeler,Philadelphia Phillies,7.1,2,1,1,1,8,0,4.03,108,75,48,15,12,6,10,77,0.3,1.04,0.14,0.81,2.9,22,Detroit Tigers,1
14,14,Framber Valdez,Houston Astros,5.0,4,3,3,4,5,0,2.36,98,53,28,6,19,7,7,48,-0.157,1.62,-0.12,2.09,-0.5,15,Toronto Blue Jays,0
15,15,José Berríos,Toronto Blue Jays,6.0,4,2,2,2,2,1,3.61,89,59,36,8,15,12,7,56,0.085,0.94,0.05,0.95,1.0,18,Houston Astros,1
16,16,Matt Dermody,Boston Red Sox,4.0,4,3,3,1,1,2,6.75,76,45,32,5,8,7,7,42,-0.14,0.66,-0.05,0.38,-1.0,12,Cleveland Guardians,0
17,17,Aaron Civale,Cleveland Guardians,5.2,4,2,2,2,3,1,2.31,93,61,41,5,15,10,8,54,0.118,1.01,0.04,0.63,0.9,17,Boston Red Sox,1
18,18,Justin Verlander,New York Mets,3.0,7,5,4,4,3,1,4.85,82,45,26,11,8,4,9,26,-0.302,1.45,-0.18,1.44,-3.4,9,Atlanta Braves,0
19,19,Spencer Strider,Atlanta Braves,4.0,8,8,8,2,8,2,3.79,87,63,32,16,15,4,8,20,-0.576,1.18,-0.47,1.6,-5.8,12,New York Mets,1
20,20,Drew Smyly,Chicago Cubs,6.0,7,3,2,3,4,1,3.27,103,63,42,9,12,8,14,49,-0.042,1.08,-0.01,0.5,0.2,18,Los Angeles Angels,0
21,21,Reid Detmers,Los Angeles Angels,5.2,5,1,1,2,8,0,4.79,99,60,36,9,15,3,10,61,0.188,1.12,0.1,0.96,1.7,17,Chicago Cubs,1
