,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Eduardo Rodriguez,Detroit Tigers,5.0,10,6,6,1,8,2,3.13,94,65,34,11,20,6,11,30,-0.34,0.77,-0.06,0.21,-3.3,15,,
1,1,Kutter Crawford,Boston Red Sox,4.2,3,2,2,1,2,1,3.8,73,47,30,6,11,3,12,51,0.058,1.01,0.02,0.59,0.6,14,,
2,2,Sonny Gray,Minnesota Twins,6.0,2,0,0,3,7,0,3.04,80,51,27,9,15,8,4,72,0.37,1.18,0.17,0.91,3.1,18,,
3,3,Ranger Suárez,Philadelphia Phillies,6.1,6,2,2,3,8,1,3.88,92,57,29,12,16,6,10,58,0.072,0.88,0.04,0.74,1.4,19,,
4,4,Brandon Williamson,Cincinnati Reds,5.2,2,1,1,2,6,0,4.33,88,55,33,8,14,5,8,65,0.22,1.1,0.16,1.32,1.9,17,,
5,5,Mitch Keller,Pittsburgh Pirates,6.0,5,2,1,3,7,0,4.27,91,61,31,11,19,6,9,60,0.073,1.24,0.0,0.09,1.1,18,,
6,6,Ken Waldichuk,Oakland Athletics,5.0,7,1,1,1,4,0,6.07,96,56,30,12,14,6,12,52,0.158,1.2,0.0,0.0,1.5,15,,
7,7,Trevor Williams,Washington Nationals,4.1,6,5,5,2,4,3,5.2,92,54,34,5,15,3,12,33,-0.272,0.75,-0.0,0.02,-2.7,13,,
8,8,Jameson Taillon,Chicago Cubs,3.0,8,8,8,2,2,1,5.71,89,53,33,8,12,5,11,11,-0.461,0.84,-0.33,0.99,-5.5,9,,
9,9,Hyun Jin Ryu,Toronto Blue Jays,5.0,2,2,0,2,3,0,2.57,86,53,29,6,18,5,9,60,-0.006,0.81,-0.0,0.92,0.5,15,,
10,10,Gerrit Cole,New York Yankees,6.0,6,2,2,2,6,0,2.76,99,66,40,13,13,9,8,56,0.143,1.09,0.04,0.46,1.2,18,,
11,11,Eury Pérez,Miami Marlins,4.0,4,4,4,2,5,1,3.19,82,47,23,17,7,1,10,41,-0.219,0.93,-0.13,0.96,-1.9,12,,
12,12,Tanner Bibee,Cleveland Guardians,7.0,7,2,2,0,5,0,2.9,97,66,45,11,10,6,16,60,0.108,0.34,0.04,0.19,1.5,21,,
13,13,Zach Eflin,Tampa Bay Rays,3.0,9,6,6,1,3,2,3.67,82,52,35,8,9,8,6,19,-0.342,0.55,-0.23,0.63,-4.5,9,,
14,14,Freddy Peralta,Milwaukee Brewers,6.0,4,0,0,3,6,0,4.08,103,65,38,15,12,8,8,67,0.377,1.11,0.26,1.28,3.2,18,,
15,15,Dylan Cease,Chicago White Sox,7.0,5,2,2,2,7,0,4.32,97,67,30,11,26,7,11,64,0.102,0.95,0.0,0.01,1.7,21,,
16,16,Chase Silseth,Los Angeles Angels,5.0,4,0,0,2,5,0,3.27,84,54,34,6,14,5,9,62,0.301,1.2,0.03,0.19,2.6,15,,
17,17,José Urquidy,Houston Astros,5.0,3,1,1,0,7,0,5.5,80,54,38,10,6,7,4,64,0.103,0.81,0.1,1.25,1.2,15,,
18,18,Dane Dunning,Texas Rangers,7.0,7,1,1,0,12,1,3.1,106,76,35,23,18,9,7,71,0.22,0.82,0.16,0.98,2.6,21,,
19,19,Logan Webb,San Francisco Giants,8.2,6,1,1,1,6,0,3.26,107,75,44,10,21,15,10,73,0.639,1.37,0.46,1.65,4.3,26,,
20,20,Seth Lugo,San Diego Padres,5.0,6,2,2,0,4,1,4.16,87,59,34,10,15,8,7,51,0.089,1.06,0.02,0.43,0.6,15,,
21,21,Brandon Pfaadt,Arizona Diamondbacks,5.2,9,3,3,2,8,0,6.91,92,61,34,6,21,7,10,45,-0.06,0.85,-0.02,0.57,-0.3,17,,
22,22,Kyle Freeland,Colorado Rockies,5.0,6,4,4,1,1,1,4.94,89,56,43,5,8,4,16,39,-0.181,0.94,0.0,0.0,-1.3,15,,
23,23,Julio Urías,Los Angeles Dodgers,7.0,4,3,3,0,12,1,4.35,88,69,33,17,19,5,7,69,0.087,0.93,0.03,0.54,0.8,21,,
24,24,Kyle Bradish,Baltimore Orioles,6.0,5,2,2,1,7,0,3.18,90,61,31,15,15,10,6,60,0.061,0.99,0.04,0.98,0.9,18,,
25,25,Bryce Miller,Seattle Mariners,5.2,5,2,1,2,2,0,4.04,85,60,42,7,11,7,14,53,0.026,1.22,0.02,1.51,0.7,17,,
26,26,Luke Weaver,Cincinnati Reds,3.2,6,4,4,1,7,2,6.87,77,45,24,9,12,2,8,39,-0.266,0.98,-0.18,1.09,-2.4,11,,
27,27,Andre Jackson,Pittsburgh Pirates,3.2,5,3,3,2,5,1,5.47,78,50,28,9,13,2,8,42,-0.141,0.94,-0.01,0.08,-1.4,11,,
28,28,Yonny Chirinos,Atlanta Braves,4.2,7,6,6,2,5,0,5.22,95,60,36,11,13,11,5,29,-0.186,1.47,-0.02,0.22,-1.2,14,,
29,29,Kodai Senga,New York Mets,6.0,4,3,3,2,7,0,3.3,107,67,36,15,16,7,8,57,-0.058,0.79,-0.0,0.04,0.1,18,,
