,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Cristian Javier,Houston Astros,4.1,9,8,8,0,4,2,4.34,88,58,39,5,14,8,11,17,-0.108,0.59,-0.12,1.06,-4.3,13,Texas Rangers,0.0
1,1,Martín Pérez,Texas Rangers,1.1,6,6,6,2,0,3,4.81,57,33,25,1,7,0,10,16,-0.369,1.25,-0.39,2.19,-5.2,4,Houston Astros,1.0
2,2,Drew Smyly,Chicago Cubs,3.2,3,3,2,3,5,0,4.0,73,40,20,7,13,3,7,47,-0.03,0.97,-0.01,0.49,-1.5,11,Milwaukee Brewers,0.0
3,3,Julio Teheran,Milwaukee Brewers,6.0,9,6,6,1,7,0,3.64,93,65,37,13,15,11,10,36,-0.247,0.64,-0.19,0.81,-2.9,18,Chicago Cubs,1.0
4,4,Luke Weaver,Cincinnati Reds,5.0,6,2,2,1,2,1,6.72,85,50,38,4,8,8,11,48,0.045,1.25,0.03,1.55,0.5,15,Washington Nationals,0.0
5,5,Jake Irvin,Washington Nationals,6.0,6,3,3,1,3,1,4.7,89,56,33,3,20,9,12,50,-0.046,0.83,-0.0,0.07,0.1,18,Cincinnati Reds,1.0
6,6,Miles Mikolas,St. Louis Cardinals,6.1,4,4,4,2,2,0,4.51,96,62,46,3,13,6,14,49,0.104,1.01,0.01,0.14,0.8,19,Miami Marlins,0.0
7,7,Braxton Garrett,Miami Marlins,5.2,7,3,3,0,6,1,3.61,90,62,34,11,17,8,9,49,0.112,1.17,0.07,1.12,0.9,17,St. Louis Cardinals,1.0
8,8,Tyler Wells,Baltimore Orioles,6.0,5,2,2,2,4,2,3.19,86,56,35,9,12,4,14,56,0.148,1.14,0.1,1.33,1.1,18,New York Yankees,0.0
9,9,Domingo Germán,New York Yankees,4.1,9,3,2,0,5,0,4.52,86,57,31,11,15,4,12,40,-0.165,0.83,-0.11,0.91,-1.6,13,Baltimore Orioles,1.0
10,10,Bryce Elder,Atlanta Braves,6.2,7,2,2,2,1,0,2.45,92,55,39,5,11,13,13,51,0.177,0.88,0.05,0.45,1.2,20,Cleveland Guardians,0.0
11,11,Gavin Williams,Cleveland Guardians,6.1,7,4,4,2,2,3,3.79,91,67,44,7,16,11,11,43,-0.164,0.62,-0.09,0.57,-1.1,19,Atlanta Braves,1.0
12,12,Austin Cox,Kansas City Royals,4.2,7,3,3,2,4,0,3.05,81,53,29,7,17,5,10,40,-0.137,1.33,0.0,0.0,-0.9,14,Minnesota Twins,0.0
13,13,Joe Ryan,Minnesota Twins,6.0,6,2,2,1,9,1,3.42,94,62,27,19,16,3,12,60,0.153,1.13,0.08,1.0,1.1,18,Kansas City Royals,1.0
14,14,Jaime Barria,Los Angeles Angels,5.0,5,4,4,0,5,1,3.31,87,56,29,10,17,4,10,46,-0.208,0.52,-0.14,0.57,-1.5,15,San Diego Padres,0.0
15,15,Blake Snell,San Diego Padres,5.0,7,0,0,4,7,0,3.03,100,55,21,17,17,6,7,56,0.213,1.34,0.04,0.38,2.5,15,Los Angeles Angels,1.0
16,16,Bryan Woo,Seattle Mariners,6.0,3,2,2,2,7,1,4.08,88,59,34,13,12,6,8,63,0.039,1.09,0.01,0.61,1.1,18,San Francisco Giants,0.0
17,17,Logan Webb,San Francisco Giants,6.2,7,2,2,2,11,0,3.38,100,68,32,11,25,7,9,61,0.086,1.4,0.07,1.79,1.3,20,Seattle Mariners,1.0
18,18,Mitch Keller,Pittsburgh Pirates,5.0,8,5,4,1,7,1,3.52,101,66,38,10,18,7,10,39,-0.231,0.91,-0.08,0.51,-2.3,15,Los Angeles Dodgers,0.0
19,19,Michael Grove,Los Angeles Dodgers,4.0,5,1,1,2,3,0,7.02,79,46,24,11,11,8,4,49,0.119,1.29,0.09,1.67,1.2,12,Pittsburgh Pirates,1.0
