,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Dylan Dodd,Atlanta Braves,4.0,6,5,5,3,2,3,7.4,79,50,33,6,11,4,12,29,-0.284,1.03,-0.2,1.23,-2.9,12,Detroit Tigers,0.0
1,1,Michael Lorenzen,Detroit Tigers,6.0,9,6,6,2,3,3,4.23,94,61,42,10,9,7,15,31,-0.318,0.95,-0.07,0.36,-2.9,18,Atlanta Braves,1.0
2,2,Spencer Strider,Atlanta Braves,5.0,7,5,5,2,6,3,4.12,94,59,31,17,11,1,14,37,-0.196,1.04,-0.14,1.28,-2.4,15,Detroit Tigers,0.0
3,3,Reese Olson,Detroit Tigers,3.1,5,7,6,2,2,1,6.08,89,57,39,4,14,8,6,24,-0.462,1.02,-0.11,0.41,-4.6,10,Atlanta Braves,1.0
4,4,Colin Rea,Milwaukee Brewers,5.0,5,4,4,3,4,0,4.71,90,56,31,9,16,4,11,42,-0.23,1.0,-0.16,1.13,-1.4,15,Minnesota Twins,0.0
5,5,Bailey Ober,Minnesota Twins,6.0,6,2,2,1,7,2,2.65,93,68,39,16,13,7,9,58,0.115,0.91,0.06,0.84,1.1,18,Milwaukee Brewers,1.0
6,6,Anthony DeSclafani,San Francisco Giants,3.0,7,5,5,1,7,1,4.31,78,47,20,13,14,4,5,31,-0.364,1.13,-0.24,1.24,-3.4,9,St. Louis Cardinals,0.0
7,7,Jordan Montgomery,St. Louis Cardinals,6.1,7,3,3,2,7,0,3.91,98,67,37,9,21,8,10,52,0.009,0.94,0.0,0.2,0.1,19,San Francisco Giants,1.0
8,8,José Berríos,Toronto Blue Jays,7.2,3,0,0,1,5,0,3.28,90,62,29,8,25,6,14,77,0.474,1.15,0.29,1.15,3.5,23,Baltimore Orioles,0.0
9,9,Kyle Bradish,Baltimore Orioles,7.0,4,1,1,0,1,1,3.9,98,59,37,5,17,11,11,66,0.222,1.01,0.16,1.21,2.4,21,Toronto Blue Jays,1.0
10,10,Austin Gomber,Colorado Rockies,6.0,6,3,3,1,5,0,7.29,91,62,34,12,16,9,10,52,0.05,1.05,0.01,0.27,1.2,18,Boston Red Sox,0.0
