,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Hunter Greene,Cincinnati Reds,6.0,0,0,0,2,11,0,4.18,110,67,37,14,16,3,4,81,0.204,0.45,0.07,0.26,3.3,18,Chicago Cubs,0.0
1,1,Justin Steele,Chicago Cubs,3.2,10,6,5,0,4,0,2.77,70,51,39,6,6,7,11,23,-0.288,0.67,-0.13,0.51,-4.3,11,Cincinnati Reds,1.0
2,2,Lance Lynn,Chicago White Sox,6.0,3,3,1,5,5,0,5.83,104,58,37,8,13,10,6,58,0.102,1.1,0.03,0.53,0.1,18,Detroit Tigers,0.0
3,3,Joey Wentz,Detroit Tigers,4.0,6,5,5,2,4,0,7.8,80,50,29,11,10,5,9,32,-0.291,0.85,-0.15,0.76,-2.9,12,Chicago White Sox,1.0
4,4,Noah Syndergaard,Los Angeles Dodgers,6.0,8,6,6,1,3,1,6.27,94,60,38,8,14,8,15,34,-0.364,0.7,-0.27,0.88,-3.0,18,Tampa Bay Rays,0.0
5,5,Jalen Beeks,Tampa Bay Rays,1.2,3,1,1,1,2,0,4.73,31,19,8,4,7,3,3,46,-0.027,1.19,-0.02,1.19,-0.2,5,Los Angeles Dodgers,1.0
6,6,Jon Gray,Texas Rangers,7.0,4,1,1,1,8,1,2.81,92,61,35,15,11,5,11,72,0.067,0.43,0.05,0.57,2.4,21,Baltimore Orioles,0.0
7,7,Grayson Rodriguez,Baltimore Orioles,3.1,6,9,8,3,6,3,7.35,83,49,23,12,14,3,8,17,-0.429,0.71,-0.3,0.84,-7.3,10,Texas Rangers,1.0
8,8,Joe Musgrove,San Diego Padres,6.1,6,1,1,0,6,0,5.64,88,61,34,8,19,8,11,63,0.221,0.91,0.1,0.67,1.7,19,New York Yankees,0.0
9,9,Randy Vásquez,New York Yankees,4.2,4,2,2,3,6,1,3.86,84,51,25,6,20,2,10,51,-0.026,0.92,-0.01,0.85,0.2,14,San Diego Padres,1.0
10,10,Matthew Liberatore,St. Louis Cardinals,5.0,5,4,4,2,2,0,4.91,91,51,38,5,8,12,6,41,-0.143,1.04,-0.06,0.7,-1.5,15,Cleveland Guardians,0.0
11,11,Shane Bieber,Cleveland Guardians,6.2,5,2,2,4,2,0,3.04,108,60,34,7,19,10,12,54,0.2,0.99,0.06,0.52,1.0,20,St. Louis Cardinals,1.0
