,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Michael Wacha,San Diego Padres,7.0,5,2,2,0,4,1,3.45,92,69,40,12,17,9,11,63,0.109,0.94,0.05,0.71,1.6,21,New York Yankees,0.0
1,1,Luis Severino,New York Yankees,6.2,1,2,1,3,5,1,1.59,82,54,33,5,16,6,11,68,0.255,0.92,0.14,0.85,2.2,20,San Diego Padres,1.0
2,2,Jesse Scholtens,Chicago White Sox,4.2,4,2,2,2,3,0,2.84,68,45,24,6,15,4,11,49,-0.029,0.96,-0.01,0.53,0.3,14,Detroit Tigers,0.0
3,3,Michael Lorenzen,Detroit Tigers,6.2,2,2,0,1,4,0,3.5,95,65,45,7,13,10,8,69,0.347,1.06,0.18,0.9,3.2,20,Chicago White Sox,1.0
4,4,Chris Bassitt,Toronto Blue Jays,4.0,9,7,7,2,5,2,3.8,93,58,37,11,10,6,10,19,-0.506,1.19,-0.23,0.91,-4.9,12,Minnesota Twins,0.0
5,5,Pablo López,Minnesota Twins,5.2,5,4,4,3,6,2,4.11,88,54,28,12,14,3,12,46,-0.095,0.9,-0.05,0.82,-1.1,17,Toronto Blue Jays,1.0
6,6,Andrew Heaney,Texas Rangers,7.0,4,1,1,1,3,1,3.76,95,59,38,5,16,8,11,67,0.359,0.97,0.28,1.27,2.4,21,Baltimore Orioles,0.0
7,7,Dean Kremer,Baltimore Orioles,6.1,5,3,3,2,5,0,4.58,97,63,40,8,15,6,13,54,0.037,0.9,0.03,1.06,0.9,19,Texas Rangers,1.0
8,8,Framber Valdez,Houston Astros,6.0,4,1,1,3,5,0,2.38,95,55,32,10,13,9,8,62,0.276,1.59,0.2,1.9,1.8,18,Oakland Athletics,0.0
9,9,Austin Pruitt,Oakland Athletics,1.0,3,2,2,0,1,1,4.26,29,16,11,1,4,2,4,40,-0.161,0.94,0.0,0.0,-1.5,3,Houston Astros,1.0
10,10,Zack Wheeler,Philadelphia Phillies,8.0,3,0,0,1,12,0,3.6,106,68,33,22,13,4,11,87,0.553,1.02,0.3,0.93,4.4,24,Atlanta Braves,0.0
11,11,Charlie Morton,Atlanta Braves,5.1,7,2,2,4,9,0,3.59,95,60,25,20,15,6,8,51,-0.007,1.22,-0.01,1.67,0.3,16,Philadelphia Phillies,1.0
12,12,Josiah Gray,Washington Nationals,4.0,4,2,2,3,4,1,2.77,91,57,35,13,9,4,8,47,-0.035,1.03,-0.01,0.55,0.1,12,Kansas City Royals,0.0
13,13,Brady Singer,Kansas City Royals,5.0,4,2,2,3,6,0,7.12,90,54,30,9,15,6,7,54,0.061,1.19,0.0,0.07,1.0,15,Washington Nationals,1.0
