,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Logan Allen,Cleveland Guardians,7.0,3,0,0,2,10,0,2.72,103,68,27,19,22,6,8,79,0.393,0.96,0.14,0.57,3.4,21,Baltimore Orioles,0.0
1,1,Tyler Wells,Baltimore Orioles,6.0,4,1,1,0,7,0,3.29,101,65,34,18,13,6,10,67,0.176,1.01,0.12,1.13,1.9,18,Cleveland Guardians,1.0
2,2,Nathan Eovaldi,Texas Rangers,5.0,4,0,0,3,4,0,2.42,95,57,36,11,10,7,7,60,0.272,1.1,0.22,1.46,2.6,15,Detroit Tigers,0.0
3,3,Matthew Boyd,Detroit Tigers,6.0,5,5,5,4,5,1,5.59,87,50,26,10,14,9,8,43,-0.098,0.99,-0.05,0.89,-0.9,18,Texas Rangers,1.0
4,4,Josh Staumont,Kansas City Royals,1.0,0,0,0,0,2,0,4.5,14,8,3,3,2,0,1,55,0.049,0.63,0.0,0.03,0.5,3,St. Louis Cardinals,0.0
5,5,Adam Wainwright,St. Louis Cardinals,5.0,9,3,3,2,6,0,6.15,105,67,36,11,20,7,11,41,-0.077,1.23,-0.03,0.77,-0.4,15,Kansas City Royals,1.0
6,6,Taj Bradley,Tampa Bay Rays,5.2,3,1,0,1,8,0,3.6,90,65,41,10,14,4,8,68,0.179,0.94,0.11,0.93,2.2,17,Chicago Cubs,0.0
7,7,Marcus Stroman,Chicago Cubs,9.0,1,0,0,1,8,0,2.59,105,72,35,19,18,12,7,92,0.773,1.41,0.25,0.77,4.9,27,Tampa Bay Rays,1.0
8,8,Karl Kauffmann,Colorado Rockies,4.0,9,7,7,2,1,2,11.37,76,45,29,4,12,7,12,15,-0.484,1.12,-0.19,0.73,-4.9,12,Arizona Diamondbacks,0.0
9,9,Ryne Nelson,Arizona Diamondbacks,5.0,8,5,5,3,1,1,5.37,87,52,40,3,9,6,14,29,-0.173,1.03,-0.14,1.34,-2.4,15,Colorado Rockies,1.0
10,10,Sonny Gray,Minnesota Twins,6.0,5,3,3,3,3,0,2.09,79,46,28,6,12,10,8,50,0.106,0.93,0.06,0.93,1.1,18,Houston Astros,0.0
11,11,J.P. France,Houston Astros,6.0,7,4,4,3,8,1,4.0,97,58,25,16,17,10,7,47,-0.155,0.77,-0.12,1.02,-0.9,18,Minnesota Twins,1.0
12,12,Rich Hill,Pittsburgh Pirates,6.0,9,6,6,1,3,1,4.76,94,61,38,8,15,6,18,32,-0.301,0.44,-0.21,0.5,-2.9,18,San Francisco Giants,0.0
13,13,Anthony DeSclafani,San Francisco Giants,7.0,8,3,3,0,2,1,3.48,74,48,31,4,13,12,13,51,0.141,0.67,0.09,0.72,0.6,21,Pittsburgh Pirates,1.0
14,14,Michael Soroka,Atlanta Braves,6.0,5,4,4,2,3,1,6.0,83,55,29,11,15,12,7,47,-0.231,1.11,-0.17,1.38,-1.2,18,Oakland Athletics,0.0
15,15,Paul Blackburn,Oakland Athletics,4.0,4,1,1,2,6,0,2.25,81,51,29,10,12,4,6,54,0.078,0.99,0.0,0.0,0.9,12,Atlanta Braves,1.0
16,16,Griffin Canning,Los Angeles Angels,6.0,6,3,3,0,9,2,4.89,87,64,32,18,14,6,8,57,0.081,0.93,0.04,0.8,0.2,18,Chicago White Sox,0.0
17,17,Michael Kopech,Chicago White Sox,4.1,5,4,4,2,10,2,4.52,102,61,30,17,14,2,7,45,-0.208,0.8,-0.04,0.28,-1.9,13,Los Angeles Angels,1.0
18,18,Trevor Williams,Washington Nationals,5.0,6,6,0,3,3,1,3.93,90,55,36,10,9,9,9,43,-0.293,1.11,-0.1,0.65,-3.3,15,Los Angeles Dodgers,0.0
19,19,Bobby Miller,Los Angeles Dodgers,6.0,4,1,1,1,4,0,1.64,87,54,31,7,16,8,9,63,0.179,0.82,0.14,1.07,2.2,18,Washington Nationals,1.0
20,20,Domingo Germán,New York Yankees,6.1,7,4,4,3,4,1,3.98,83,55,31,9,15,9,12,44,-0.029,0.97,-0.02,1.04,-1.5,19,Seattle Mariners,0.0
21,21,Bryce Miller,Seattle Mariners,4.2,11,8,8,0,3,2,3.0,86,58,42,7,9,8,13,13,-0.459,0.79,-0.27,0.76,-5.9,14,New York Yankees,1.0
