,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Logan Allen,Cleveland Guardians,6.0,4,0,0,3,7,0,3.33,87,55,25,15,15,8,5,68,0.377,1.33,0.13,0.79,3.3,18,Cincinnati Reds,0.0
1,1,Graham Ashcraft,Cincinnati Reds,7.0,7,3,3,2,2,0,4.89,102,67,46,6,15,13,12,51,0.013,0.83,0.01,0.94,0.8,21,Cleveland Guardians,1.0
2,2,Cristian Javier,Houston Astros,4.2,6,5,4,1,2,1,4.49,95,58,42,6,10,6,12,35,-0.333,0.98,-0.32,1.54,-2.7,14,Miami Marlins,0.0
3,3,Johnny Cueto,Miami Marlins,5.1,7,5,4,2,3,2,5.57,96,58,39,6,13,8,11,37,-0.264,1.08,-0.17,1.17,-2.1,16,Houston Astros,1.0
4,4,Nick Pivetta,Boston Red Sox,4.1,5,4,4,3,7,0,4.34,86,60,37,8,15,5,6,41,-0.184,1.39,-0.07,0.93,-1.7,13,Washington Nationals,0.0
5,5,Josiah Gray,Washington Nationals,3.0,5,5,5,3,4,1,3.96,83,50,31,10,9,2,8,30,-0.34,1.11,-0.01,0.03,-3.0,9,Boston Red Sox,1.0
6,6,Zack Wheeler,Philadelphia Phillies,7.0,3,1,1,4,5,0,3.63,107,69,43,14,12,8,9,68,0.263,1.26,0.14,1.08,2.5,21,Toronto Blue Jays,0.0
7,7,Yusei Kikuchi,Toronto Blue Jays,6.0,4,1,1,0,7,0,3.44,84,58,35,11,12,4,10,67,0.175,1.06,0.12,1.17,2.0,18,Philadelphia Phillies,1.0
8,8,Bailey Falter,Pittsburgh Pirates,5.1,4,1,1,1,5,1,4.86,82,52,31,6,15,8,6,60,0.178,1.03,0.0,0.03,1.6,16,New York Mets,0.0
9,9,David Peterson,New York Mets,3.2,3,1,1,6,5,1,5.45,91,48,21,12,15,5,3,50,0.084,1.43,0.0,0.12,0.8,11,Pittsburgh Pirates,1.0
