,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Kenta Maeda,Minnesota Twins,2.0,1,1,1,1,0,1,4.15,28,15,10,2,3,1,6,49,-0.005,0.75,-0.0,0.85,0.1,6,Boston Red Sox,0
1,1,Tanner Houck,Boston Red Sox,7.0,6,3,3,1,7,1,4.29,96,63,32,15,16,9,11,59,0.177,0.4,0.08,0.32,0.8,21,Minnesota Twins,1
2,2,Patrick Sandoval,Los Angeles Angels,4.0,4,5,5,6,5,0,3.38,93,50,22,12,16,6,5,33,-0.305,0.73,-0.18,0.72,-2.9,12,New York Yankees,0
3,3,Nestor Cortes,New York Yankees,6.0,4,3,3,2,7,0,3.09,94,60,37,8,15,5,10,57,0.085,0.74,0.05,0.75,0.7,18,Los Angeles Angels,1
4,4,Luke Weaver,Cincinnati Reds,6.0,4,4,4,2,8,2,6.0,93,54,25,13,16,6,7,54,-0.212,0.5,-0.09,0.36,-0.9,18,Pittsburgh Pirates,0
5,5,Roansy Contreras,Pittsburgh Pirates,6.2,5,1,1,2,8,0,4.57,93,60,30,12,18,3,12,66,0.207,0.7,0.14,0.77,2.4,20,Cincinnati Reds,1
6,6,Ryan Feltner,Colorado Rockies,5.2,3,0,0,3,6,0,6.16,84,58,30,11,17,4,10,66,0.296,0.99,0.09,0.51,2.7,17,Philadelphia Phillies,0
7,7,Matt Strahm,Philadelphia Phillies,5.1,3,3,3,2,11,1,3.0,82,53,22,14,17,3,5,59,0.012,0.68,0.01,0.54,0.6,16,Colorado Rockies,1
8,8,Michael Grove,Los Angeles Dodgers,3.0,5,2,2,2,0,1,8.44,67,45,30,1,14,9,5,39,-0.12,1.2,-0.07,1.08,-0.9,9,Chicago Cubs,0
9,9,Javier Assad,Chicago Cubs,3.0,3,2,2,2,3,2,9.82,62,40,26,5,9,3,6,46,-0.059,0.89,-0.04,0.98,-0.4,9,Los Angeles Dodgers,1
10,10,Michael Wacha,San Diego Padres,4.0,10,5,5,1,3,0,7.08,81,56,42,2,12,4,15,24,-0.299,1.14,-0.17,1.08,-2.9,12,Arizona Diamondbacks,0
11,11,Ryne Nelson,Arizona Diamondbacks,5.0,3,5,5,3,4,2,4.91,85,47,28,10,9,6,8,42,-0.232,0.81,-0.17,0.98,-2.4,15,San Diego Padres,1
12,12,Kodai Senga,New York Mets,5.0,5,4,4,4,4,2,4.29,85,52,25,8,19,7,9,41,-0.081,1.04,-0.06,1.21,-1.5,15,San Francisco Giants,0
13,13,Sean Manaea,San Francisco Giants,3.2,4,5,5,3,3,2,6.6,88,51,29,9,13,3,8,33,-0.263,0.98,-0.12,0.75,-3.3,11,New York Mets,1
