,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Freddy Peralta,Milwaukee Brewers,6.0,6,3,3,2,3,2,4.62,85,57,36,5,16,10,10,49,-0.119,0.44,-0.09,0.53,0.0,18,Toronto Blue Jays,0
1,1,Kevin Gausman,Toronto Blue Jays,6.2,5,0,0,2,11,0,2.76,115,74,43,13,18,3,9,73,0.316,0.86,0.14,0.63,3.4,20,Milwaukee Brewers,1
2,2,Joe Musgrove,San Diego Padres,6.0,3,1,0,3,3,0,4.71,80,53,31,7,15,9,8,64,0.178,0.78,0.07,0.54,2.2,18,Miami Marlins,0
3,3,Jesús Luzardo,Miami Marlins,5.1,4,5,5,1,8,1,4.05,93,56,27,7,22,4,8,47,-0.164,0.96,-0.11,1.09,-1.2,16,San Diego Padres,1
4,4,Taijuan Walker,Philadelphia Phillies,4.0,2,3,3,3,2,1,5.65,74,38,22,4,12,6,6,45,-0.156,1.13,-0.07,0.87,-0.9,12,New York Mets,0
5,5,Max Scherzer,New York Mets,7.0,5,2,1,1,9,0,3.21,101,71,37,20,14,8,8,69,0.205,0.94,0.15,1.16,1.6,21,Philadelphia Phillies,1
6,6,Connor Seabold,Colorado Rockies,5.1,3,1,1,2,5,0,5.4,92,63,35,4,24,4,10,61,0.304,1.21,0.08,0.56,2.6,16,Arizona Diamondbacks,0
7,7,Zach Davies,Arizona Diamondbacks,5.2,7,3,3,1,4,0,5.4,96,61,34,4,23,8,11,46,0.043,0.98,0.03,1.23,0.8,17,Colorado Rockies,1
8,8,Hunter Greene,Cincinnati Reds,6.0,2,1,1,3,8,0,3.92,109,67,42,14,11,2,10,69,0.244,1.21,0.13,1.05,2.3,18,Boston Red Sox,0
9,9,Chris Sale,Boston Red Sox,3.2,5,1,1,1,6,0,4.58,59,40,19,12,9,1,8,52,0.053,1.01,0.02,0.71,0.7,11,Cincinnati Reds,1
10,10,Tanner Bibee,Cleveland Guardians,5.0,6,3,3,1,6,1,3.2,96,58,33,8,17,5,10,48,-0.119,1.13,-0.06,0.88,-0.4,15,Minnesota Twins,0
11,11,Pablo López,Minnesota Twins,5.2,8,6,6,1,5,0,4.54,88,67,45,10,12,10,10,33,-0.478,1.29,-0.33,1.48,-3.3,17,Cleveland Guardians,1
12,12,Reid Detmers,Los Angeles Angels,5.0,6,4,4,2,2,0,5.15,82,50,29,9,12,9,10,39,-0.259,1.3,-0.17,1.39,-1.4,15,Houston Astros,0
13,13,Ronel Blanco,Houston Astros,5.1,7,2,2,3,5,1,4.15,94,59,37,11,11,5,13,48,-0.037,1.22,-0.03,1.66,0.1,16,Los Angeles Angels,1
