,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Drew Rasmussen,Tampa Bay Rays,5.0,3,0,0,3,7,0,2.01,78,51,26,6,19,5,5,65,0.097,0.39,0.06,0.43,2.7,15,Cincinnati Reds,0.0
1,1,Levi Stoudt,Cincinnati Reds,4.0,9,7,7,1,3,1,15.75,84,56,33,7,16,8,9,18,-0.391,0.47,-0.17,0.34,-4.8,12,Tampa Bay Rays,1.0
2,2,Cal Quantrill,Cleveland Guardians,6.0,4,0,0,1,4,0,4.15,83,54,38,4,12,9,8,67,0.341,1.03,0.21,1.08,3.1,18,Detroit Tigers,0.0
3,3,Spencer Turnbull,Detroit Tigers,5.1,3,3,3,3,3,1,7.85,82,52,30,7,15,7,8,50,-0.065,1.1,-0.04,1.03,-0.1,16,Cleveland Guardians,1.0
4,4,Alex Cobb,San Francisco Giants,5.0,7,1,1,1,8,0,2.79,92,57,27,14,16,7,7,56,0.147,1.27,0.06,0.83,1.7,15,Miami Marlins,0.0
5,5,Trevor Rogers,Miami Marlins,3.0,3,1,1,1,3,0,4.0,58,35,19,4,12,3,5,51,-0.023,1.03,-0.01,1.01,-0.0,9,San Francisco Giants,1.0
6,6,Madison Bumgarner,Arizona Diamondbacks,3.0,7,7,7,4,2,1,10.26,80,48,31,3,14,5,9,15,-0.5,1.21,-0.35,1.4,-5.4,9,St. Louis Cardinals,0.0
7,7,Jake Woodford,St. Louis Cardinals,5.0,7,4,4,1,1,2,6.05,82,54,33,6,15,12,9,37,-0.093,0.91,-0.04,0.62,-1.4,15,Arizona Diamondbacks,1.0
8,8,Taijuan Walker,Philadelphia Phillies,6.1,5,2,2,2,3,1,3.8,95,62,37,6,19,9,10,56,0.07,0.9,0.03,0.61,0.7,19,Chicago White Sox,0.0
9,9,Mike Clevinger,Chicago White Sox,3.0,6,3,3,1,1,2,3.26,75,46,33,4,9,7,7,35,-0.161,1.12,-0.07,0.85,-1.4,9,Philadelphia Phillies,1.0
10,10,Martín Pérez,Texas Rangers,5.2,8,3,3,0,3,1,3.38,85,58,37,9,12,9,13,44,0.023,0.84,0.02,0.95,-0.1,17,Kansas City Royals,0.0
11,11,Brady Singer,Kansas City Royals,5.0,6,5,5,3,4,0,8.14,97,56,36,3,17,7,10,36,-0.273,0.79,-0.07,0.34,-2.4,15,Texas Rangers,1.0
12,12,Johan Oviedo,Pittsburgh Pirates,6.0,3,1,1,3,6,0,2.22,84,57,26,12,19,8,8,65,0.069,0.21,0.04,0.23,2.6,18,Colorado Rockies,0.0
13,13,Austin Gomber,Colorado Rockies,2.0,9,9,9,3,1,1,12.12,59,33,19,5,9,2,12,0,-0.431,0.68,-0.15,0.38,-7.8,6,Pittsburgh Pirates,1.0
14,14,Max Scherzer,New York Mets,3.0,1,0,0,2,3,0,3.72,47,32,18,6,8,3,4,58,0.159,1.22,0.1,1.34,1.6,9,Los Angeles Dodgers,0.0
15,15,Noah Syndergaard,Los Angeles Dodgers,6.0,5,2,2,2,2,1,4.91,74,46,31,4,11,8,11,54,0.068,1.08,0.04,1.06,1.2,18,New York Mets,1.0
16,16,Justin Steele,Chicago Cubs,6.0,4,2,1,2,5,0,1.44,89,56,38,7,11,8,7,61,0.005,1.17,0.0,1.2,0.8,18,Oakland Athletics,0.0
17,17,Mason Miller,Oakland Athletics,4.1,4,2,2,1,5,0,4.15,81,51,29,10,12,3,8,51,-0.082,1.16,-0.02,0.4,-0.1,13,Chicago Cubs,1.0
18,18,Charlie Morton,Atlanta Braves,6.0,5,1,1,3,5,1,3.22,85,54,25,10,19,6,10,60,0.167,0.95,0.12,1.17,2.0,18,San Diego Padres,0.0
19,19,Nick Martinez,San Diego Padres,7.0,3,0,0,2,6,0,4.01,97,61,37,13,11,8,9,75,0.458,1.27,0.22,1.02,3.5,21,Atlanta Braves,1.0
20,20,Eric Lauer,Milwaukee Brewers,7.2,4,2,2,1,4,1,4.3,93,61,44,4,13,8,14,66,0.088,0.8,0.06,0.91,1.7,23,Seattle Mariners,0.0
21,21,Marco Gonzales,Seattle Mariners,6.0,4,2,2,1,9,0,3.78,90,62,33,11,18,7,5,64,0.176,1.05,0.08,0.79,1.9,18,Milwaukee Brewers,1.0
