,Unnamed: 0,Name,Team,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Opponent,Hmcrt_adv
0,0,Bryce Elder,Atlanta Braves,7.0,3,0,0,0,6,0,1.75,96,64,37,8,19,12,5,77,0.4,0.93,0.32,1.23,3.8,21,Miami Marlins,0.0
1,1,Sandy Alcantara,Miami Marlins,5.0,6,3,3,3,5,1,5.09,103,69,45,11,13,8,7,45,-0.075,0.99,-0.05,1.16,-0.3,15,Atlanta Braves,1.0
2,2,Roansy Contreras,Pittsburgh Pirates,5.1,6,4,4,4,3,1,4.09,99,62,33,13,16,9,8,39,-0.201,1.22,-0.14,1.4,-1.3,16,Tampa Bay Rays,0.0
3,3,Javy Guerra,Tampa Bay Rays,0.2,0,0,0,2,0,0,8.0,19,7,4,0,3,0,2,50,0.006,1.14,0.0,1.2,0.1,2,Pittsburgh Pirates,1.0
4,4,Tanner Bibee,Cleveland Guardians,5.1,4,2,2,0,5,1,2.45,92,56,35,6,15,3,12,57,0.12,0.85,0.07,0.84,1.4,16,New York Yankees,0.0
5,5,Gerrit Cole,New York Yankees,6.0,5,2,2,3,8,0,1.35,108,69,41,6,22,7,8,59,0.051,1.12,0.02,0.87,1.1,18,Cleveland Guardians,1.0
6,6,Hayden Wesneski,Chicago Cubs,6.0,5,1,1,0,2,0,4.45,78,51,31,6,14,15,6,60,0.175,1.05,0.1,1.05,2.1,18,Washington Nationals,0.0
7,7,Trevor Williams,Washington Nationals,5.1,4,0,0,1,4,0,3.41,87,55,33,9,13,6,10,63,0.283,1.08,0.08,0.53,2.5,16,Chicago Cubs,1.0
8,8,Yusei Kikuchi,Toronto Blue Jays,4.1,9,5,5,0,2,2,4.02,93,57,34,12,11,6,13,27,-0.263,0.98,-0.18,1.1,-2.2,13,Boston Red Sox,0.0
9,9,Tanner Houck,Boston Red Sox,6.0,6,6,6,3,5,1,5.34,96,57,36,7,14,7,12,38,-0.351,1.19,-0.19,1.07,-2.7,18,Toronto Blue Jays,1.0
10,10,Joe Ryan,Minnesota Twins,6.0,1,0,0,2,7,0,2.37,87,60,33,13,14,7,4,75,0.375,0.94,0.27,1.12,3.2,18,Chicago White Sox,0.0
11,11,Michael Kopech,Chicago White Sox,6.0,1,1,1,5,7,0,5.97,89,51,25,12,14,5,6,68,0.186,1.14,0.04,0.44,2.2,18,Minnesota Twins,1.0
12,12,Tyler Wells,Baltimore Orioles,6.0,3,4,4,3,4,3,3.34,92,60,31,8,21,8,9,51,-0.073,0.56,-0.05,0.59,-0.9,18,Kansas City Royals,0.0
13,13,Ryan Yarbrough,Kansas City Royals,3.2,5,5,5,3,5,1,7.4,80,48,23,12,13,5,5,33,-0.412,1.14,-0.06,0.28,-3.5,11,Baltimore Orioles,1.0
14,14,Patrick Sandoval,Los Angeles Angels,5.0,3,1,1,3,4,0,2.93,98,62,38,7,17,9,5,58,0.054,0.85,0.03,0.83,0.6,15,St. Louis Cardinals,0.0
15,15,Steven Matz,St. Louis Cardinals,5.0,6,4,4,2,4,1,6.39,93,63,38,11,14,9,8,41,-0.214,0.62,-0.05,0.25,-1.4,15,Los Angeles Angels,1.0
16,16,Zac Gallen,Arizona Diamondbacks,5.0,7,3,3,0,6,0,2.53,94,59,33,12,14,8,7,47,-0.031,1.28,-0.02,1.35,-0.3,15,Texas Rangers,0.0
17,17,Jon Gray,Texas Rangers,5.1,8,4,4,1,2,2,4.4,90,61,44,5,12,7,15,37,-0.208,0.75,-0.14,0.83,-1.5,16,Arizona Diamondbacks,1.0
18,18,Anthony DeSclafani,San Francisco Giants,8.0,3,0,0,0,3,0,2.13,109,70,49,5,16,8,16,79,0.543,1.07,0.2,0.65,4.1,24,Houston Astros,0.0
19,19,Hunter Brown,Houston Astros,4.1,4,2,2,5,4,0,2.6,96,52,29,9,14,4,7,46,-0.053,1.04,-0.03,1.06,-0.4,13,San Francisco Giants,1.0
20,20,Freddy Peralta,Milwaukee Brewers,6.0,7,2,2,3,10,2,3.63,94,61,29,24,8,3,10,57,0.122,0.9,0.08,1.03,1.6,18,Colorado Rockies,0.0
21,21,Ryan Feltner,Colorado Rockies,5.1,6,2,2,1,3,0,4.45,74,48,30,5,13,8,10,50,0.055,1.17,0.01,0.42,1.1,16,Milwaukee Brewers,1.0
22,22,Bryce Miller,Seattle Mariners,6.0,2,1,1,0,10,0,1.5,81,57,29,10,18,2,8,74,0.143,0.95,0.06,0.66,1.8,18,Oakland Athletics,0.0
23,23,Mason Miller,Oakland Athletics,7.0,0,0,0,4,6,0,3.52,100,54,33,11,10,3,11,79,0.439,0.95,0.04,0.15,3.3,21,Seattle Mariners,1.0
24,24,Graham Ashcraft,Cincinnati Reds,6.0,6,1,1,1,3,0,2.0,95,63,40,9,14,10,11,58,0.141,0.94,0.06,0.62,1.6,18,San Diego Padres,0.0
25,25,Michael Wacha,San Diego Padres,6.0,2,0,0,2,3,0,5.46,100,60,36,5,19,4,14,69,0.365,1.16,0.23,1.24,3.0,18,Cincinnati Reds,1.0
26,26,Matt Strahm,Philadelphia Phillies,3.1,6,4,4,1,5,0,3.38,73,45,25,6,14,2,9,36,-0.203,0.87,-0.12,0.84,-2.1,10,Los Angeles Dodgers,0.0
27,27,Julio Urías,Los Angeles Dodgers,7.0,1,1,1,1,10,1,3.86,95,67,30,16,20,6,6,80,0.276,0.68,0.19,0.78,2.8,21,Philadelphia Phillies,1.0
