,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,A.Civale u4.5 Ks,cowhitchurch,110,0.5,A.Civale,1.05,0.55,Tampa Bay Rays,Kansas City Royals,1.0,0.4,0,0.6,1,0.4,0
2,R.Olson o4.5 Ks,Thespinzone,170,0.2,R.Olson,0.54,0.34,Detroit Tigers,Toronto Blue Jays,1.0,0.4444444444444444,0,0.6,1,0.4444444444444444,0
3,R.Olson o3.5 Ks,Brinson,-150,1.5,R.Olson,2.5,1.0,Detroit Tigers,Toronto Blue Jays,1.0,0.6666666666666666,1,0.8,1,0.6666666666666666,1
4,R.Olson o3.5 Ks,AnthonyDabbundo,-150,1.5,R.Olson,2.5,1.0,Detroit Tigers,Toronto Blue Jays,1.0,0.6666666666666666,1,0.8,1,0.6666666666666666,1
5,L.Gilbert u5.5 Ks,cowhitchurch,-110,0.55,L.Gilbert,1.05,0.5,Seattle Mariners,Washington Nationals,0.0,0.2,0,0.4,0,0.2,0
6,A.Suarez o3.5 Ks,cowhitchurch,-101,0.51,A.Suarez,1.014950495049505,0.504950495049505,Baltimore Orioles,Chicago White Sox,0.0,1.0,1,1.0,1,1.0,1
9,M.Lorenzen u4.5 strikeouts,Rotowire,100,0.75,M.Lorenzen,1.5,0.75,Texas Rangers,Minnesota Twins,0.0,0.5714285714285714,1,0.6,1,0.5714285714285714,1
10,M.Keller o4.5 strikeouts,Rotowire,100,0.75,M.Keller,1.5,0.75,Pittsburgh Pirates,Atlanta Braves,1.0,0.6,1,0.8,1,0.6,1
11,E.Fedde o4.5 strikeouts,Rotowire,100,0.75,E.Fedde,1.5,0.75,Chicago White Sox,Baltimore Orioles,1.0,0.5,0,0.4,0,0.5,0
12,T.Williams u4.5 strikeouts,Rotowire,100,0.75,T.Williams,1.5,0.75,Washington Nationals,Seattle Mariners,1.0,0.6666666666666666,1,0.8,1,0.6666666666666666,1
13,M.Mikolas u4.5 strikeouts,Rotowire,100,0.75,M.Mikolas,1.5,0.75,St Louis Cardinals,Chicago Cubs,1.0,0.7,1,0.8,1,0.7,1
11,M.Lorenzen o4.5 Ks,Thespinzone,-110,0.25,M.Lorenzen,0.4772727272727273,0.2272727272727273,Texas Rangers,Minnesota Twins,0.0,0.4285714285714285,0,0.4,0,0.4285714285714285,0
20,S.Sanchez o2.5 strikeouts,Rotowire,100,0.75,S.Sanchez,1.5,0.75,Miami Marlins,Arizona Diamondbacks,0.0,0.4,0,0.4,0,0.4,0
