,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
0,W.Contreras o0.5 Runs Scored,Thespinzone,135,0.1,0.235,0.135,W.Contreras,St. Louis Cardinals,Miami Marlins,1.0
1,F.Freeman o0.5 Runs Scored,Thespinzone,100,0.15,0.3,0.15,F.Freeman,Los Angeles Dodgers,Baltimore Orioles,0.0
