,Unnamed: 0,Name,Team,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Opponent,Hmcrt_adv
0,0,Steven Kwan,Cleveland Guardians,4,1,0,0,1,0,5,0.343,0.366,0.709,-0.087,1.06,-0.05,0.96,-0.8,1,0,0,0,0,0,Pittsburgh Pirates,0.0
1,1,Amed Rosario,Cleveland Guardians,5,1,1,2,0,1,5,0.305,0.36,0.664,0.049,0.84,0.03,0.76,0.6,4,-16,17,0,0,2,Pittsburgh Pirates,0.0
2,2,José Ramírez,Cleveland Guardians,4,1,1,0,0,0,4,0.361,0.494,0.855,-0.009,0.55,-0.01,0.49,-0.3,2,1,0,0,0,1,Pittsburgh Pirates,0.0
3,3,Josh Bell,Cleveland Guardians,4,1,3,2,0,0,4,0.328,0.4,0.728,0.178,0.99,0.1,0.89,2.3,6,-8,0,0,11,6,Pittsburgh Pirates,0.0
4,4,Andrés Giménez,Cleveland Guardians,4,0,1,1,0,0,4,0.32,0.39,0.709,0.016,1.16,0.01,1.04,0.1,2,1,0,0,0,1,Pittsburgh Pirates,0.0
5,5,Tyler Freeman,Cleveland Guardians,4,0,1,0,0,0,4,0.342,0.384,0.725,-0.028,1.01,-0.01,0.91,-0.6,1,1,0,0,0,1,Pittsburgh Pirates,0.0
6,6,David Fry,Cleveland Guardians,3,0,1,0,0,0,3,0.333,0.414,0.747,0.009,1.06,0.01,0.96,0.0,1,-1,2,0,0,2,Pittsburgh Pirates,0.0
7,7,Josh Naylor,Cleveland Guardians,1,0,0,0,0,0,1,0.35,0.522,0.872,-0.041,2.0,-0.02,1.8,-0.2,0,0,0,0,0,0,Pittsburgh Pirates,0.0
8,8,Myles Straw,Cleveland Guardians,3,1,2,0,0,0,4,0.309,0.309,0.618,0.066,1.24,0.03,1.12,0.7,3,-13,15,0,0,3,Pittsburgh Pirates,0.0
9,9,Cam Gallagher,Cleveland Guardians,3,0,0,0,0,2,3,0.167,0.184,0.351,-0.128,1.32,-0.07,1.19,-1.3,0,0,0,0,0,0,Pittsburgh Pirates,0.0
10,10,Will Brennan,Cleveland Guardians,1,0,0,0,0,1,1,0.293,0.377,0.67,-0.04,1.54,-0.02,1.39,-0.2,0,0,0,0,0,0,Pittsburgh Pirates,0.0
11,11,Jack Suwinski,Pittsburgh Pirates,3,0,1,1,0,1,3,0.348,0.492,0.84,0.065,1.24,0.0,0.1,0.6,2,-11,12,0,0,2,Cleveland Guardians,1.0
12,12,Connor Joe,Pittsburgh Pirates,2,0,1,0,0,1,2,0.333,0.427,0.76,0.104,1.86,0.01,0.16,0.6,1,1,0,0,0,1,Cleveland Guardians,1.0
13,13,Bryan Reynolds,Pittsburgh Pirates,4,1,0,1,0,0,4,0.323,0.427,0.75,-0.169,2.4,-0.01,0.2,-1.1,2,0,0,0,0,0,Cleveland Guardians,1.0
14,14,Carlos Santana,Pittsburgh Pirates,3,1,0,0,1,1,4,0.316,0.382,0.698,-0.023,1.64,-0.0,0.14,-0.2,1,0,0,0,0,0,Cleveland Guardians,1.0
15,15,Ji Man Choi,Pittsburgh Pirates,3,1,1,2,1,0,4,0.207,0.436,0.643,0.377,2.12,0.02,0.18,1.6,4,1,0,0,0,1,Cleveland Guardians,1.0
16,16,Henry Davis,Pittsburgh Pirates,3,1,1,0,1,0,4,0.377,0.385,0.762,-0.013,1.23,-0.0,0.11,0.2,2,1,0,0,0,1,Cleveland Guardians,1.0
17,17,Jared Triolo,Pittsburgh Pirates,4,1,2,2,0,1,4,0.368,0.344,0.712,0.172,1.34,0.01,0.12,2.3,5,2,0,0,0,2,Cleveland Guardians,1.0
18,18,Tucupita Marcano,Pittsburgh Pirates,4,0,0,0,0,2,4,0.28,0.362,0.642,-0.139,1.24,-0.01,0.1,-1.6,0,0,0,0,0,0,Cleveland Guardians,1.0
19,19,Nick Gonzales,Pittsburgh Pirates,3,1,2,1,1,0,4,0.296,0.427,0.723,0.13,0.94,0.01,0.08,1.0,4,2,0,0,0,2,Cleveland Guardians,1.0
20,20,Austin Hedges,Pittsburgh Pirates,2,0,0,0,0,0,2,0.224,0.224,0.448,-0.081,1.85,-0.0,0.15,-0.7,0,0,0,0,0,0,Cleveland Guardians,1.0
21,21,Endy Rodríguez,Pittsburgh Pirates,2,1,1,0,0,1,2,0.111,0.111,0.222,0.063,1.14,0.0,0.1,0.2,2,1,0,0,0,1,Cleveland Guardians,1.0
