,Unnamed: 0,Name,Team,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Opponent,Hmcrt_adv
0,0,Nico Hoerner,Chicago Cubs,4,0,1,1,0,1,4,0.349,0.4,0.749,0.188,1.1,0.11,1.05,0.5,2,1,0,0,0,1,Washington Nationals,0.0
1,1,Dansby Swanson,Chicago Cubs,4,0,0,0,0,1,4,0.394,0.379,0.773,-0.113,1.06,-0.06,1.0,-0.9,0,0,0,0,0,0,Washington Nationals,0.0
2,2,Ian Happ,Chicago Cubs,3,0,0,0,1,1,4,0.42,0.467,0.887,0.041,0.98,0.02,0.93,-0.0,0,0,0,0,0,0,Washington Nationals,0.0
3,3,Seiya Suzuki,Chicago Cubs,4,0,1,0,0,1,4,0.354,0.384,0.737,0.195,1.26,0.11,1.2,0.7,1,-2,3,0,0,2,Washington Nationals,0.0
4,4,Cody Bellinger,Chicago Cubs,4,1,2,0,0,1,4,0.369,0.57,0.939,-0.039,1.23,-0.02,1.17,-0.0,3,2,0,0,0,2,Washington Nationals,0.0
5,5,Patrick Wisdom,Chicago Cubs,4,1,1,0,0,3,4,0.322,0.61,0.932,-0.185,1.9,-0.1,1.8,-0.7,2,1,0,0,0,1,Washington Nationals,0.0
6,6,Trey Mancini,Chicago Cubs,4,1,1,1,0,0,4,0.312,0.386,0.698,0.013,2.33,0.01,2.21,0.5,3,-2,3,0,0,2,Washington Nationals,0.0
7,7,Nelson Velázquez,Chicago Cubs,3,0,0,0,0,1,3,0.357,0.72,1.077,-0.152,1.7,-0.09,1.61,-1.1,0,0,0,0,0,0,Washington Nationals,0.0
8,8,Miguel Amaya,Chicago Cubs,2,0,0,1,0,0,3,0.0,0.0,0.0,-0.1,1.48,-0.06,1.4,-0.4,1,0,0,0,0,0,Washington Nationals,0.0
9,9,Alex Call,Washington Nationals,4,1,1,1,0,0,4,0.331,0.35,0.681,0.32,0.97,0.12,0.6,0.3,3,-2,0,0,3,4,Chicago Cubs,1.0
10,10,Luis García,Washington Nationals,3,0,0,0,0,0,3,0.272,0.34,0.612,-0.03,0.39,-0.01,0.24,-0.5,0,0,0,0,0,0,Chicago Cubs,1.0
11,11,Jeimer Candelario,Washington Nationals,3,0,0,0,0,1,3,0.274,0.379,0.653,-0.021,0.26,-0.01,0.16,-0.3,0,0,0,0,0,0,Chicago Cubs,1.0
12,12,Joey Meneses,Washington Nationals,3,1,1,0,0,0,3,0.303,0.346,0.649,0.021,0.52,0.01,0.32,-0.1,2,1,0,0,0,1,Chicago Cubs,1.0
13,13,Dominic Smith,Washington Nationals,3,1,2,0,0,0,3,0.328,0.306,0.633,0.044,0.6,0.02,0.37,0.3,3,2,0,0,0,2,Chicago Cubs,1.0
14,14,Lane Thomas,Washington Nationals,3,1,1,3,0,0,3,0.328,0.38,0.707,0.17,0.75,0.06,0.46,1.8,5,-1,0,0,2,4,Chicago Cubs,1.0
15,15,CJ Abrams,Washington Nationals,3,0,1,0,0,1,3,0.309,0.386,0.695,-0.044,0.88,-0.02,0.54,-0.1,1,1,0,0,0,1,Chicago Cubs,1.0
16,16,Stone Garrett,Washington Nationals,3,0,0,0,0,1,3,0.333,0.429,0.762,-0.074,0.77,-0.03,0.47,-1.1,0,0,0,0,0,0,Chicago Cubs,1.0
17,17,Riley Adams,Washington Nationals,3,0,0,0,0,2,3,0.25,0.263,0.513,-0.038,0.49,-0.01,0.3,-0.3,0,0,0,0,0,0,Chicago Cubs,1.0
18,18,Brandon Nimmo,New York Mets,4,0,1,0,0,1,4,0.394,0.431,0.825,-0.094,1.14,-0.05,1.06,-0.8,1,1,0,0,0,1,Detroit Tigers,0.0
19,19,Starling Marte,New York Mets,4,0,1,0,0,1,4,0.31,0.297,0.607,0.002,0.66,0.0,0.61,0.0,1,1,0,0,0,1,Detroit Tigers,0.0
20,20,Francisco Lindor,New York Mets,3,0,0,0,0,2,3,0.314,0.432,0.746,-0.086,1.18,-0.05,1.1,-0.7,0,0,0,0,0,0,Detroit Tigers,0.0
21,21,Pete Alonso,New York Mets,3,0,0,0,0,2,3,0.316,0.537,0.853,-0.081,1.08,-0.04,1.01,-0.7,0,0,0,0,0,0,Detroit Tigers,0.0
22,22,Tommy Pham,New York Mets,3,0,1,0,0,2,3,0.323,0.444,0.767,-0.038,0.72,-0.02,0.68,-0.3,1,1,0,0,0,1,Detroit Tigers,0.0
