,Unnamed: 0,Name,Team,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Opponent,Hmcrt_adv
0,0,Edouard Julien,Minnesota Twins,4,1,2,1,1,1,5,0.38,0.461,0.841,0.05,0.65,0.0,0.06,1.9,4,2,0,0,0,2,Cincinnati Reds,0.0
1,1,Jorge Polanco,Minnesota Twins,5,0,1,1,0,2,5,0.341,0.457,0.798,-0.025,0.74,-0.0,0.06,-0.2,2,1,0,0,0,1,Cincinnati Reds,0.0
2,2,Royce Lewis,Minnesota Twins,3,0,1,0,1,1,4,0.372,0.548,0.921,0.004,0.67,0.0,0.06,-0.7,1,1,0,0,0,1,Cincinnati Reds,0.0
3,3,Andrew Stevenson,Minnesota Twins,0,0,0,0,1,0,1,0.259,0.2,0.459,0.001,0.04,0.0,0.0,0.4,0,0,0,0,0,0,Cincinnati Reds,0.0
4,4,Max Kepler,Minnesota Twins,3,2,1,0,2,0,5,0.325,0.477,0.802,-0.003,0.92,0.0,0.08,0.8,3,1,0,0,0,1,Cincinnati Reds,0.0
5,5,Willi Castro,Minnesota Twins,5,1,2,2,0,2,5,0.324,0.399,0.723,-0.022,0.85,-0.0,0.07,0.2,5,-6,0,0,8,5,Cincinnati Reds,0.0
6,6,Alex Kirilloff,Minnesota Twins,5,0,0,0,0,2,5,0.345,0.427,0.772,-0.105,0.75,-0.01,0.07,-2.0,0,0,0,0,0,0,Cincinnati Reds,0.0
7,7,Ryan Jeffers,Minnesota Twins,4,1,1,1,1,1,5,0.37,0.464,0.833,0.099,0.52,0.01,0.05,0.4,3,-10,0,0,11,4,Cincinnati Reds,0.0
8,8,Matt Wallner,Minnesota Twins,3,1,2,1,2,0,5,0.363,0.487,0.85,0.186,0.71,0.01,0.06,2.1,4,2,0,0,0,2,Cincinnati Reds,0.0
9,9,Kyle Farmer,Minnesota Twins,5,1,1,0,0,1,5,0.303,0.407,0.71,-0.046,0.72,-0.0,0.07,-0.8,2,1,0,0,0,1,Cincinnati Reds,0.0
10,10,Jonathan India,Cincinnati Reds,4,0,0,0,0,1,4,0.329,0.402,0.732,-0.086,0.86,-0.1,1.67,-1.0,0,0,0,0,0,0,Minnesota Twins,1.0
11,11,TJ Friedl,Cincinnati Reds,4,0,1,0,0,3,4,0.341,0.442,0.783,-0.061,0.63,-0.07,1.23,-0.3,1,1,0,0,0,1,Minnesota Twins,1.0
12,12,Spencer Steer,Cincinnati Reds,3,0,1,0,0,1,3,0.358,0.458,0.816,0.02,0.9,0.02,1.75,0.0,1,-32,33,0,0,2,Minnesota Twins,1.0
13,13,Stuart Fairchild,Cincinnati Reds,1,0,0,0,0,0,1,0.321,0.377,0.698,-0.002,0.09,-0.0,0.18,-0.4,0,0,0,0,0,0,Minnesota Twins,1.0
14,14,Jake Fraley,Cincinnati Reds,2,0,1,0,2,0,4,0.35,0.461,0.811,0.004,0.67,0.01,1.31,0.9,1,1,0,0,0,1,Minnesota Twins,1.0
15,15,Tyler Stephenson,Cincinnati Reds,4,0,0,0,0,1,4,0.322,0.37,0.692,-0.11,0.97,-0.13,1.89,-2.4,0,0,0,0,0,0,Minnesota Twins,1.0
16,16,Joey Votto,Cincinnati Reds,2,0,0,0,0,0,2,0.306,0.454,0.76,-0.045,0.86,-0.05,1.68,-0.4,0,0,0,0,0,0,Minnesota Twins,1.0
17,17,Nick Martini,Cincinnati Reds,1,0,0,0,0,1,1,0.292,0.475,0.767,-0.009,0.34,-0.01,0.66,-0.3,0,0,0,0,0,0,Minnesota Twins,1.0
18,18,Christian Encarnacion-Strand,Cincinnati Reds,3,0,0,0,0,2,3,0.323,0.435,0.759,-0.056,0.72,-0.07,1.39,-0.7,0,0,0,0,0,0,Minnesota Twins,1.0
19,19,Elly De La Cruz,Cincinnati Reds,3,0,0,0,0,3,3,0.297,0.397,0.695,-0.037,0.48,-0.04,0.93,-0.5,0,0,0,0,0,0,Minnesota Twins,1.0
20,20,Will Benson,Cincinnati Reds,3,0,1,0,0,2,3,0.36,0.496,0.856,0.021,0.45,0.02,0.88,0.1,1,1,0,0,0,1,Minnesota Twins,1.0
21,21,Brandon Nimmo,New York Mets,5,0,3,2,0,0,5,0.357,0.456,0.813,0.384,1.82,0.0,0.0,2.0,5,-24,27,0,0,4,Miami Marlins,0.0
22,22,Ronny Mauricio,New York Mets,5,0,1,0,0,1,5,0.333,0.404,0.737,-0.161,2.2,0.0,0.0,-0.3,1,-2,3,0,0,2,Miami Marlins,0.0
23,23,Pete Alonso,New York Mets,4,1,1,0,0,2,4,0.325,0.521,0.846,-0.102,1.19,0.0,0.0,-0.9,2,1,0,0,0,1,Miami Marlins,0.0
24,24,Francisco Lindor,New York Mets,4,0,1,0,0,0,4,0.332,0.454,0.786,-0.026,1.18,0.0,0.0,-0.3,1,1,0,0,0,1,Miami Marlins,0.0
25,25,Francisco Alvarez,New York Mets,4,0,0,0,0,2,4,0.29,0.439,0.729,-0.112,1.04,0.0,0.0,-1.1,0,0,0,0,0,0,Miami Marlins,0.0
26,26,Jeff McNeil,New York Mets,4,1,3,0,0,0,4,0.333,0.376,0.709,0.158,1.23,0.0,0.0,1.2,4,-21,24,0,0,4,Miami Marlins,0.0
27,27,Mark Vientos,New York Mets,4,0,1,0,0,1,4,0.262,0.341,0.602,0.03,1.83,0.0,0.0,-0.2,1,1,0,0,0,1,Miami Marlins,0.0
28,28,DJ Stewart,New York Mets,4,1,1,0,0,1,4,0.342,0.557,0.899,-0.11,2.06,0.0,0.0,-0.7,2,1,0,0,0,1,Miami Marlins,0.0
29,29,Tim Locastro,New York Mets,4,0,0,0,0,1,4,0.348,0.359,0.707,-0.192,2.29,0.0,0.0,-1.6,0,0,0,0,0,0,Miami Marlins,0.0
30,30,Jorge Soler,Miami Marlins,2,1,1,0,3,1,5,0.334,0.518,0.852,0.048,1.21,0.05,2.25,0.8,2,-22,23,0,0,2,New York Mets,1.0
31,31,Josh Bell,Miami Marlins,4,0,1,1,0,1,4,0.317,0.405,0.722,-0.004,1.13,-0.0,2.1,-0.5,2,-24,25,0,0,2,New York Mets,1.0
32,32,Yuli Gurriel,Miami Marlins,1,0,0,0,0,0,1,0.312,0.371,0.683,-0.074,4.28,-0.08,7.96,-0.3,0,0,0,0,0,0,New York Mets,1.0
33,33,Jake Burger,Miami Marlins,4,1,2,1,0,1,5,0.312,0.528,0.841,0.383,1.49,0.43,2.77,1.1,4,2,0,0,0,2,New York Mets,1.0
34,34,Bryan De La Cruz,Miami Marlins,4,0,1,0,0,0,4,0.302,0.417,0.719,-0.081,0.79,-0.09,1.47,-0.6,1,1,0,0,0,1,New York Mets,1.0
35,35,Garrett Hampson,Miami Marlins,4,0,1,1,0,1,4,0.356,0.407,0.764,0.036,0.81,0.04,1.5,0.1,2,1,0,0,0,1,New York Mets,1.0
36,36,Jazz Chisholm Jr.,Miami Marlins,4,0,0,0,0,1,4,0.303,0.456,0.76,-0.046,0.57,-0.05,1.05,-0.7,0,0,0,0,0,0,New York Mets,1.0
37,37,Jon Berti,Miami Marlins,3,1,1,0,1,0,4,0.317,0.356,0.672,0.063,0.72,0.07,1.35,0.3,2,-14,15,0,0,2,New York Mets,1.0
38,38,Nick Fortes,Miami Marlins,2,0,0,0,0,2,4,0.268,0.306,0.574,0.047,1.49,0.05,2.78,-0.0,0,0,0,0,0,0,New York Mets,1.0
39,39,Xavier Edwards,Miami Marlins,3,0,1,0,0,1,4,0.317,0.345,0.661,-0.002,1.64,-0.0,3.06,-0.5,1,1,0,0,0,1,New York Mets,1.0
40,40,Nolan Schanuel,Los Angeles Angels,3,0,0,0,1,0,4,0.406,0.341,0.747,-0.063,0.86,0.0,0.0,-0.4,0,0,0,0,0,0,Tampa Bay Rays,0.0
41,41,Zach Neto,Los Angeles Angels,4,1,1,1,0,0,4,0.301,0.386,0.688,0.184,0.99,0.0,0.0,0.4,3,-8,0,0,9,4,Tampa Bay Rays,0.0
42,42,Brandon Drury,Los Angeles Angels,3,0,2,0,0,1,4,0.302,0.471,0.773,0.079,0.86,0.0,0.0,0.4,2,-24,26,0,0,3,Tampa Bay Rays,0.0
43,43,Jared Walsh,Los Angeles Angels,4,0,0,0,0,4,4,0.231,0.288,0.518,-0.164,1.55,0.0,0.0,-1.0,0,0,0,0,0,0,Tampa Bay Rays,0.0
44,44,Logan O'Hoppe,Los Angeles Angels,4,1,1,1,0,0,4,0.278,0.486,0.765,0.033,0.76,0.0,0.0,0.3,3,-10,0,0,11,4,Tampa Bay Rays,0.0
45,45,Jo Adell,Los Angeles Angels,4,0,1,0,0,1,4,0.278,0.647,0.925,-0.036,0.76,0.0,0.0,-0.3,1,-1,2,0,0,0,Tampa Bay Rays,0.0
46,46,Randal Grichuk,Los Angeles Angels,3,0,0,0,0,1,4,0.325,0.463,0.788,-0.079,0.79,0.0,0.0,-0.5,0,0,0,0,0,0,Tampa Bay Rays,0.0
47,47,Brett Phillips,Los Angeles Angels,4,0,0,0,0,2,4,0.3,0.396,0.696,-0.082,0.8,0.0,0.0,-0.8,0,0,0,0,0,0,Tampa Bay Rays,0.0
48,48,David Fletcher,Los Angeles Angels,3,0,0,0,0,0,3,0.266,0.344,0.61,-0.094,1.25,0.0,0.0,-0.6,0,0,0,0,0,0,Tampa Bay Rays,0.0
49,49,Yandy Díaz,Tampa Bay Rays,4,1,3,0,1,0,5,0.402,0.507,0.909,0.164,0.6,0.08,0.5,1.4,4,-30,33,0,0,4,Los Angeles Angels,1.0
50,50,Randy Arozarena,Tampa Bay Rays,4,1,1,2,0,3,4,0.366,0.432,0.798,0.02,1.09,0.01,0.92,0.1,4,-22,0,0,23,4,Los Angeles Angels,1.0
51,51,Harold Ramírez,Tampa Bay Rays,3,0,0,0,1,1,4,0.343,0.448,0.791,-0.065,0.82,-0.03,0.69,-0.7,0,0,0,0,0,0,Los Angeles Angels,1.0
52,52,Isaac Paredes,Tampa Bay Rays,2,1,1,0,2,1,4,0.353,0.489,0.842,0.086,1.05,0.04,0.89,0.6,2,1,0,0,0,1,Los Angeles Angels,1.0
53,53,Manuel Margot,Tampa Bay Rays,4,0,0,0,0,0,4,0.294,0.352,0.646,-0.159,1.49,-0.08,1.25,-1.7,0,0,0,0,0,0,Los Angeles Angels,1.0
54,54,Curtis Mead,Tampa Bay Rays,2,0,1,0,0,0,2,0.37,0.383,0.753,0.022,0.72,0.01,0.61,0.4,1,-2,3,0,0,2,Los Angeles Angels,1.0
55,55,Brandon Lowe,Tampa Bay Rays,2,1,1,0,0,1,2,0.326,0.447,0.772,0.117,1.73,0.06,1.46,0.4,2,1,0,0,0,1,Los Angeles Angels,1.0
56,56,Taylor Walls,Tampa Bay Rays,2,1,0,0,2,2,4,0.313,0.347,0.659,-0.002,1.56,-0.0,1.31,-0.0,1,0,0,0,0,0,Los Angeles Angels,1.0
57,57,Osleivis Basabe,Tampa Bay Rays,3,1,1,2,1,2,4,0.284,0.324,0.608,0.135,1.87,0.07,1.57,1.2,4,-4,5,0,0,2,Los Angeles Angels,1.0
58,58,René Pinto,Tampa Bay Rays,4,0,1,2,0,1,4,0.28,0.475,0.755,-0.04,0.7,-0.02,0.59,0.3,3,1,0,0,0,1,Los Angeles Angels,1.0
59,59,George Springer,Toronto Blue Jays,4,2,2,1,1,1,5,0.33,0.406,0.736,0.09,0.42,0.06,0.49,0.7,5,-18,0,0,20,5,New York Yankees,0.0
60,60,Bo Bichette,Toronto Blue Jays,4,2,2,2,1,0,5,0.336,0.474,0.811,0.272,0.61,0.19,0.71,2.0,6,-17,0,0,19,5,New York Yankees,0.0
61,61,Vladimir Guerrero Jr.,Toronto Blue Jays,5,0,0,0,0,0,5,0.342,0.44,0.781,0.03,0.73,0.02,0.85,0.7,0,0,0,0,0,0,New York Yankees,0.0
62,62,Cavan Biggio,Toronto Blue Jays,5,0,2,1,0,0,5,0.332,0.384,0.716,0.064,0.57,0.04,0.67,0.5,3,2,0,0,0,2,New York Yankees,0.0
63,63,Davis Schneider,Toronto Blue Jays,3,0,0,0,1,0,4,0.417,0.635,1.052,-0.058,0.88,-0.04,1.03,-0.8,0,0,0,0,0,0,New York Yankees,0.0
64,64,Daulton Varsho,Toronto Blue Jays,4,0,1,0,0,0,4,0.286,0.376,0.662,-0.075,0.85,-0.05,0.99,-0.7,1,1,0,0,0,1,New York Yankees,0.0
65,65,Matt Chapman,Toronto Blue Jays,4,1,1,0,0,0,4,0.335,0.43,0.765,-0.074,0.83,-0.05,0.97,-0.5,2,-37,38,0,0,2,New York Yankees,0.0
66,66,Alejandro Kirk,Toronto Blue Jays,4,1,1,2,0,0,4,0.339,0.358,0.697,-0.054,0.72,-0.04,0.84,0.4,4,-6,0,0,7,4,New York Yankees,0.0
67,67,Kevin Kiermaier,Toronto Blue Jays,4,1,1,0,0,1,4,0.323,0.425,0.747,-0.043,0.46,-0.03,0.54,0.0,2,-17,18,0,0,2,New York Yankees,0.0
68,68,DJ LeMahieu,New York Yankees,3,0,1,0,1,2,4,0.324,0.397,0.722,0.054,0.83,0.0,0.04,0.4,1,1,0,0,0,1,Toronto Blue Jays,1.0
69,69,Aaron Judge,New York Yankees,4,1,2,0,0,2,4,0.394,0.577,0.971,-0.051,1.05,-0.0,0.05,-0.1,3,2,0,0,0,2,Toronto Blue Jays,1.0
70,70,Gleyber Torres,New York Yankees,4,0,2,1,0,1,4,0.345,0.462,0.807,0.102,1.03,0.0,0.05,0.6,3,-25,27,0,0,3,Toronto Blue Jays,1.0
71,71,Giancarlo Stanton,New York Yankees,4,0,0,0,0,2,4,0.276,0.426,0.702,-0.177,1.26,-0.01,0.06,-2.1,0,0,0,0,0,0,Toronto Blue Jays,1.0
72,72,Anthony Volpe,New York Yankees,3,0,0,0,0,0,3,0.286,0.39,0.677,-0.082,1.02,-0.0,0.05,-0.7,0,0,0,0,0,0,Toronto Blue Jays,1.0
73,73,Isiah Kiner-Falefa,New York Yankees,3,0,1,0,0,2,3,0.306,0.34,0.646,0.004,0.73,0.0,0.04,0.1,1,1,0,0,0,1,Toronto Blue Jays,1.0
74,74,Oswald Peraza,New York Yankees,3,0,0,0,0,2,3,0.284,0.266,0.55,-0.072,0.98,-0.0,0.05,-0.7,0,0,0,0,0,0,Toronto Blue Jays,1.0
75,75,Kyle Higashioka,New York Yankees,2,0,0,0,0,1,2,0.272,0.408,0.68,-0.047,0.96,-0.0,0.04,-0.5,0,0,0,0,0,0,Toronto Blue Jays,1.0
76,76,Austin Wells,New York Yankees,1,0,0,0,0,0,1,0.167,0.205,0.372,-0.028,1.09,-0.0,0.05,-0.2,0,0,0,0,0,0,Toronto Blue Jays,1.0
77,77,Oswaldo Cabrera,New York Yankees,3,0,0,0,0,0,3,0.289,0.314,0.602,-0.052,0.64,-0.0,0.03,-0.5,0,0,0,0,0,0,Toronto Blue Jays,1.0
78,78,Tim Anderson,Chicago White Sox,3,0,1,0,1,0,4,0.294,0.305,0.6,-0.024,0.96,0.0,0.0,-0.1,1,1,0,0,0,1,Washington Nationals,0.0
79,79,Andrew Benintendi,Chicago White Sox,4,0,0,0,0,0,4,0.332,0.363,0.695,-0.104,1.06,0.0,0.0,-1.0,0,0,0,0,0,0,Washington Nationals,0.0
80,80,Luis Robert Jr.,Chicago White Sox,4,2,3,1,0,0,4,0.316,0.543,0.859,0.23,1.12,0.0,0.0,1.9,6,-70,36,0,37,0,Washington Nationals,0.0
81,81,Eloy Jiménez,Chicago White Sox,4,0,0,0,0,1,4,0.313,0.439,0.751,-0.147,1.5,0.0,0.0,-1.3,0,0,0,0,0,0,Washington Nationals,0.0
82,82,Yoán Moncada,Chicago White Sox,4,1,2,2,0,1,4,0.304,0.417,0.721,0.212,1.48,0.0,0.0,1.2,5,-7,0,0,9,5,Washington Nationals,0.0
83,83,Andrew Vaughn,Chicago White Sox,4,0,0,0,0,1,4,0.314,0.432,0.746,-0.153,1.56,0.0,0.0,-0.9,0,0,0,0,0,0,Washington Nationals,0.0
84,84,Gavin Sheets,Chicago White Sox,2,0,1,0,0,0,2,0.272,0.348,0.619,0.02,0.8,0.0,0.0,0.2,1,1,0,0,0,1,Washington Nationals,0.0
85,85,Trayce Thompson,Chicago White Sox,1,0,0,0,1,1,2,0.288,0.32,0.608,0.043,1.77,0.0,0.0,0.0,0,0,0,0,0,0,Washington Nationals,0.0
86,86,Elvis Andrus,Chicago White Sox,4,0,0,0,0,0,4,0.31,0.363,0.673,-0.244,1.98,0.0,0.0,-1.4,0,0,0,0,0,0,Washington Nationals,0.0
87,87,Korey Lee,Chicago White Sox,3,0,1,0,0,0,3,0.151,0.163,0.314,-0.038,0.97,0.0,0.0,-0.3,1,0,1,0,0,2,Washington Nationals,0.0
88,88,CJ Abrams,Washington Nationals,3,0,1,0,1,1,4,0.3,0.416,0.716,0.0,0.94,0.0,0.0,0.5,1,-5,0,6,0,3,Chicago White Sox,1.0
89,89,Lane Thomas,Washington Nationals,3,0,0,1,0,1,4,0.317,0.467,0.785,-0.056,1.37,0.0,0.0,-1.0,1,0,0,0,0,0,Chicago White Sox,1.0
90,90,Keibert Ruiz,Washington Nationals,4,0,1,0,0,1,4,0.302,0.398,0.7,-0.047,0.78,0.0,0.0,-0.7,1,1,0,0,0,1,Chicago White Sox,1.0
91,91,Dominic Smith,Washington Nationals,4,0,0,0,0,0,4,0.328,0.362,0.69,-0.159,1.25,0.0,0.0,-1.3,0,0,0,0,0,0,Chicago White Sox,1.0
92,92,Ildemaro Vargas,Washington Nationals,3,1,1,0,1,0,4,0.306,0.361,0.668,0.118,1.2,0.0,0.0,0.5,2,1,0,0,0,1,Chicago White Sox,1.0
93,93,Luis García,Washington Nationals,2,0,0,0,0,0,2,0.287,0.362,0.649,-0.08,1.26,0.0,0.0,-0.6,0,0,0,0,0,0,Chicago White Sox,1.0
94,94,Carter Kieboom,Washington Nationals,1,1,1,0,0,0,1,0.254,0.373,0.627,0.137,2.58,0.0,0.0,0.7,2,1,0,0,0,1,Chicago White Sox,1.0
95,95,Drew Millas,Washington Nationals,3,0,0,0,0,1,3,0.333,0.474,0.807,-0.206,2.09,0.0,0.0,-1.2,0,0,0,0,0,0,Chicago White Sox,1.0
96,96,Blake Rutherford,Washington Nationals,2,0,0,0,0,0,2,0.194,0.171,0.366,-0.076,1.38,0.0,0.0,-0.6,0,0,0,0,0,0,Chicago White Sox,1.0
97,97,Joey Meneses,Washington Nationals,1,1,1,3,0,0,1,0.326,0.406,0.733,0.506,3.92,0.0,0.0,2.6,5,-11,0,0,12,4,Chicago White Sox,1.0
98,98,Jacob Young,Washington Nationals,3,1,2,0,0,1,3,0.316,0.361,0.678,0.157,0.84,0.0,0.0,1.0,3,-5,6,1,0,5,Chicago White Sox,1.0
99,99,Kyle Schwarber,Philadelphia Phillies,4,0,1,0,0,3,4,0.345,0.477,0.822,-0.028,0.4,-0.01,0.12,-0.1,1,1,0,0,0,1,Atlanta Braves,0.0
100,100,Trea Turner,Philadelphia Phillies,3,1,0,0,0,1,4,0.32,0.466,0.785,-0.014,0.5,-0.0,0.15,-0.6,1,0,0,0,0,0,Atlanta Braves,0.0
101,101,Bryce Harper,Philadelphia Phillies,4,1,1,3,0,2,4,0.394,0.49,0.884,-0.031,0.57,-0.01,0.17,1.6,5,-18,0,0,19,4,Atlanta Braves,0.0
102,102,Alec Bohm,Philadelphia Phillies,4,0,0,0,0,1,4,0.333,0.433,0.765,-0.045,0.43,-0.01,0.13,-0.6,0,0,0,0,0,0,Atlanta Braves,0.0
103,103,Bryson Stott,Philadelphia Phillies,3,0,0,0,0,1,3,0.331,0.426,0.757,-0.048,0.62,-0.01,0.19,-0.7,0,0,0,0,0,0,Atlanta Braves,0.0
104,104,J.T. Realmuto,Philadelphia Phillies,3,0,1,0,0,0,3,0.308,0.454,0.761,0.003,0.4,0.0,0.12,-0.1,1,-27,28,0,0,0,Atlanta Braves,0.0
105,105,Nick Castellanos,Philadelphia Phillies,3,0,0,0,0,3,3,0.31,0.461,0.77,-0.046,0.53,-0.01,0.16,-0.6,0,0,0,0,0,0,Atlanta Braves,0.0
106,106,Brandon Marsh,Philadelphia Phillies,3,0,0,0,0,2,3,0.372,0.451,0.824,-0.036,0.46,-0.01,0.14,-0.8,0,0,0,0,0,0,Atlanta Braves,0.0
