,Unnamed: 0,Name,Team,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Opponent,Hmcrt_adv
0,0,Josh Rojas,Arizona Diamondbacks,5,0,2,2,0,1,5,0.313,0.354,0.666,-0.036,0.34,-0.03,0.43,0.8,4,-10,12,0,0,3,Pittsburgh Pirates,0.0
1,1,Ketel Marte,Arizona Diamondbacks,2,0,0,0,2,0,4,0.343,0.456,0.799,0.001,0.33,0.0,0.41,-0.2,0,0,0,0,0,0,Pittsburgh Pirates,0.0
2,2,Nick Ahmed,Arizona Diamondbacks,1,0,0,0,0,1,1,0.289,0.342,0.631,0.0,0.0,0.0,0.0,-0.1,0,0,0,0,0,0,Pittsburgh Pirates,0.0
3,3,Corbin Carroll,Arizona Diamondbacks,2,0,0,0,1,1,4,0.366,0.486,0.852,-0.022,0.41,-0.02,0.53,-0.4,0,0,0,0,0,0,Pittsburgh Pirates,0.0
4,4,Christian Walker,Arizona Diamondbacks,3,0,0,0,0,0,3,0.326,0.526,0.851,-0.051,0.63,-0.04,0.81,-0.7,0,0,0,0,0,0,Pittsburgh Pirates,0.0
5,5,Emmanuel Rivera,Arizona Diamondbacks,1,0,0,0,0,1,1,0.365,0.48,0.845,-0.002,0.09,-0.0,0.12,-0.5,0,0,0,0,0,0,Pittsburgh Pirates,0.0
6,6,Lourdes Gurriel Jr.,Arizona Diamondbacks,4,0,1,0,0,2,4,0.37,0.544,0.913,-0.042,0.38,-0.03,0.49,-0.0,1,1,0,0,0,0,Pittsburgh Pirates,0.0
7,7,Pavin Smith,Arizona Diamondbacks,4,0,0,0,0,0,4,0.361,0.366,0.727,0.008,0.31,0.01,0.4,-0.4,0,0,0,0,0,0,Pittsburgh Pirates,0.0
8,8,Gabriel Moreno,Arizona Diamondbacks,3,1,0,0,1,1,4,0.341,0.391,0.733,-0.052,0.47,-0.04,0.61,-0.4,1,0,0,0,0,0,Pittsburgh Pirates,0.0
9,9,Dominic Fletcher,Arizona Diamondbacks,3,1,0,0,1,2,4,0.397,0.576,0.973,-0.031,0.33,-0.02,0.42,-0.2,1,0,0,0,0,0,Pittsburgh Pirates,0.0
10,10,Geraldo Perdomo,Arizona Diamondbacks,4,1,1,1,0,2,4,0.418,0.547,0.966,0.107,0.22,0.08,0.28,0.5,3,-3,0,0,4,4,Pittsburgh Pirates,0.0
11,11,Andrew McCutchen,Pittsburgh Pirates,4,2,3,0,1,1,5,0.369,0.466,0.835,0.113,0.64,0.08,0.75,1.5,5,3,0,0,0,3,Arizona Diamondbacks,1.0
12,12,Rodolfo Castro,Pittsburgh Pirates,1,0,0,0,0,0,1,0.363,0.448,0.811,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,Arizona Diamondbacks,1.0
13,13,Bryan Reynolds,Pittsburgh Pirates,4,2,1,4,1,0,5,0.337,0.509,0.846,-0.045,0.93,-0.03,1.1,2.3,7,-5,0,0,6,4,Arizona Diamondbacks,1.0
14,14,Connor Joe,Pittsburgh Pirates,1,0,0,0,0,0,1,0.355,0.521,0.876,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,Arizona Diamondbacks,1.0
15,15,Jack Suwinski,Pittsburgh Pirates,4,1,2,2,1,1,5,0.363,0.482,0.845,0.018,0.56,0.01,0.66,1.7,5,-4,6,0,0,3,Arizona Diamondbacks,1.0
16,16,Carlos Santana,Pittsburgh Pirates,5,1,1,0,0,2,5,0.329,0.373,0.703,0.02,0.43,0.01,0.5,-0.9,2,-13,14,0,0,2,Arizona Diamondbacks,1.0
17,17,Ke'Bryan Hayes,Pittsburgh Pirates,5,1,3,3,0,0,5,0.298,0.35,0.647,0.1,0.54,0.07,0.64,2.8,7,-8,11,0,0,5,Arizona Diamondbacks,1.0
18,18,Tucupita Marcano,Pittsburgh Pirates,4,2,1,0,1,0,5,0.343,0.387,0.73,-0.009,0.38,-0.01,0.45,0.1,3,1,0,0,0,1,Arizona Diamondbacks,1.0
19,19,Ji Hwan Bae,Pittsburgh Pirates,4,2,3,1,1,0,5,0.313,0.339,0.651,0.075,0.51,0.05,0.6,2.1,6,-1,4,0,0,4,Arizona Diamondbacks,1.0
20,20,Joshua Palacios,Pittsburgh Pirates,4,1,3,3,1,1,5,0.286,0.231,0.516,0.131,0.61,0.09,0.72,1.8,7,3,0,0,0,3,Arizona Diamondbacks,1.0
21,21,Austin Hedges,Pittsburgh Pirates,5,1,0,0,0,0,5,0.247,0.203,0.45,-0.023,0.49,-0.02,0.58,-1.5,1,0,0,0,0,0,Arizona Diamondbacks,1.0
22,22,Jake Bauers,New York Yankees,3,0,0,0,0,1,3,0.302,0.361,0.663,-0.059,0.75,-0.03,0.72,-0.6,0,0,0,0,0,0,Cincinnati Reds,0.0
23,23,Harrison Bader,New York Yankees,2,0,1,1,0,0,2,0.322,0.518,0.84,-0.003,0.62,-0.0,0.6,0.8,2,1,0,0,0,1,Cincinnati Reds,0.0
24,24,Aaron Judge,New York Yankees,4,2,1,1,1,2,5,0.381,0.624,1.005,0.075,0.5,0.04,0.47,0.3,4,-12,0,0,13,4,Cincinnati Reds,0.0
25,25,Anthony Rizzo,New York Yankees,4,1,2,2,0,0,4,0.385,0.518,0.902,0.196,0.74,0.11,0.71,1.8,5,-8,0,0,10,5,Cincinnati Reds,0.0
26,26,Gleyber Torres,New York Yankees,3,1,0,0,1,0,4,0.339,0.418,0.757,-0.024,0.68,-0.01,0.65,-0.2,1,0,0,0,0,0,Cincinnati Reds,0.0
27,27,Willie Calhoun,New York Yankees,4,0,0,0,0,1,4,0.284,0.37,0.654,-0.085,0.81,-0.05,0.78,-1.0,0,0,0,0,0,0,Cincinnati Reds,0.0
28,28,Anthony Volpe,New York Yankees,4,0,1,0,0,1,4,0.306,0.395,0.701,0.014,1.12,0.01,1.07,-0.1,1,1,0,0,0,1,Cincinnati Reds,0.0
29,29,Oswaldo Cabrera,New York Yankees,3,1,1,0,1,0,4,0.264,0.319,0.582,0.019,0.84,0.01,0.81,0.3,2,1,0,0,0,1,Cincinnati Reds,0.0
30,30,Kyle Higashioka,New York Yankees,4,1,1,2,0,3,4,0.257,0.385,0.642,0.03,0.97,0.02,0.93,0.8,4,-2,3,0,0,2,Cincinnati Reds,0.0
31,31,Aaron Hicks,New York Yankees,2,0,0,0,0,2,2,0.263,0.261,0.524,-0.049,0.94,-0.03,0.9,-0.5,0,0,0,0,0,0,Cincinnati Reds,0.0
32,32,DJ LeMahieu,New York Yankees,1,0,0,0,1,0,2,0.335,0.432,0.767,-0.067,1.23,-0.04,1.18,-0.5,0,0,0,0,0,0,Cincinnati Reds,0.0
33,33,Jonathan India,Cincinnati Reds,3,1,1,0,1,2,4,0.382,0.42,0.802,0.023,0.99,0.01,0.7,0.0,2,1,0,0,0,1,New York Yankees,1.0
34,34,Matt McLain,Cincinnati Reds,4,1,2,0,0,1,4,0.385,0.5,0.885,0.109,1.39,0.05,0.98,1.1,3,0,2,0,0,3,New York Yankees,1.0
35,35,Jake Fraley,Cincinnati Reds,3,0,1,2,0,1,3,0.374,0.454,0.828,0.157,1.67,0.07,1.18,1.0,3,-5,6,0,0,2,New York Yankees,1.0
36,36,Stuart Fairchild,Cincinnati Reds,1,0,0,0,0,1,1,0.32,0.357,0.677,-0.066,2.5,-0.03,1.77,-0.3,0,0,0,0,0,0,New York Yankees,1.0
37,37,Spencer Steer,Cincinnati Reds,3,0,1,0,1,1,4,0.339,0.438,0.777,0.014,1.63,0.01,1.15,0.4,1,1,0,0,0,1,New York Yankees,1.0
38,38,Tyler Stephenson,Cincinnati Reds,4,0,0,0,0,0,4,0.333,0.336,0.669,-0.222,1.71,-0.09,1.21,-1.7,0,0,0,0,0,0,New York Yankees,1.0
39,39,Nick Senzel,Cincinnati Reds,4,0,0,0,0,1,4,0.341,0.418,0.76,-0.192,1.2,-0.08,0.85,-1.4,0,0,0,0,0,0,New York Yankees,1.0
40,40,Henry Ramos,Cincinnati Reds,2,0,0,0,2,1,4,0.356,0.306,0.663,-0.154,1.62,-0.07,1.15,-0.9,0,0,0,0,0,0,New York Yankees,1.0
41,41,Wil Myers,Cincinnati Reds,3,0,1,0,1,1,4,0.266,0.308,0.573,0.013,1.21,0.01,0.85,-0.1,1,1,0,0,0,1,New York Yankees,1.0
42,42,Jose Barrero,Cincinnati Reds,3,0,0,0,0,2,3,0.304,0.33,0.634,-0.136,1.63,-0.06,1.15,-1.0,0,0,0,0,0,0,New York Yankees,1.0
43,43,Owen Miller,Milwaukee Brewers,4,0,1,0,0,1,4,0.371,0.476,0.847,0.023,1.57,0.02,1.89,-0.2,1,1,0,0,0,1,Tampa Bay Rays,0.0
44,44,William Contreras,Milwaukee Brewers,4,0,1,0,0,2,4,0.34,0.381,0.721,-0.044,1.33,-0.03,1.61,-0.3,1,-7,8,0,0,2,Tampa Bay Rays,0.0
45,45,Christian Yelich,Milwaukee Brewers,4,0,0,0,0,0,4,0.333,0.413,0.746,-0.151,1.48,-0.11,1.79,-1.0,0,0,0,0,0,0,Tampa Bay Rays,0.0
46,46,Willy Adames,Milwaukee Brewers,4,0,1,0,0,2,4,0.305,0.373,0.677,-0.123,1.7,-0.09,2.06,-0.5,1,1,0,0,0,1,Tampa Bay Rays,0.0
47,47,Darin Ruf,Milwaukee Brewers,2,0,2,0,1,0,3,0.361,0.323,0.684,0.132,1.19,0.1,1.44,1.1,2,2,0,0,0,2,Tampa Bay Rays,0.0
48,48,Jesse Winker,Milwaukee Brewers,1,0,1,0,0,0,1,0.369,0.282,0.651,0.115,2.87,0.08,3.47,0.4,1,1,0,0,0,1,Tampa Bay Rays,0.0
49,49,Brian Anderson,Milwaukee Brewers,4,0,0,0,0,0,4,0.323,0.407,0.73,-0.313,2.5,-0.23,3.02,-2.2,0,0,0,0,0,0,Tampa Bay Rays,0.0
50,50,Mike Brosseau,Milwaukee Brewers,3,0,1,0,0,2,3,0.277,0.459,0.736,0.004,1.36,0.0,1.65,-0.1,1,1,0,0,0,1,Tampa Bay Rays,0.0
51,51,Rowdy Tellez,Milwaukee Brewers,1,0,0,0,0,1,1,0.336,0.512,0.847,-0.114,4.05,-0.08,4.89,-0.4,0,0,0,0,0,0,Tampa Bay Rays,0.0
52,52,Tyrone Taylor,Milwaukee Brewers,4,0,0,0,0,1,4,0.208,0.26,0.468,-0.247,2.42,-0.18,2.93,-1.2,0,0,0,0,0,0,Tampa Bay Rays,0.0
53,53,Joey Wiemer,Milwaukee Brewers,3,0,1,0,0,1,3,0.273,0.354,0.627,-0.062,1.41,-0.04,1.7,-0.3,1,1,0,0,0,1,Tampa Bay Rays,0.0
54,54,Josh Lowe,Tampa Bay Rays,4,0,1,0,0,0,4,0.364,0.625,0.989,-0.17,1.01,-0.11,1.07,-1.4,1,1,0,0,0,1,Milwaukee Brewers,1.0
55,55,Wander Franco,Tampa Bay Rays,4,0,0,0,0,0,4,0.347,0.491,0.839,-0.09,0.87,-0.06,0.91,-0.9,0,0,0,0,0,0,Milwaukee Brewers,1.0
56,56,Randy Arozarena,Tampa Bay Rays,2,0,0,0,1,1,3,0.401,0.546,0.947,0.002,0.62,0.0,0.65,0.1,0,0,0,0,0,0,Milwaukee Brewers,1.0
57,57,Brandon Lowe,Tampa Bay Rays,3,0,1,0,0,2,3,0.304,0.431,0.734,-0.083,1.29,-0.05,1.36,-0.7,1,1,0,0,0,1,Milwaukee Brewers,1.0
58,58,Harold Ramírez,Tampa Bay Rays,3,0,0,0,0,0,3,0.367,0.529,0.897,-0.086,1.09,-0.06,1.15,-0.6,0,0,0,0,0,0,Milwaukee Brewers,1.0
59,59,Isaac Paredes,Tampa Bay Rays,3,0,0,0,0,2,3,0.355,0.475,0.83,-0.062,0.8,-0.04,0.84,-0.4,0,0,0,0,0,0,Milwaukee Brewers,1.0
60,60,Luke Raley,Tampa Bay Rays,2,1,0,0,0,1,3,0.319,0.535,0.853,0.149,1.51,0.1,1.59,0.4,1,0,0,0,0,0,Milwaukee Brewers,1.0
61,61,Jose Siri,Tampa Bay Rays,3,0,2,0,0,1,3,0.298,0.533,0.831,-0.019,1.33,-0.01,1.4,0.0,2,2,0,0,0,2,Milwaukee Brewers,1.0
62,62,Francisco Mejía,Tampa Bay Rays,2,0,1,1,0,0,3,0.276,0.338,0.615,0.146,1.95,0.09,2.06,0.6,2,1,0,0,0,1,Milwaukee Brewers,1.0
63,63,Nico Hoerner,Chicago Cubs,6,0,3,4,0,0,6,0.353,0.411,0.764,0.104,0.53,0.05,0.39,2.5,7,-5,8,0,0,5,Philadelphia Phillies,0.0
64,64,Dansby Swanson,Chicago Cubs,4,0,0,0,2,0,6,0.367,0.392,0.759,-0.014,0.31,-0.01,0.23,-0.3,0,0,0,0,0,0,Philadelphia Phillies,0.0
65,65,Ian Happ,Chicago Cubs,4,0,1,0,0,3,5,0.422,0.462,0.883,-0.024,0.36,-0.01,0.26,-0.4,1,1,0,0,0,1,Philadelphia Phillies,0.0
66,66,Mike Tauchman,Chicago Cubs,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0,0,0,0,0,0,Philadelphia Phillies,0.0
67,67,Seiya Suzuki,Chicago Cubs,4,1,2,0,1,2,5,0.381,0.5,0.881,0.057,0.59,0.03,0.44,1.3,3,-5,7,0,0,3,Philadelphia Phillies,0.0
68,68,Patrick Wisdom,Chicago Cubs,2,0,0,0,0,2,2,0.331,0.568,0.899,-0.069,1.31,-0.03,0.98,-0.9,0,0,0,0,0,0,Philadelphia Phillies,0.0
69,69,Miles Mastrobuoni,Chicago Cubs,2,1,0,0,1,1,3,0.294,0.267,0.561,0.011,0.22,0.01,0.16,-0.1,1,0,0,0,0,0,Philadelphia Phillies,0.0
70,70,Trey Mancini,Chicago Cubs,2,1,1,0,0,0,2,0.329,0.364,0.692,0.026,0.75,0.01,0.56,0.1,2,1,0,0,0,1,Philadelphia Phillies,0.0
71,71,Matt Mervis,Chicago Cubs,2,1,0,0,1,2,3,0.261,0.302,0.563,-0.031,0.35,-0.01,0.26,-0.9,1,0,0,0,0,0,Philadelphia Phillies,0.0
72,72,Yan Gomes,Chicago Cubs,4,1,2,1,0,1,5,0.313,0.506,0.818,0.082,0.58,0.04,0.43,-0.1,4,2,0,0,0,2,Philadelphia Phillies,0.0
73,73,Christopher Morel,Chicago Cubs,4,3,2,3,1,1,5,0.415,0.897,1.312,0.104,0.67,0.05,0.5,3.0,8,-4,0,0,6,5,Philadelphia Phillies,0.0
