,Unnamed: 0,Name,Team,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Opponent,Hmcrt_adv
0,0,Jurickson Profar,Colorado Rockies,4,0,2,1,0,0,4,0.328,0.382,0.711,0.056,0.96,0.0,0.01,0.9,3,2,0,0,0,2,Houston Astros,0.0
1,1,Kris Bryant,Colorado Rockies,4,0,0,0,0,1,4,0.335,0.373,0.707,-0.181,1.33,-0.0,0.02,-1.8,0,0,0,0,0,0,Houston Astros,0.0
2,2,Ryan McMahon,Colorado Rockies,4,0,0,0,0,3,4,0.341,0.466,0.807,-0.111,1.06,-0.0,0.01,-1.0,0,0,0,0,0,0,Houston Astros,0.0
3,3,Elias Díaz,Colorado Rockies,4,0,1,0,0,1,4,0.331,0.442,0.773,-0.046,0.77,0.0,0.01,-0.5,1,1,0,0,0,1,Houston Astros,0.0
4,4,C.J. Cron,Colorado Rockies,4,1,2,1,0,0,4,0.293,0.441,0.734,0.059,0.76,0.0,0.01,1.0,4,-5,0,0,7,0,Houston Astros,0.0
5,5,Nolan Jones,Colorado Rockies,3,1,0,0,1,2,4,0.392,0.504,0.897,-0.067,1.0,-0.0,0.01,-0.3,1,0,0,0,0,0,Houston Astros,0.0
6,6,Randal Grichuk,Colorado Rockies,4,1,1,1,0,0,4,0.353,0.443,0.797,0.05,1.1,0.0,0.01,0.2,3,-3,0,0,4,4,Houston Astros,0.0
7,7,Ezequiel Tovar,Colorado Rockies,4,1,1,0,0,2,4,0.303,0.43,0.733,-0.026,1.05,0.0,0.01,0.3,2,1,0,0,0,1,Houston Astros,0.0
8,8,Harold Castro,Colorado Rockies,3,0,1,1,0,0,3,0.293,0.339,0.632,-0.008,1.14,0.0,0.01,0.6,2,1,0,0,0,1,Houston Astros,0.0
9,9,Mauricio Dubón,Houston Astros,4,0,2,1,0,0,4,0.317,0.417,0.734,0.12,0.85,0.1,1.21,1.5,3,2,0,0,0,2,Colorado Rockies,1.0
10,10,Alex Bregman,Houston Astros,2,0,0,0,2,0,4,0.343,0.395,0.737,-0.072,0.69,-0.06,0.99,-0.5,0,0,0,0,0,0,Colorado Rockies,1.0
11,11,Kyle Tucker,Houston Astros,4,0,1,0,0,2,4,0.366,0.479,0.845,-0.086,0.82,-0.07,1.18,-1.7,1,1,0,0,0,1,Colorado Rockies,1.0
12,12,José Abreu,Houston Astros,4,1,1,0,0,1,4,0.293,0.355,0.649,-0.046,0.83,-0.04,1.19,-1.0,2,1,0,0,0,1,Colorado Rockies,1.0
13,13,Yainer Diaz,Houston Astros,4,2,2,3,0,1,4,0.282,0.515,0.797,0.255,0.6,0.22,0.86,2.3,7,-8,0,0,10,8,Colorado Rockies,1.0
14,14,Bligh Madris,Houston Astros,4,0,0,0,0,1,4,0.211,0.176,0.387,-0.034,0.33,-0.03,0.48,-0.6,0,0,0,0,0,0,Colorado Rockies,1.0
15,15,Corey Julks,Houston Astros,3,2,2,0,1,0,4,0.325,0.406,0.731,0.042,0.37,0.04,0.53,0.5,4,2,0,0,0,2,Colorado Rockies,1.0
16,16,Jeremy Peña,Houston Astros,3,1,2,2,0,0,3,0.306,0.411,0.717,0.111,0.76,0.1,1.09,2.2,5,-8,0,0,10,5,Colorado Rockies,1.0
17,17,Jake Meyers,Houston Astros,3,0,0,0,0,1,3,0.312,0.377,0.689,-0.064,0.74,-0.06,1.06,-0.9,0,0,0,0,0,0,Colorado Rockies,1.0
18,18,Esteury Ruiz,Oakland Athletics,4,1,2,2,0,0,4,0.31,0.329,0.64,0.045,0.64,0.0,0.0,1.3,5,2,0,0,0,2,Detroit Tigers,0.0
19,19,Tyler Wade,Oakland Athletics,1,1,0,1,0,0,1,0.333,0.357,0.69,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,Detroit Tigers,0.0
