,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,C.Schmidt u4.5 Ks,_Collin1,-105,0.5,C.Schmidt,0.9761904761904762,0.4761904761904761,New York Yankees,Cleveland Guardians,1.0,,,,,,
7,N.Pivetta u5.0 strikeouts,Dan Servodidio,-110,1.0,N.Pivetta,1.9090909090909087,0.9090909090909088,Boston Red Sox,Toronto Blue Jays,1.0,,,,,,
0,J.Lucchesi o4.5 Ks,_Collin1,-124,0.62,J.Lucchesi,1.12,0.5000000000000001,New York Mets,Detroit Tigers,0.0,0.5,0.0,0.5,0.0,0.5,0.0
