Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Hicks o4.5 Ks,PropBetGuy,-115,1.15,J.Hicks,2.1499999999999995,0.9999999999999996,San Francisco Giants,Philadelphia Phillies,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1
1,J.Sears o4.5 Ks,cowhitchurch,-128,0.64,J.Sears,1.14,0.5000000000000001,Oakland Athletics,Miami Marlins,1.0,0.5,0,0.6,1,0.5,0
0,C.Abrams o0.5 total bases,Rotowire,100,0.75,C.Abrams,1.5,0.75,Washington Nationals,Toronto Blue Jays,1.0,0.8214285714285714,1,0.8,1,0.8,1
0,P.Corbin u3.5 Ks,_Collin1,-140,0.7,P.Corbin,1.2,0.5,Washington Nationals,Toronto Blue Jays,1.0,0.5,0,0.4,0,0.5,0
