,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
0,J.Berrios o4.5 strikeouts,Chris Landers,-145,1.0,1.6896551724137931,0.6896551724137931,J.Berrios,Toronto Blue Jays,Chicago White Sox,0.0
1,K.Bradish o5.5 strikeouts,Chris Landers,110,1.0,2.1,1.1,K.Bradish,Baltimore Orioles,New York Yankees,0.0
2,J.Urias u5.5 Ks,SBK5065,-140,0.7,1.2,0.5,J.Urias,Los Angeles Dodgers,Pittsburgh Pirates,1.0
3,J.Urias u5.5 Ks,The_Oddsmaker,-138,1.38,2.38,1.0,J.Urias,Los Angeles Dodgers,Pittsburgh Pirates,1.0
4,L.Severino u5.5 Ks,SBK5065,-130,0.65,1.15,0.4999999999999999,L.Severino,New York Yankees,Baltimore Orioles,1.0
5,L.Severino u5.5 Ks,AnthonyDabbundo,-112,1.12,2.12,1.0,L.Severino,New York Yankees,Baltimore Orioles,1.0
6,L.Severino u5.5 Ks,The_Oddsmaker,-112,1.68,3.1799999999999997,1.4999999999999998,L.Severino,New York Yankees,Baltimore Orioles,1.0
7,N.Eovaldi o4.5 Ks,JoeDellera,-162,0.5,0.808641975308642,0.308641975308642,N.Eovaldi,Texas Rangers,Boston Red Sox,0.0
8,C.Sanchez o3.5 Ks,PropBetGuy,-140,1.4,2.4,1.0,C.Sanchez,Philadelphia Phillies,Tampa Bay Rays,0.0
9,T.Bibee u6.5 Ks,The_Oddsmaker,-118,1.18,2.1799999999999997,0.9999999999999998,T.Bibee,Cleveland Guardians,Kansas City Royals,1.0
