,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,F.Freeman o1.5 Total Bases,therocketplays,100,1.0,F.Freeman,2.0,1.0,Los Angeles Dodgers,St Louis Cardinals,0.0,0.4732142857142857,0,0.6,1,0.6,1
2,F.Freeman o1.5 Total Bases,theprophunter0_,-115,1.73,F.Freeman,3.234348,1.504348,Los Angeles Dodgers,St Louis Cardinals,0.0,0.4732142857142857,0,0.6,1,0.6,1
5,J.Burger o1.5 Total Bases,theprophunter0_,110,1.05,J.Burger,2.205,1.155,Miami Marlins,New York Mets,0.0,0.4329896907216495,0,1.0,1,0.7,1
10,W.Wagner o1.5 Total Bases,theprophunter0_,100,1.0,W.Wagner,2.0,1.0,Toronto Blue Jays,Chicago Cubs,0.0,1.0,1,1.0,1,1.0,1
0,S.Perez o1.5 Total Bases,theprophunter0_,-115,1.15,S.Perez,2.15,1.0,Kansas City Royals,Cincinnati Reds,0.0,0.423728813559322,0,0.4,0,0.3,0
3,B.Harper o1.5 Total Bases,theprophunter0_,-110,1.1,B.Harper,2.1,1.0,Philadelphia Phillies,Washington Nationals,1.0,0.4245283018867924,0,0.6,1,0.7,1
4,K.Schwarber o1.5 Total Bases,Proptology,110,2.0,K.Schwarber,4.2,2.2,Philadelphia Phillies,Washington Nationals,1.0,0.3727272727272727,0,0.2,0,0.4,0
5,B.Harper o1.5 Total Bases,charliedisturco,-105,0.53,B.Harper,1.034762,0.504762,Philadelphia Phillies,Washington Nationals,1.0,0.4245283018867924,0,0.6,1,0.7,1
20,J.Pederson o1.5 Total Bases,theprophunter0_,150,1.0,J.Pederson,2.5,1.5,Arizona Diamondbacks,Tampa Bay Rays,0.0,0.37,0,0.4,0,0.5,0
21,J.Pederson o3.5 Total Bases,theprophunter0_,330,0.3,J.Pederson,1.29,0.99,Arizona Diamondbacks,Tampa Bay Rays,0.0,0.2,0,0.2,0,0.3,0
