,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,DJ LeMahieu,New York Yankees,Pittsburgh Pirates,0,5,1,2,1,0,2,5,2,0
1,Aaron Judge,New York Yankees,Pittsburgh Pirates,0,5,1,3,1,0,2,5,3,0
2,Gleyber Torres,New York Yankees,Pittsburgh Pirates,0,2,1,0,0,3,0,5,0,0
3,Giancarlo Stanton,New York Yankees,Pittsburgh Pirates,0,4,0,0,0,1,2,5,0,0
4,Estevan Florial,New York Yankees,Pittsburgh Pirates,0,3,0,0,1,2,1,5,0,0
5,Anthony Volpe,New York Yankees,Pittsburgh Pirates,0,5,2,1,1,0,2,5,2,0
6,Oswald Peraza,New York Yankees,Pittsburgh Pirates,0,5,0,1,0,0,2,5,1,0
7,Oswaldo Cabrera,New York Yankees,Pittsburgh Pirates,0,4,1,3,1,1,0,5,3,0
8,Ben Rortvedt,New York Yankees,Pittsburgh Pirates,0,4,1,1,1,1,1,5,0,0
9,Ji Hwan Bae,Pittsburgh Pirates,New York Yankees,1,4,2,1,1,1,1,5,0,0
10,Bryan Reynolds,Pittsburgh Pirates,New York Yankees,1,3,0,1,1,1,1,5,1,0
11,Ke'Bryan Hayes,Pittsburgh Pirates,New York Yankees,1,5,0,3,2,0,0,5,3,0
12,Jack Suwinski,Pittsburgh Pirates,New York Yankees,1,4,0,0,1,0,3,5,0,0
13,Connor Joe,Pittsburgh Pirates,New York Yankees,1,4,0,0,0,0,1,4,0,0
14,Alfonso Rivas,Pittsburgh Pirates,New York Yankees,1,1,0,0,0,0,0,1,0,0
15,Endy Rodríguez,Pittsburgh Pirates,New York Yankees,1,3,0,1,0,1,0,4,0,0
16,Miguel Andujar,Pittsburgh Pirates,New York Yankees,1,3,1,1,0,1,0,4,1,0
17,Joshua Palacios,Pittsburgh Pirates,New York Yankees,1,4,1,1,0,0,1,4,1,0
18,Liover Peguero,Pittsburgh Pirates,New York Yankees,1,4,1,2,0,0,1,4,2,0
0,Ronald Acuna Jr.,Atlanta Braves,Miami Marlins,0,3,2,2,1,1,0,5,0,0
1,Forrest Wall,Atlanta Braves,Miami Marlins,0,0,0,0,0,0,0,0,0,0
2,Ozzie Albies,Atlanta Braves,Miami Marlins,0,5,0,2,2,0,0,5,1,0
3,Austin Riley,Atlanta Braves,Miami Marlins,0,5,1,2,1,0,2,5,0,0
4,Matt Olson,Atlanta Braves,Miami Marlins,0,4,0,1,0,1,1,5,0,0
5,Marcell Ozuna,Atlanta Braves,Miami Marlins,0,3,0,0,0,0,0,4,0,0
6,Eddie Rosario,Atlanta Braves,Miami Marlins,0,2,0,0,1,0,0,3,0,0
7,Kevin Pillar,Atlanta Braves,Miami Marlins,0,1,0,0,0,0,1,1,0,0
8,Travis d'Arnaud,Atlanta Braves,Miami Marlins,0,4,0,0,0,0,1,4,0,0
9,Orlando Arcia,Atlanta Braves,Miami Marlins,0,4,2,2,0,0,1,4,1,0
10,Michael Harris II,Atlanta Braves,Miami Marlins,0,4,1,2,1,0,0,4,0,1
11,Luis Arraez,Miami Marlins,Atlanta Braves,1,5,2,2,2,0,0,5,8,2
12,Josh Bell,Miami Marlins,Atlanta Braves,1,4,0,0,0,0,3,5,0,0
13,Jake Burger,Miami Marlins,Atlanta Braves,1,5,1,2,1,0,1,5,0,0
14,Jazz Chisholm Jr.,Miami Marlins,Atlanta Braves,1,4,1,1,0,0,2,4,0,0
15,Bryan De La Cruz,Miami Marlins,Atlanta Braves,1,2,1,1,1,0,0,2,0,0
16,Garrett Hampson,Miami Marlins,Atlanta Braves,1,2,1,2,1,0,0,2,1,0
17,Jesús Sánchez,Miami Marlins,Atlanta Braves,1,3,0,1,1,0,1,3,0,0
18,Yuli Gurriel,Miami Marlins,Atlanta Braves,1,0,1,0,0,1,0,1,0,0
19,Xavier Edwards,Miami Marlins,Atlanta Braves,1,2,1,1,0,1,0,4,0,0
20,Jon Berti,Miami Marlins,Atlanta Braves,1,0,0,0,0,0,0,0,0,0
21,Jacob Stallings,Miami Marlins,Atlanta Braves,1,4,1,2,3,0,1,4,4,0
