,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Edouard Julien,Minnesota Twins,Cincinnati Reds,0,4,1,2,1,1,1,5,2,0
1,Jorge Polanco,Minnesota Twins,Cincinnati Reds,0,5,0,1,1,0,2,5,1,0
2,Royce Lewis,Minnesota Twins,Cincinnati Reds,0,3,0,1,0,1,1,4,1,0
3,Andrew Stevenson,Minnesota Twins,Cincinnati Reds,0,0,0,0,0,1,0,1,0,0
4,Max Kepler,Minnesota Twins,Cincinnati Reds,0,3,2,1,0,2,0,5,1,0
5,Willi Castro,Minnesota Twins,Cincinnati Reds,0,5,1,2,2,0,2,5,5,0
6,Alex Kirilloff,Minnesota Twins,Cincinnati Reds,0,5,0,0,0,0,2,5,0,0
7,Ryan Jeffers,Minnesota Twins,Cincinnati Reds,0,4,1,1,1,1,1,5,4,0
8,Matt Wallner,Minnesota Twins,Cincinnati Reds,0,3,1,2,1,2,0,5,2,0
9,Kyle Farmer,Minnesota Twins,Cincinnati Reds,0,5,1,1,0,0,1,5,1,0
10,Jonathan India,Cincinnati Reds,Minnesota Twins,1,4,0,0,0,0,1,4,0,0
11,Noelvi Marte,Cincinnati Reds,Minnesota Twins,1,0,0,0,0,0,0,0,0,0
12,TJ Friedl,Cincinnati Reds,Minnesota Twins,1,4,0,1,0,0,3,4,1,0
13,Spencer Steer,Cincinnati Reds,Minnesota Twins,1,3,0,1,0,0,1,3,2,0
14,Stuart Fairchild,Cincinnati Reds,Minnesota Twins,1,1,0,0,0,0,0,1,0,0
15,Jake Fraley,Cincinnati Reds,Minnesota Twins,1,2,0,1,0,2,0,4,1,0
16,Tyler Stephenson,Cincinnati Reds,Minnesota Twins,1,4,0,0,0,0,1,4,0,0
17,Joey Votto,Cincinnati Reds,Minnesota Twins,1,2,0,0,0,0,0,2,0,0
18,Nick Martini,Cincinnati Reds,Minnesota Twins,1,1,0,0,0,0,1,1,0,0
19,Christian Encarnacion-Strand,Cincinnati Reds,Minnesota Twins,1,3,0,0,0,0,2,3,0,0
20,Elly De La Cruz,Cincinnati Reds,Minnesota Twins,1,3,0,0,0,0,3,3,0,0
21,Will Benson,Cincinnati Reds,Minnesota Twins,1,3,0,1,0,0,2,3,1,0
0,Brandon Nimmo,New York Mets,Miami Marlins,0,5,0,3,2,0,0,5,4,0
1,Ronny Mauricio,New York Mets,Miami Marlins,0,5,0,1,0,0,1,5,2,0
2,Pete Alonso,New York Mets,Miami Marlins,0,4,1,1,0,0,2,4,1,0
3,Francisco Lindor,New York Mets,Miami Marlins,0,4,0,1,0,0,0,4,1,0
4,Francisco Alvarez,New York Mets,Miami Marlins,0,4,0,0,0,0,2,4,0,0
5,Jeff McNeil,New York Mets,Miami Marlins,0,4,1,3,0,0,0,4,4,0
6,Mark Vientos,New York Mets,Miami Marlins,0,4,0,1,0,0,1,4,1,0
7,Rafael Ortega,New York Mets,Miami Marlins,0,0,0,0,0,0,0,0,0,0
8,DJ Stewart,New York Mets,Miami Marlins,0,4,1,1,0,0,1,4,1,0
9,Tim Locastro,New York Mets,Miami Marlins,0,4,0,0,0,0,1,4,0,0
10,Jorge Soler,Miami Marlins,New York Mets,1,2,1,1,0,3,1,5,2,0
11,Josh Bell,Miami Marlins,New York Mets,1,4,0,1,1,0,1,4,2,0
12,Yuli Gurriel,Miami Marlins,New York Mets,1,1,0,0,0,0,0,1,0,0
13,Jake Burger,Miami Marlins,New York Mets,1,4,1,2,1,0,1,5,2,0
14,Bryan De La Cruz,Miami Marlins,New York Mets,1,4,0,1,0,0,0,4,0,0
15,Garrett Hampson,Miami Marlins,New York Mets,1,4,0,1,1,0,1,4,1,0
16,Jazz Chisholm Jr.,Miami Marlins,New York Mets,1,4,0,0,0,0,1,4,0,0
17,Jon Berti,Miami Marlins,New York Mets,1,3,1,1,0,1,0,4,2,0
18,Jesús Sánchez,Miami Marlins,New York Mets,1,0,0,0,0,0,0,0,0,0
19,Nick Fortes,Miami Marlins,New York Mets,1,2,0,0,0,0,2,4,0,0
20,Joey Wendle,Miami Marlins,New York Mets,1,0,1,0,0,0,0,0,0,0
21,Xavier Edwards,Miami Marlins,New York Mets,1,3,0,1,0,0,1,4,1,0
