,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,0,Marcus Semien,Texas Rangers,Pittsburgh Pirates,0,5,1,1,1,0,1,5,4,0
1,1,Corey Seager,Texas Rangers,Pittsburgh Pirates,0,4,0,1,0,1,1,5,1,0
2,2,Nathaniel Lowe,Texas Rangers,Pittsburgh Pirates,0,4,1,2,0,1,1,5,3,0
3,3,Adolis García,Texas Rangers,Pittsburgh Pirates,0,5,1,1,0,0,0,5,0,0
4,4,Josh Jung,Texas Rangers,Pittsburgh Pirates,0,4,0,2,1,0,1,4,3,0
5,5,Jonah Heim,Texas Rangers,Pittsburgh Pirates,0,4,0,0,1,0,1,4,0,0
6,6,Robbie Grossman,Texas Rangers,Pittsburgh Pirates,0,4,0,0,0,0,2,4,0,0
7,7,Bubba Thompson,Texas Rangers,Pittsburgh Pirates,0,0,0,0,0,0,0,0,0,0
8,8,Josh H. Smith,Texas Rangers,Pittsburgh Pirates,0,4,0,0,0,0,2,4,0,0
9,9,Leody Taveras,Texas Rangers,Pittsburgh Pirates,0,3,0,1,0,1,0,4,1,0
10,10,Andrew McCutchen,Pittsburgh Pirates,Texas Rangers,1,5,0,0,0,0,2,5,0,0
11,11,Bryan Reynolds,Pittsburgh Pirates,Texas Rangers,1,3,0,0,0,1,0,4,0,0
12,12,Ke'Bryan Hayes,Pittsburgh Pirates,Texas Rangers,1,4,0,1,0,0,0,4,1,0
13,13,Carlos Santana,Pittsburgh Pirates,Texas Rangers,1,3,1,1,0,1,0,4,1,0
14,14,Ji Hwan Bae,Pittsburgh Pirates,Texas Rangers,1,0,0,0,0,0,0,0,0,0
15,15,Connor Joe,Pittsburgh Pirates,Texas Rangers,1,2,1,1,0,1,0,4,1,0
16,16,Rodolfo Castro,Pittsburgh Pirates,Texas Rangers,1,4,0,2,0,0,0,4,2,0
17,17,Jack Suwinski,Pittsburgh Pirates,Texas Rangers,1,4,0,0,1,0,2,4,0,0
18,18,Jason Delay,Pittsburgh Pirates,Texas Rangers,1,4,0,2,1,0,0,4,2,0
19,19,Chris Owings,Pittsburgh Pirates,Texas Rangers,1,4,0,1,0,0,1,4,1,0
20,0,Ketel Marte,Arizona Diamondbacks,Philadelphia Phillies,0,5,1,2,0,0,0,5,2,0
21,1,Corbin Carroll,Arizona Diamondbacks,Philadelphia Phillies,0,4,1,1,0,1,1,5,2,0
22,2,Emmanuel Rivera,Arizona Diamondbacks,Philadelphia Phillies,0,4,1,1,3,1,0,5,2,0
23,3,Christian Walker,Arizona Diamondbacks,Philadelphia Phillies,0,4,0,0,0,1,1,5,0,0
24,4,Evan Longoria,Arizona Diamondbacks,Philadelphia Phillies,0,2,1,1,2,1,1,3,4,1
25,5,Josh Rojas,Arizona Diamondbacks,Philadelphia Phillies,0,1,0,0,0,1,1,2,0,0
26,6,Pavin Smith,Arizona Diamondbacks,Philadelphia Phillies,0,4,0,0,0,1,1,5,0,0
27,7,Nick Ahmed,Arizona Diamondbacks,Philadelphia Phillies,0,4,0,0,0,0,3,4,0,0
28,8,Dominic Fletcher,Arizona Diamondbacks,Philadelphia Phillies,0,3,0,0,0,1,1,4,0,0
29,9,Jose Herrera,Arizona Diamondbacks,Philadelphia Phillies,0,4,1,1,0,0,2,4,2,0
30,10,Bryson Stott,Philadelphia Phillies,Arizona Diamondbacks,1,5,1,3,0,0,1,5,3,0
31,11,Trea Turner,Philadelphia Phillies,Arizona Diamondbacks,1,5,1,1,2,0,1,5,4,1
32,12,Bryce Harper,Philadelphia Phillies,Arizona Diamondbacks,1,4,1,1,0,1,1,5,1,0
33,13,Nick Castellanos,Philadelphia Phillies,Arizona Diamondbacks,1,4,0,0,0,1,1,5,0,0
34,14,Dalton Guthrie,Philadelphia Phillies,Arizona Diamondbacks,1,0,1,0,0,0,0,0,0,0
35,15,Kyle Schwarber,Philadelphia Phillies,Arizona Diamondbacks,1,3,0,0,0,2,0,5,0,0
36,16,Kody Clemens,Philadelphia Phillies,Arizona Diamondbacks,1,4,1,1,0,1,1,5,1,0
37,17,Alec Bohm,Philadelphia Phillies,Arizona Diamondbacks,1,5,1,2,2,0,0,5,2,0
38,18,Brandon Marsh,Philadelphia Phillies,Arizona Diamondbacks,1,4,0,2,2,0,1,4,2,0
39,19,Garrett Stubbs,Philadelphia Phillies,Arizona Diamondbacks,1,3,0,1,0,0,2,3,1,0
40,20,J.T. Realmuto,Philadelphia Phillies,Arizona Diamondbacks,1,1,0,0,0,0,0,1,0,0
41,0,Tim Anderson,Chicago White Sox,Cleveland Guardians,0,4,0,1,1,0,0,4,1,0
42,1,Andrew Benintendi,Chicago White Sox,Cleveland Guardians,0,4,0,0,0,0,0,4,0,0
43,2,Yoán Moncada,Chicago White Sox,Cleveland Guardians,0,3,1,0,0,1,0,4,0,0
44,3,Andrew Vaughn,Chicago White Sox,Cleveland Guardians,0,4,1,1,0,0,0,4,1,0
45,4,Gavin Sheets,Chicago White Sox,Cleveland Guardians,0,2,1,0,0,1,2,3,0,0
46,5,Adam Haseley,Chicago White Sox,Cleveland Guardians,0,1,0,0,0,0,0,1,0,0
47,6,Jake Burger,Chicago White Sox,Cleveland Guardians,0,3,0,0,1,0,2,4,0,0
48,7,Clint Frazier,Chicago White Sox,Cleveland Guardians,0,3,2,1,0,1,2,4,1,0
49,8,Romy Gonzalez,Chicago White Sox,Cleveland Guardians,0,3,1,1,2,0,0,3,2,0
50,9,Seby Zavala,Chicago White Sox,Cleveland Guardians,0,2,0,0,1,0,2,3,0,0
51,10,Steven Kwan,Cleveland Guardians,Chicago White Sox,1,3,0,0,0,1,2,4,0,0
52,11,Amed Rosario,Cleveland Guardians,Chicago White Sox,1,4,0,0,0,0,3,4,0,0
53,12,José Ramírez,Cleveland Guardians,Chicago White Sox,1,4,0,0,0,0,1,4,0,0
54,13,Josh Naylor,Cleveland Guardians,Chicago White Sox,1,3,0,1,0,0,1,3,1,0
55,14,Josh Bell,Cleveland Guardians,Chicago White Sox,1,3,0,0,0,0,1,3,0,0
56,15,Gabriel Arias,Cleveland Guardians,Chicago White Sox,1,3,0,0,0,0,1,3,0,0
57,16,Andrés Giménez,Cleveland Guardians,Chicago White Sox,1,3,0,2,0,0,0,3,0,0
58,17,Myles Straw,Cleveland Guardians,Chicago White Sox,1,3,0,1,0,0,0,3,0,0
59,18,Cam Gallagher,Cleveland Guardians,Chicago White Sox,1,1,0,0,0,0,1,1,0,0
60,19,David Fry,Cleveland Guardians,Chicago White Sox,1,2,0,0,0,0,2,2,0,0
61,0,Mauricio Dubón,Houston Astros,Milwaukee Brewers,0,4,0,0,0,0,1,4,0,0
62,1,Alex Bregman,Houston Astros,Milwaukee Brewers,0,4,0,1,0,0,0,4,2,0
63,2,Yordan Alvarez,Houston Astros,Milwaukee Brewers,0,3,0,0,0,1,1,4,0,0
64,3,Kyle Tucker,Houston Astros,Milwaukee Brewers,0,4,0,1,0,0,0,4,1,0
65,4,José Abreu,Houston Astros,Milwaukee Brewers,0,4,0,1,0,0,0,4,0,0
66,5,Jeremy Peña,Houston Astros,Milwaukee Brewers,0,4,0,0,0,0,1,4,0,0
67,6,Chas McCormick,Houston Astros,Milwaukee Brewers,0,3,0,0,0,0,1,3,0,0
68,7,Jake Meyers,Houston Astros,Milwaukee Brewers,0,3,0,0,0,0,2,3,0,0
69,8,Martín Maldonado,Houston Astros,Milwaukee Brewers,0,3,0,1,0,0,0,3,0,0
70,9,Christian Yelich,Milwaukee Brewers,Houston Astros,1,4,1,1,0,0,0,4,2,0
71,10,Willy Adames,Milwaukee Brewers,Houston Astros,1,4,1,1,2,0,1,4,4,1
72,11,Rowdy Tellez,Milwaukee Brewers,Houston Astros,1,3,0,1,0,0,1,3,1,0
73,12,Owen Miller,Milwaukee Brewers,Houston Astros,1,3,1,1,1,0,0,3,4,1
74,13,William Contreras,Milwaukee Brewers,Houston Astros,1,2,0,0,0,1,1,3,0,0
75,14,Jesse Winker,Milwaukee Brewers,Houston Astros,1,3,0,0,0,0,0,3,0,0
76,15,Brian Anderson,Milwaukee Brewers,Houston Astros,1,3,1,1,1,0,1,3,4,1
77,16,Brice Turang,Milwaukee Brewers,Houston Astros,1,3,0,0,0,0,1,3,0,0
78,17,Joey Wiemer,Milwaukee Brewers,Houston Astros,1,3,0,0,0,0,0,3,0,0
79,0,LaMonte Wade Jr.,San Francisco Giants,Minnesota Twins,0,4,0,2,0,1,1,5,0,0
80,1,Thairo Estrada,San Francisco Giants,Minnesota Twins,0,5,0,2,0,0,1,5,3,0
81,2,Mitch Haniger,San Francisco Giants,Minnesota Twins,0,5,0,0,0,0,2,5,0,0
82,3,Michael Conforto,San Francisco Giants,Minnesota Twins,0,5,0,1,0,0,2,5,1,0
83,4,Blake Sabol,San Francisco Giants,Minnesota Twins,0,4,0,0,0,1,1,5,0,0
84,5,Mike Yastrzemski,San Francisco Giants,Minnesota Twins,0,3,1,1,0,0,1,3,0,0
85,6,Wilmer Flores,San Francisco Giants,Minnesota Twins,0,2,0,1,0,0,1,2,2,0
86,7,Casey Schmitt,San Francisco Giants,Minnesota Twins,0,5,0,1,1,0,3,5,1,0
87,8,Brandon Crawford,San Francisco Giants,Minnesota Twins,0,2,0,1,0,2,1,4,1,0
88,9,Brett Wisely,San Francisco Giants,Minnesota Twins,0,4,0,1,0,0,1,4,1,0
