,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Tim Anderson,Chicago White Sox,Baltimore Orioles,0,6,1,1,2,0,2,6,0,0
1,Andrew Benintendi,Chicago White Sox,Baltimore Orioles,0,5,0,1,1,0,1,5,0,0
2,Luis Robert Jr.,Chicago White Sox,Baltimore Orioles,0,5,1,2,1,0,2,5,0,1
3,Eloy Jiménez,Chicago White Sox,Baltimore Orioles,0,5,2,4,0,0,1,5,0,0
4,Andrew Vaughn,Chicago White Sox,Baltimore Orioles,0,5,2,2,3,0,0,5,6,1
5,Yasmani Grandal,Chicago White Sox,Baltimore Orioles,0,4,0,2,0,1,0,5,1,0
6,Elvis Andrus,Chicago White Sox,Baltimore Orioles,0,3,2,2,1,2,0,5,1,0
7,Oscar Colás,Chicago White Sox,Baltimore Orioles,0,4,2,1,2,1,1,5,0,0
8,Lenyn Sosa,Chicago White Sox,Baltimore Orioles,0,4,0,0,0,0,1,5,0,0
9,Gunnar Henderson,Baltimore Orioles,Chicago White Sox,1,3,1,1,0,1,0,4,2,0
10,Anthony Santander,Baltimore Orioles,Chicago White Sox,1,4,2,2,2,0,0,4,6,1
11,Ryan Mountcastle,Baltimore Orioles,Chicago White Sox,1,3,0,0,0,1,1,4,0,0
12,Ryan O'Hearn,Baltimore Orioles,Chicago White Sox,1,4,1,1,1,0,2,4,0,0
13,Cedric Mullins,Baltimore Orioles,Chicago White Sox,1,3,1,0,0,0,1,4,0,0
14,Adam Frazier,Baltimore Orioles,Chicago White Sox,1,4,0,2,1,0,1,4,2,0
15,Jordan Westburg,Baltimore Orioles,Chicago White Sox,1,2,0,1,1,1,0,4,1,0
16,James McCann,Baltimore Orioles,Chicago White Sox,1,4,0,0,0,0,3,4,0,0
17,Jorge Mateo,Baltimore Orioles,Chicago White Sox,1,3,0,2,0,0,1,3,2,0
18,Adley Rutschman,Baltimore Orioles,Chicago White Sox,1,1,0,0,0,0,0,1,0,0
0,Nolan Schanuel,Los Angeles Angels,Philadelphia Phillies,0,5,2,1,0,0,2,5,1,0
1,Luis Rengifo,Los Angeles Angels,Philadelphia Phillies,0,4,0,1,1,0,2,5,1,0
2,Shohei Ohtani,Los Angeles Angels,Philadelphia Phillies,0,4,1,1,1,1,2,5,1,0
3,Brandon Drury,Los Angeles Angels,Philadelphia Phillies,0,4,2,2,3,1,1,5,5,1
4,Randal Grichuk,Los Angeles Angels,Philadelphia Phillies,0,4,0,1,0,1,0,5,1,0
5,Logan O'Hoppe,Los Angeles Angels,Philadelphia Phillies,0,5,1,1,0,0,0,5,0,0
6,Hunter Renfroe,Los Angeles Angels,Philadelphia Phillies,0,4,2,3,4,0,1,4,7,1
7,Eduardo Escobar,Los Angeles Angels,Philadelphia Phillies,0,4,0,2,0,0,2,4,3,0
8,Andrew Velazquez,Los Angeles Angels,Philadelphia Phillies,0,2,1,0,1,0,0,3,0,0
9,Mike Moustakas,Los Angeles Angels,Philadelphia Phillies,0,1,0,0,0,0,1,1,0,0
10,Trey Cabbage,Los Angeles Angels,Philadelphia Phillies,0,0,1,0,0,0,0,0,0,0
11,Kyle Schwarber,Philadelphia Phillies,Los Angeles Angels,1,4,1,1,0,1,2,5,1,0
12,Jake Cave,Philadelphia Phillies,Los Angeles Angels,1,0,0,0,0,0,0,0,0,0
13,Trea Turner,Philadelphia Phillies,Los Angeles Angels,1,4,2,2,3,0,1,5,6,1
14,Bryce Harper,Philadelphia Phillies,Los Angeles Angels,1,4,1,1,2,1,1,5,4,1
15,Nick Castellanos,Philadelphia Phillies,Los Angeles Angels,1,5,0,3,1,0,1,5,3,0
16,Bryson Stott,Philadelphia Phillies,Los Angeles Angels,1,5,1,1,0,0,0,5,1,0
17,Alec Bohm,Philadelphia Phillies,Los Angeles Angels,1,4,1,0,0,0,1,5,0,0
18,Brandon Marsh,Philadelphia Phillies,Los Angeles Angels,1,1,1,0,0,4,0,5,0,0
19,Johan Rojas,Philadelphia Phillies,Los Angeles Angels,1,5,0,1,1,0,1,5,1,0
20,Garrett Stubbs,Philadelphia Phillies,Los Angeles Angels,1,4,1,2,1,0,1,4,2,0
0,Steven Kwan,Cleveland Guardians,Minnesota Twins,0,5,0,2,1,0,0,5,3,0
1,José Ramírez,Cleveland Guardians,Minnesota Twins,0,3,1,0,0,2,2,5,0,0
2,Kole Calhoun,Cleveland Guardians,Minnesota Twins,0,4,1,1,3,1,1,5,4,0
3,Ramón Laureano,Cleveland Guardians,Minnesota Twins,0,5,0,0,0,0,1,5,0,0
4,Andrés Giménez,Cleveland Guardians,Minnesota Twins,0,3,1,0,0,1,1,4,0,0
5,Will Brennan,Cleveland Guardians,Minnesota Twins,0,4,0,2,0,0,0,4,2,0
6,Gabriel Arias,Cleveland Guardians,Minnesota Twins,0,4,1,1,0,0,0,4,2,0
7,Eric Haase,Cleveland Guardians,Minnesota Twins,0,3,0,0,0,0,1,3,0,0
8,Bo Naylor,Cleveland Guardians,Minnesota Twins,0,1,1,0,0,0,1,1,0,0
9,Myles Straw,Cleveland Guardians,Minnesota Twins,0,3,0,1,0,0,0,4,1,0
10,Edouard Julien,Minnesota Twins,Cleveland Guardians,1,4,0,0,0,1,2,5,0,0
11,Jorge Polanco,Minnesota Twins,Cleveland Guardians,1,2,0,2,2,2,0,4,3,0
12,Carlos Correa,Minnesota Twins,Cleveland Guardians,1,4,0,0,0,0,2,4,0,0
13,Max Kepler,Minnesota Twins,Cleveland Guardians,1,4,0,0,0,0,1,4,0,0
14,Royce Lewis,Minnesota Twins,Cleveland Guardians,1,4,0,0,0,0,2,4,0,0
15,Matt Wallner,Minnesota Twins,Cleveland Guardians,1,2,1,0,0,2,1,4,0,0
16,Ryan Jeffers,Minnesota Twins,Cleveland Guardians,1,4,0,0,0,0,4,4,0,0
17,Donovan Solano,Minnesota Twins,Cleveland Guardians,1,4,1,2,0,0,0,4,2,0
18,Joey Gallo,Minnesota Twins,Cleveland Guardians,1,1,0,0,0,0,1,1,0,0
19,Jordan Luplow,Minnesota Twins,Cleveland Guardians,1,2,0,0,0,0,1,2,0,0
20,Michael A. Taylor,Minnesota Twins,Cleveland Guardians,1,1,0,0,0,0,0,1,0,0
0,Ha-Seong Kim,San Diego Padres,St. Louis Cardinals,0,4,1,2,1,0,0,4,0,0
1,Juan Soto,San Diego Padres,St. Louis Cardinals,0,3,0,2,2,0,0,4,1,0
2,Manny Machado,San Diego Padres,St. Louis Cardinals,0,4,0,1,1,0,0,4,1,0
3,Fernando Tatis Jr.,San Diego Padres,St. Louis Cardinals,0,3,0,1,0,1,1,4,0,0
4,Xander Bogaerts,San Diego Padres,St. Louis Cardinals,0,4,0,2,0,0,0,4,3,0
5,Garrett Cooper,San Diego Padres,St. Louis Cardinals,0,4,0,0,0,0,1,4,0,0
6,Matt Carpenter,San Diego Padres,St. Louis Cardinals,0,3,1,0,0,1,0,4,0,0
7,Luis Campusano,San Diego Padres,St. Louis Cardinals,0,3,1,2,0,0,0,3,2,0
8,Ben Gamel,San Diego Padres,St. Louis Cardinals,0,0,1,0,0,0,0,0,0,0
9,Gary Sánchez,San Diego Padres,St. Louis Cardinals,0,1,0,1,0,0,0,1,0,0
10,Trent Grisham,San Diego Padres,St. Louis Cardinals,0,3,0,0,0,0,0,4,0,0
11,Tommy Edman,St. Louis Cardinals,San Diego Padres,1,4,1,1,2,1,0,5,4,1
12,Paul Goldschmidt,St. Louis Cardinals,San Diego Padres,1,4,0,0,0,0,1,4,0,0
13,Willson Contreras,St. Louis Cardinals,San Diego Padres,1,4,1,1,0,0,1,4,2,0
14,Nolan Arenado,St. Louis Cardinals,San Diego Padres,1,4,1,1,0,0,0,4,1,0
15,Jordan Walker,St. Louis Cardinals,San Diego Padres,1,4,1,4,3,0,0,4,8,1
16,Andrew Knizner,St. Louis Cardinals,San Diego Padres,1,4,0,0,0,0,3,4,0,0
17,Taylor Motter,St. Louis Cardinals,San Diego Padres,1,3,0,0,0,0,1,4,0,0
18,Richie Palacios,St. Louis Cardinals,San Diego Padres,1,3,0,2,0,0,0,3,2,0
19,Luken Baker,St. Louis Cardinals,San Diego Padres,1,1,0,0,0,0,0,1,0,0
20,Masyn Winn,St. Louis Cardinals,San Diego Padres,1,4,1,1,0,0,1,4,2,0
0,Christian Yelich,Milwaukee Brewers,Chicago Cubs,0,5,1,1,0,0,2,5,1,0
1,William Contreras,Milwaukee Brewers,Chicago Cubs,0,3,0,1,1,2,1,5,1,0
2,Tyrone Taylor,Milwaukee Brewers,Chicago Cubs,0,0,0,0,0,0,0,0,0,0
3,Carlos Santana,Milwaukee Brewers,Chicago Cubs,0,4,0,1,0,1,0,5,1,0
4,Sal Frelick,Milwaukee Brewers,Chicago Cubs,0,4,1,1,0,0,2,4,1,0
5,Willy Adames,Milwaukee Brewers,Chicago Cubs,0,3,0,0,0,1,0,4,0,0
6,Rowdy Tellez,Milwaukee Brewers,Chicago Cubs,0,3,0,1,0,1,1,4,1,0
7,Mark Canha,Milwaukee Brewers,Chicago Cubs,0,3,0,0,1,0,0,4,0,0
8,Joey Wiemer,Milwaukee Brewers,Chicago Cubs,0,0,0,0,0,0,0,0,0,0
9,Brice Turang,Milwaukee Brewers,Chicago Cubs,0,4,0,0,0,0,1,4,0,0
10,Andruw Monasterio,Milwaukee Brewers,Chicago Cubs,0,4,0,0,0,0,1,4,0,0
11,Mike Tauchman,Chicago Cubs,Milwaukee Brewers,1,2,2,0,0,2,1,4,0,0
12,Nico Hoerner,Chicago Cubs,Milwaukee Brewers,1,2,1,1,0,0,0,4,0,0
13,Ian Happ,Chicago Cubs,Milwaukee Brewers,1,3,0,1,1,0,0,4,2,0
14,Cody Bellinger,Chicago Cubs,Milwaukee Brewers,1,4,0,1,1,0,2,4,1,0
15,Dansby Swanson,Chicago Cubs,Milwaukee Brewers,1,3,0,0,1,0,2,4,0,0
16,Seiya Suzuki,Chicago Cubs,Milwaukee Brewers,1,3,0,0,0,0,0,3,0,0
17,Jeimer Candelario,Chicago Cubs,Milwaukee Brewers,1,3,0,0,0,0,1,3,0,0
18,Nick Madrigal,Chicago Cubs,Milwaukee Brewers,1,3,0,0,0,0,1,3,0,0
19,Miguel Amaya,Chicago Cubs,Milwaukee Brewers,1,2,0,0,0,0,2,2,0,0
20,Christopher Morel,Chicago Cubs,Milwaukee Brewers,1,1,0,0,0,0,0,1,0,0
21,Yan Gomes,Chicago Cubs,Milwaukee Brewers,1,0,0,0,0,0,0,0,0,0
0,CJ Abrams,Washington Nationals,Toronto Blue Jays,0,4,0,0,0,0,1,4,0,0
1,Lane Thomas,Washington Nationals,Toronto Blue Jays,0,3,0,0,0,0,0,3,0,0
2,Alex Call,Washington Nationals,Toronto Blue Jays,0,1,0,0,0,0,0,1,0,0
3,Joey Meneses,Washington Nationals,Toronto Blue Jays,0,4,0,2,0,0,0,4,2,0
4,Keibert Ruiz,Washington Nationals,Toronto Blue Jays,0,3,0,1,0,1,0,4,1,0
5,Carter Kieboom,Washington Nationals,Toronto Blue Jays,0,4,0,1,0,0,1,4,0,0
6,Jake Alu,Washington Nationals,Toronto Blue Jays,0,4,0,0,0,0,0,4,0,0
7,Ildemaro Vargas,Washington Nationals,Toronto Blue Jays,0,3,0,0,0,0,1,3,0,0
8,Riley Adams,Washington Nationals,Toronto Blue Jays,0,2,0,0,0,0,0,3,0,0
9,Jacob Young,Washington Nationals,Toronto Blue Jays,0,3,0,1,0,0,0,3,2,0
10,George Springer,Toronto Blue Jays,Washington Nationals,1,4,0,0,0,0,1,4,0,0
11,Davis Schneider,Toronto Blue Jays,Washington Nationals,1,2,2,1,0,2,0,4,1,0
12,Vladimir Guerrero Jr.,Toronto Blue Jays,Washington Nationals,1,4,1,1,0,0,2,4,0,0
13,Whit Merrifield,Toronto Blue Jays,Washington Nationals,1,4,0,1,0,0,1,4,1,0
14,Alejandro Kirk,Toronto Blue Jays,Washington Nationals,1,3,2,3,3,0,0,4,5,0
15,Daulton Varsho,Toronto Blue Jays,Washington Nationals,1,4,1,1,0,0,1,4,2,0
16,Ernie Clement,Toronto Blue Jays,Washington Nationals,1,3,1,2,1,0,0,3,2,0
17,Mason McCoy,Toronto Blue Jays,Washington Nationals,1,1,0,0,0,0,1,1,0,0
18,Santiago Espinal,Toronto Blue Jays,Washington Nationals,1,4,0,2,2,0,0,4,2,0
19,Cavan Biggio,Toronto Blue Jays,Washington Nationals,1,3,0,1,1,0,1,4,2,0
0,TJ Friedl,Cincinnati Reds,San Francisco Giants,0,5,0,0,0,0,0,5,0,0
1,Spencer Steer,Cincinnati Reds,San Francisco Giants,0,4,1,1,0,1,1,5,1,0
2,Elly De La Cruz,Cincinnati Reds,San Francisco Giants,0,5,2,2,0,0,1,5,0,0
3,Nick Martini,Cincinnati Reds,San Francisco Giants,0,4,0,1,0,0,2,4,1,0
4,Christian Encarnacion-Strand,Cincinnati Reds,San Francisco Giants,0,4,1,4,3,0,0,4,0,0
5,Nick Senzel,Cincinnati Reds,San Francisco Giants,0,4,0,1,0,0,0,4,1,0
6,Will Benson,Cincinnati Reds,San Francisco Giants,0,4,0,0,0,0,3,4,0,0
7,Noelvi Marte,Cincinnati Reds,San Francisco Giants,0,3,0,0,0,1,2,4,0,0
8,Luke Maile,Cincinnati Reds,San Francisco Giants,0,4,0,2,0,0,1,4,0,0
9,LaMonte Wade Jr.,San Francisco Giants,Cincinnati Reds,1,4,0,0,0,0,1,4,0,0
10,Thairo Estrada,San Francisco Giants,Cincinnati Reds,1,4,0,1,0,0,1,4,0,0
11,Wilmer Flores,San Francisco Giants,Cincinnati Reds,1,4,0,1,0,0,0,4,1,0
12,Joc Pederson,San Francisco Giants,Cincinnati Reds,1,2,0,0,0,1,0,4,0,0
13,Patrick Bailey,San Francisco Giants,Cincinnati Reds,1,3,0,0,0,1,2,4,0,0
14,Mike Yastrzemski,San Francisco Giants,Cincinnati Reds,1,2,0,0,0,2,0,4,0,0
15,Paul DeJong,San Francisco Giants,Cincinnati Reds,1,2,0,0,0,0,0,2,0,0
16,J.D. Davis,San Francisco Giants,Cincinnati Reds,1,2,0,0,0,0,0,2,0,0
17,Wade Meckler,San Francisco Giants,Cincinnati Reds,1,4,0,0,0,0,3,4,0,0
18,Casey Schmitt,San Francisco Giants,Cincinnati Reds,1,3,1,2,0,0,1,3,4,0
0,Jose Altuve,Houston Astros,Boston Red Sox,0,5,1,1,0,0,1,5,1,0
1,Alex Bregman,Houston Astros,Boston Red Sox,0,5,1,2,1,0,1,5,3,0
2,Yordan Alvarez,Houston Astros,Boston Red Sox,0,4,0,1,0,1,1,5,1,0
3,Mauricio Dubón,Houston Astros,Boston Red Sox,0,0,0,0,0,0,0,0,0,0
4,Kyle Tucker,Houston Astros,Boston Red Sox,0,3,1,0,0,2,0,5,0,0
5,Chas McCormick,Houston Astros,Boston Red Sox,0,5,1,1,1,0,0,5,1,0
6,Michael Brantley,Houston Astros,Boston Red Sox,0,4,1,2,2,0,1,4,3,0
7,Jon Singleton,Houston Astros,Boston Red Sox,0,4,0,1,1,0,1,4,1,0
8,Jeremy Peña,Houston Astros,Boston Red Sox,0,4,2,2,1,0,2,4,0,0
9,Martín Maldonado,Houston Astros,Boston Red Sox,0,3,0,2,1,1,0,4,0,0
10,Ceddanne Rafaela,Boston Red Sox,Houston Astros,1,4,1,1,1,0,2,4,2,0
11,Justin Turner,Boston Red Sox,Houston Astros,1,4,0,1,1,0,0,4,1,0
12,Rafael Devers,Boston Red Sox,Houston Astros,1,4,0,0,1,0,0,4,0,0
13,Adam Duvall,Boston Red Sox,Houston Astros,1,3,0,1,0,1,1,4,2,0
