,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Mike Yastrzemski,San Francisco Giants,Colorado Rockies,0,3,0,0,0,0,2,3,0,0
1,Austin Slater,San Francisco Giants,Colorado Rockies,0,1,0,1,0,0,0,1,0,0
2,Patrick Bailey,San Francisco Giants,Colorado Rockies,0,1,0,0,0,0,0,1,0,0
3,Thairo Estrada,San Francisco Giants,Colorado Rockies,0,5,1,4,1,0,0,5,4,0
4,Michael Conforto,San Francisco Giants,Colorado Rockies,0,1,0,0,0,2,0,3,0,0
5,Mitch Haniger,San Francisco Giants,Colorado Rockies,0,2,0,0,0,0,1,2,0,0
6,Wilmer Flores,San Francisco Giants,Colorado Rockies,0,4,0,0,0,0,0,4,0,0
7,Joc Pederson,San Francisco Giants,Colorado Rockies,0,4,0,0,0,0,2,4,0,0
8,LaMonte Wade Jr.,San Francisco Giants,Colorado Rockies,0,3,2,1,1,1,1,4,0,0
9,Luis Matos,San Francisco Giants,Colorado Rockies,0,3,1,0,0,0,0,4,0,0
10,Brandon Crawford,San Francisco Giants,Colorado Rockies,0,2,1,0,0,2,0,4,0,0
11,Blake Sabol,San Francisco Giants,Colorado Rockies,0,2,0,1,2,2,1,4,1,0
12,Nolan Jones,Colorado Rockies,San Francisco Giants,1,4,3,1,0,1,0,5,3,0
13,Ezequiel Tovar,Colorado Rockies,San Francisco Giants,1,5,1,3,4,0,1,5,5,0
14,Kris Bryant,Colorado Rockies,San Francisco Giants,1,5,1,1,1,0,2,5,1,0
15,Ryan McMahon,Colorado Rockies,San Francisco Giants,1,5,0,0,0,0,5,5,0,0
16,Elehuris Montero,Colorado Rockies,San Francisco Giants,1,3,0,0,0,1,0,4,0,0
17,Hunter Goodman,Colorado Rockies,San Francisco Giants,1,3,0,0,1,1,1,4,0,0
18,Harold Castro,Colorado Rockies,San Francisco Giants,1,1,1,1,1,3,0,4,1,0
19,Brenton Doyle,Colorado Rockies,San Francisco Giants,1,4,2,2,0,0,0,4,2,0
20,Austin Wynns,Colorado Rockies,San Francisco Giants,1,3,1,1,2,1,1,4,1,0
0,Wilyer Abreu,Boston Red Sox,Toronto Blue Jays,0,2,1,1,0,1,0,3,1,0
1,Ceddanne Rafaela,Boston Red Sox,Toronto Blue Jays,0,3,0,0,0,0,1,3,0,0
2,Rafael Devers,Boston Red Sox,Toronto Blue Jays,0,4,1,1,2,2,1,6,4,1
3,Justin Turner,Boston Red Sox,Toronto Blue Jays,0,6,0,1,0,0,0,6,1,0
4,Alex Verdugo,Boston Red Sox,Toronto Blue Jays,0,5,1,0,0,0,3,5,0,0
5,Adam Duvall,Boston Red Sox,Toronto Blue Jays,0,5,0,0,0,0,1,5,0,0
6,Masataka Yoshida,Boston Red Sox,Toronto Blue Jays,0,4,0,0,0,0,1,4,0,0
7,Pablo Reyes,Boston Red Sox,Toronto Blue Jays,0,1,0,1,1,0,0,1,1,0
8,Trevor Story,Boston Red Sox,Toronto Blue Jays,0,5,0,1,0,0,2,5,2,0
9,Luis Urías,Boston Red Sox,Toronto Blue Jays,0,3,0,0,0,2,1,5,0,0
10,Connor Wong,Boston Red Sox,Toronto Blue Jays,0,5,0,0,0,0,1,5,0,0
11,George Springer,Toronto Blue Jays,Boston Red Sox,1,6,0,0,0,0,1,6,0,0
12,Bo Bichette,Toronto Blue Jays,Boston Red Sox,1,5,0,1,1,0,2,6,0,0
13,Vladimir Guerrero Jr.,Toronto Blue Jays,Boston Red Sox,1,3,2,2,1,3,0,6,0,1
14,Davis Schneider,Toronto Blue Jays,Boston Red Sox,1,6,0,0,0,0,2,6,0,0
15,Santiago Espinal,Toronto Blue Jays,Boston Red Sox,1,5,0,1,0,1,2,6,0,0
16,Whit Merrifield,Toronto Blue Jays,Boston Red Sox,1,5,0,1,1,1,2,6,0,0
