,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,0,Edouard Julien,Minnesota Twins,New York Yankees,0,4,0,0,0,0,2,4,0,0
1,1,Carlos Correa,Minnesota Twins,New York Yankees,0,4,0,0,0,0,2,4,0,0
2,2,Byron Buxton,Minnesota Twins,New York Yankees,0,4,0,0,0,0,4,4,0,0
3,3,Trevor Larnach,Minnesota Twins,New York Yankees,0,4,1,1,0,0,2,4,2,0
4,4,Jose Miranda,Minnesota Twins,New York Yankees,0,3,0,1,1,0,1,3,2,0
5,5,Donovan Solano,Minnesota Twins,New York Yankees,0,3,0,1,0,0,0,3,0,0
6,6,Max Kepler,Minnesota Twins,New York Yankees,0,3,0,0,0,0,1,3,0,0
7,7,Christian Vázquez,Minnesota Twins,New York Yankees,0,3,0,1,0,0,0,3,0,0
8,8,Michael A. Taylor,Minnesota Twins,New York Yankees,0,3,0,1,0,0,1,3,0,0
9,9,DJ LeMahieu,New York Yankees,Minnesota Twins,1,4,1,1,1,0,1,5,0,0
10,10,Aaron Judge,New York Yankees,Minnesota Twins,1,2,1,1,0,2,0,4,2,0
11,11,Anthony Rizzo,New York Yankees,Minnesota Twins,1,4,1,1,1,0,0,4,4,1
12,12,Giancarlo Stanton,New York Yankees,Minnesota Twins,1,4,0,1,2,0,1,4,2,0
13,13,Aaron Hicks,New York Yankees,Minnesota Twins,1,0,0,0,0,0,0,0,0,0
14,14,Gleyber Torres,New York Yankees,Minnesota Twins,1,3,0,0,0,1,1,4,0,0
15,15,Franchy Cordero,New York Yankees,Minnesota Twins,1,4,1,0,0,0,1,4,0,0
16,16,Oswaldo Cabrera,New York Yankees,Minnesota Twins,1,4,0,0,0,0,3,4,0,0
17,17,Kyle Higashioka,New York Yankees,Minnesota Twins,1,4,1,1,2,0,2,4,4,1
18,18,Anthony Volpe,New York Yankees,Minnesota Twins,1,2,1,1,0,2,0,4,1,0
19,0,LaMonte Wade Jr.,San Francisco Giants,Detroit Tigers,0,3,1,0,0,2,0,5,0,0
20,1,Heliot Ramos,San Francisco Giants,Detroit Tigers,0,1,0,0,0,0,0,1,0,0
21,2,Thairo Estrada,San Francisco Giants,Detroit Tigers,0,6,1,2,0,0,2,6,3,0
22,3,Mike Yastrzemski,San Francisco Giants,Detroit Tigers,0,5,1,1,0,0,2,5,0,0
23,4,J.D. Davis,San Francisco Giants,Detroit Tigers,0,4,1,2,3,1,1,5,5,1
24,5,Matt Beaty,San Francisco Giants,Detroit Tigers,0,2,0,0,1,0,0,2,0,0
25,6,Darin Ruf,San Francisco Giants,Detroit Tigers,0,2,0,0,0,0,1,2,0,0
26,7,Michael Conforto,San Francisco Giants,Detroit Tigers,0,1,0,0,0,0,1,1,0,0
27,8,Wilmer Flores,San Francisco Giants,Detroit Tigers,0,5,0,1,0,0,1,5,1,0
28,9,Brandon Crawford,San Francisco Giants,Detroit Tigers,0,4,0,0,0,1,1,5,0,0
29,10,Joey Bart,San Francisco Giants,Detroit Tigers,0,5,1,2,0,0,1,5,2,0
30,11,Blake Sabol,San Francisco Giants,Detroit Tigers,0,4,1,1,2,0,2,4,4,1
31,12,David Villar,San Francisco Giants,Detroit Tigers,0,0,0,0,0,1,0,1,0,0
32,13,Nick Maton,Detroit Tigers,San Francisco Giants,1,5,1,1,0,0,1,5,0,0
33,14,Riley Greene,Detroit Tigers,San Francisco Giants,1,4,1,1,0,1,2,5,0,0
34,15,Javier Báez,Detroit Tigers,San Francisco Giants,1,5,1,2,2,0,2,5,0,0
35,16,Kerry Carpenter,Detroit Tigers,San Francisco Giants,1,5,1,1,1,0,0,5,4,1
36,17,Spencer Torkelson,Detroit Tigers,San Francisco Giants,1,5,1,1,1,0,0,5,0,0
37,18,Akil Baddoo,Detroit Tigers,San Francisco Giants,1,4,1,1,0,0,0,4,0,0
38,19,Miguel Cabrera,Detroit Tigers,San Francisco Giants,1,1,0,1,1,0,0,1,0,0
39,20,Zach McKinstry,Detroit Tigers,San Francisco Giants,1,4,1,1,1,0,2,4,1,0
40,21,Eric Haase,Detroit Tigers,San Francisco Giants,1,3,0,1,0,1,0,4,0,0
41,22,Matt Vierling,Detroit Tigers,San Francisco Giants,1,4,0,0,1,0,0,4,0,0
42,0,Cedric Mullins,Baltimore Orioles,Chicago White Sox,0,3,0,2,1,3,1,6,3,0
43,1,Adley Rutschman,Baltimore Orioles,Chicago White Sox,0,4,0,0,1,2,0,6,0,0
44,2,Ryan Mountcastle,Baltimore Orioles,Chicago White Sox,0,6,0,0,0,0,1,6,0,0
45,3,Anthony Santander,Baltimore Orioles,Chicago White Sox,0,5,1,2,1,0,1,5,5,1
46,4,Austin Hays,Baltimore Orioles,Chicago White Sox,0,4,2,2,0,1,0,5,4,0
47,5,Adam Frazier,Baltimore Orioles,Chicago White Sox,0,4,1,1,0,1,2,5,0,0
48,6,Ramón Urías,Baltimore Orioles,Chicago White Sox,0,1,0,1,0,2,0,4,0,0
49,7,Gunnar Henderson,Baltimore Orioles,Chicago White Sox,0,1,1,0,0,0,0,1,0,0
50,8,James McCann,Baltimore Orioles,Chicago White Sox,0,3,0,0,0,0,1,3,0,0
51,9,Ryan O'Hearn,Baltimore Orioles,Chicago White Sox,0,0,0,0,1,1,0,1,0,0
52,10,Danny Coulombe,Baltimore Orioles,Chicago White Sox,0,0,0,0,0,0,0,0,0,0
53,11,Terrin Vavra,Baltimore Orioles,Chicago White Sox,0,1,0,0,0,0,1,1,0,0
54,12,Jorge Mateo,Baltimore Orioles,Chicago White Sox,0,4,1,3,2,0,0,5,6,1
55,13,Andrew Benintendi,Chicago White Sox,Baltimore Orioles,1,5,0,2,1,0,1,5,3,0
56,14,Luis Robert Jr.,Chicago White Sox,Baltimore Orioles,1,5,0,0,0,0,1,5,0,0
57,15,Andrew Vaughn,Chicago White Sox,Baltimore Orioles,1,5,1,2,1,0,1,5,3,0
58,16,Eloy Jiménez,Chicago White Sox,Baltimore Orioles,1,4,1,0,0,1,1,5,0,0
59,17,Romy Gonzalez,Chicago White Sox,Baltimore Orioles,1,0,1,0,0,0,0,0,0,0
60,18,Yasmani Grandal,Chicago White Sox,Baltimore Orioles,1,5,0,3,1,0,0,5,5,0
61,19,Seby Zavala,Chicago White Sox,Baltimore Orioles,1,0,1,0,0,0,0,0,0,0
62,20,Jake Burger,Chicago White Sox,Baltimore Orioles,1,4,1,2,3,0,0,5,5,1
63,21,Oscar Colás,Chicago White Sox,Baltimore Orioles,1,5,0,1,1,0,0,5,0,0
64,22,Lenyn Sosa,Chicago White Sox,Baltimore Orioles,1,4,0,1,0,0,0,4,2,0
65,23,Elvis Andrus,Chicago White Sox,Baltimore Orioles,1,2,2,2,0,2,0,4,2,0
66,0,Ke'Bryan Hayes,Pittsburgh Pirates,St. Louis Cardinals,0,4,2,2,1,1,0,5,5,0
67,1,Bryan Reynolds,Pittsburgh Pirates,St. Louis Cardinals,0,5,1,1,0,0,2,5,1,0
68,2,Andrew McCutchen,Pittsburgh Pirates,St. Louis Cardinals,0,4,1,1,2,1,1,5,4,0
69,3,Carlos Santana,Pittsburgh Pirates,St. Louis Cardinals,0,4,0,0,0,1,1,5,0,0
