,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Akil Baddoo,Detroit Tigers,Minnesota Twins,0,2,3,1,0,3,1,5,1,0
1,Riley Greene,Detroit Tigers,Minnesota Twins,0,4,2,3,4,0,1,5,8,1
2,Matt Vierling,Detroit Tigers,Minnesota Twins,0,5,0,2,1,0,1,5,2,0
3,Spencer Torkelson,Detroit Tigers,Minnesota Twins,0,5,2,2,2,0,1,5,8,2
4,Kerry Carpenter,Detroit Tigers,Minnesota Twins,0,4,1,2,1,0,1,4,5,1
5,Miguel Cabrera,Detroit Tigers,Minnesota Twins,0,4,0,1,0,0,0,4,2,0
6,Zach McKinstry,Detroit Tigers,Minnesota Twins,0,4,0,1,0,0,1,4,0,0
7,Andy Ibáñez,Detroit Tigers,Minnesota Twins,0,2,0,0,0,0,1,2,0,0
8,Nick Maton,Detroit Tigers,Minnesota Twins,0,2,0,0,0,0,1,2,0,0
9,Zack Short,Detroit Tigers,Minnesota Twins,0,0,0,0,0,0,0,0,0,0
10,Jake Rogers,Detroit Tigers,Minnesota Twins,0,4,0,0,0,0,0,4,0,0
11,Edouard Julien,Minnesota Twins,Detroit Tigers,1,5,1,4,2,0,0,5,4,0
12,Jorge Polanco,Minnesota Twins,Detroit Tigers,1,3,1,1,3,1,2,5,4,1
13,Max Kepler,Minnesota Twins,Detroit Tigers,1,4,2,1,1,1,2,5,4,1
14,Royce Lewis,Minnesota Twins,Detroit Tigers,1,4,0,3,1,1,0,5,4,0
15,Matt Wallner,Minnesota Twins,Detroit Tigers,1,5,0,1,0,0,2,5,0,0
16,Donovan Solano,Minnesota Twins,Detroit Tigers,1,5,0,0,0,0,1,5,0,0
17,Christian Vázquez,Minnesota Twins,Detroit Tigers,1,4,1,1,0,0,1,4,0,0
18,Joey Gallo,Minnesota Twins,Detroit Tigers,1,3,1,1,0,1,2,4,0,0
19,Kyle Farmer,Minnesota Twins,Detroit Tigers,1,4,1,1,0,0,1,4,0,0
0,Ke'Bryan Hayes,Pittsburgh Pirates,New York Mets,0,5,1,2,0,0,0,5,3,0
1,Bryan Reynolds,Pittsburgh Pirates,New York Mets,0,5,1,1,2,0,1,5,4,1
