,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,0,Ryan Noda,Oakland Athletics,Pittsburgh Pirates,0,4,2,2,2,2,1,6,5,1
1,1,Seth Brown,Oakland Athletics,Pittsburgh Pirates,0,4,2,3,1,2,1,6,4,0
2,2,Brent Rooker,Oakland Athletics,Pittsburgh Pirates,0,6,1,2,2,0,1,6,3,0
3,3,Ramón Laureano,Oakland Athletics,Pittsburgh Pirates,0,5,1,1,0,1,1,6,0,0
4,4,Jace Peterson,Oakland Athletics,Pittsburgh Pirates,0,4,1,2,2,1,0,5,3,0
5,5,Jonah Bride,Oakland Athletics,Pittsburgh Pirates,0,4,1,2,1,1,0,5,2,0
6,6,JJ Bleday,Oakland Athletics,Pittsburgh Pirates,0,4,1,2,1,1,0,5,2,0
7,7,Shea Langeliers,Oakland Athletics,Pittsburgh Pirates,0,5,0,1,0,0,2,5,0,0
8,8,Kevin Smith,Oakland Athletics,Pittsburgh Pirates,0,5,0,2,0,0,0,5,2,0
9,9,Andrew McCutchen,Pittsburgh Pirates,Oakland Athletics,1,3,0,1,0,2,0,5,1,0
10,10,Bryan Reynolds,Pittsburgh Pirates,Oakland Athletics,1,4,0,1,1,1,1,5,1,0
11,11,Connor Joe,Pittsburgh Pirates,Oakland Athletics,1,3,0,0,1,1,0,4,0,0
12,12,Tucupita Marcano,Pittsburgh Pirates,Oakland Athletics,1,1,0,1,0,0,0,1,1,0
13,13,Carlos Santana,Pittsburgh Pirates,Oakland Athletics,1,4,1,0,0,1,0,5,0,0
14,14,Ke'Bryan Hayes,Pittsburgh Pirates,Oakland Athletics,1,5,1,3,0,0,0,5,5,0
15,15,Rodolfo Castro,Pittsburgh Pirates,Oakland Athletics,1,4,1,2,3,0,1,4,6,1
16,16,Mark Mathias,Pittsburgh Pirates,Oakland Athletics,1,2,0,0,0,0,0,2,0,0
17,17,Josh Palacios,Pittsburgh Pirates,Oakland Athletics,1,2,0,0,0,0,2,2,0,0
18,18,Ji Hwan Bae,Pittsburgh Pirates,Oakland Athletics,1,3,1,1,0,1,0,4,0,0
19,19,Jason Delay,Pittsburgh Pirates,Oakland Athletics,1,2,1,0,0,1,1,4,0,0
20,0,J.P. Crawford,Seattle Mariners,San Diego Padres,0,3,0,0,0,0,2,3,0,0
21,1,José Caballero,Seattle Mariners,San Diego Padres,0,0,0,0,1,0,0,1,0,0
22,2,Julio Rodríguez,Seattle Mariners,San Diego Padres,0,4,0,1,1,0,0,4,0,0
23,3,Ty France,Seattle Mariners,San Diego Padres,0,4,0,1,0,0,0,4,2,0
24,4,Cal Raleigh,Seattle Mariners,San Diego Padres,0,4,0,0,0,0,1,4,0,0
