,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Luis Rengifo,Los Angeles Angels,Toronto Blue Jays,0,4,0,2,0,1,0,5,3,0
1,Shohei Ohtani,Los Angeles Angels,Toronto Blue Jays,0,3,1,1,0,2,0,5,1,0
2,Mickey Moniak,Los Angeles Angels,Toronto Blue Jays,0,5,0,1,0,0,0,5,1,0
3,Mike Moustakas,Los Angeles Angels,Toronto Blue Jays,0,5,1,1,0,0,0,5,1,0
4,Matt Thaiss,Los Angeles Angels,Toronto Blue Jays,0,2,0,0,0,0,1,4,0,0
5,Chad Wallach,Los Angeles Angels,Toronto Blue Jays,0,0,0,0,0,0,0,1,0,0
6,Hunter Renfroe,Los Angeles Angels,Toronto Blue Jays,0,4,1,3,3,0,1,5,6,0
7,Eduardo Escobar,Los Angeles Angels,Toronto Blue Jays,0,4,0,0,0,1,0,5,0,0
8,Trey Cabbage,Los Angeles Angels,Toronto Blue Jays,0,5,0,0,0,0,4,5,0,0
9,Andrew Velazquez,Los Angeles Angels,Toronto Blue Jays,0,2,0,0,0,0,2,3,0,0
10,Michael Stefanic,Los Angeles Angels,Toronto Blue Jays,0,1,0,0,0,0,0,1,0,0
11,Whit Merrifield,Toronto Blue Jays,Los Angeles Angels,1,5,0,1,1,0,0,5,1,0
12,Bo Bichette,Toronto Blue Jays,Los Angeles Angels,1,4,1,1,0,1,0,5,1,0
13,Vladimir Guerrero Jr.,Toronto Blue Jays,Los Angeles Angels,1,4,0,2,1,1,0,5,0,0
14,Kevin Kiermaier,Toronto Blue Jays,Los Angeles Angels,1,0,0,0,0,0,0,0,0,0
15,Matt Chapman,Toronto Blue Jays,Los Angeles Angels,1,4,0,1,0,1,1,5,2,0
16,George Springer,Toronto Blue Jays,Los Angeles Angels,1,5,0,0,0,0,1,5,0,0
17,Alejandro Kirk,Toronto Blue Jays,Los Angeles Angels,1,3,0,0,0,1,0,4,0,0
18,Cavan Biggio,Toronto Blue Jays,Los Angeles Angels,1,1,0,0,0,0,1,1,0,0
19,Danny Jansen,Toronto Blue Jays,Los Angeles Angels,1,5,0,0,0,0,0,5,0,0
20,Santiago Espinal,Toronto Blue Jays,Los Angeles Angels,1,4,0,1,0,0,1,4,1,0
21,Daulton Varsho,Toronto Blue Jays,Los Angeles Angels,1,4,1,2,0,0,0,4,4,0
0,Christian Yelich,Milwaukee Brewers,Atlanta Braves,0,4,2,1,2,1,0,5,4,1
1,William Contreras,Milwaukee Brewers,Atlanta Braves,0,5,0,2,2,0,1,5,3,0
2,Carlos Santana,Milwaukee Brewers,Atlanta Braves,0,4,1,1,1,1,1,5,4,1
3,Sal Frelick,Milwaukee Brewers,Atlanta Braves,0,4,0,0,0,1,2,5,0,0
4,Willy Adames,Milwaukee Brewers,Atlanta Braves,0,3,0,0,0,1,2,4,0,0
5,Andruw Monasterio,Milwaukee Brewers,Atlanta Braves,0,4,0,1,0,0,1,4,1,0
6,Abraham Toro,Milwaukee Brewers,Atlanta Braves,0,3,1,0,0,1,1,4,0,0
7,Brice Turang,Milwaukee Brewers,Atlanta Braves,0,4,1,2,0,0,0,4,2,0
8,Blake Perkins,Milwaukee Brewers,Atlanta Braves,0,3,1,0,0,1,2,4,0,0
9,Ronald Acuna Jr.,Atlanta Braves,Milwaukee Brewers,1,4,2,2,0,0,0,4,0,0
10,Ozzie Albies,Atlanta Braves,Milwaukee Brewers,1,4,1,1,0,0,1,4,1,0
11,Austin Riley,Atlanta Braves,Milwaukee Brewers,1,3,2,1,2,1,2,4,4,1
12,Matt Olson,Atlanta Braves,Milwaukee Brewers,1,4,2,2,5,0,1,4,8,2
13,Sean Murphy,Atlanta Braves,Milwaukee Brewers,1,4,0,0,0,0,3,4,0,0
14,Marcell Ozuna,Atlanta Braves,Milwaukee Brewers,1,3,1,1,1,1,1,4,4,1
15,Eddie Rosario,Atlanta Braves,Milwaukee Brewers,1,3,0,0,0,0,2,3,0,0
16,Orlando Arcia,Atlanta Braves,Milwaukee Brewers,1,2,0,1,0,1,0,3,0,0
17,Michael Harris II,Atlanta Braves,Milwaukee Brewers,1,3,0,1,0,0,0,3,0,0
0,Kyle Schwarber,Philadelphia Phillies,Pittsburgh Pirates,0,3,1,0,0,2,3,5,0,0
1,Brandon Marsh,Philadelphia Phillies,Pittsburgh Pirates,0,0,0,0,0,0,0,0,0,0
2,Nick Castellanos,Philadelphia Phillies,Pittsburgh Pirates,0,5,0,1,0,0,2,5,1,0
3,Bryce Harper,Philadelphia Phillies,Pittsburgh Pirates,0,2,1,1,1,3,1,5,1,0
4,Alec Bohm,Philadelphia Phillies,Pittsburgh Pirates,0,5,1,3,3,0,1,5,6,1
5,Trea Turner,Philadelphia Phillies,Pittsburgh Pirates,0,5,0,1,0,0,2,5,2,0
6,Edmundo Sosa,Philadelphia Phillies,Pittsburgh Pirates,0,5,0,1,0,0,4,5,1,0
7,Josh Harrison,Philadelphia Phillies,Pittsburgh Pirates,0,3,0,0,0,0,0,4,0,0
8,Garrett Stubbs,Philadelphia Phillies,Pittsburgh Pirates,0,3,1,0,0,1,0,4,0,0
9,Johan Rojas,Philadelphia Phillies,Pittsburgh Pirates,0,3,0,1,0,0,1,4,1,0
10,Connor Joe,Pittsburgh Pirates,Philadelphia Phillies,1,5,2,2,0,0,0,5,2,0
11,Bryan Reynolds,Pittsburgh Pirates,Philadelphia Phillies,1,4,1,2,2,0,1,5,5,1
12,Andrew McCutchen,Pittsburgh Pirates,Philadelphia Phillies,1,3,0,0,0,2,1,5,0,0
13,Henry Davis,Pittsburgh Pirates,Philadelphia Phillies,1,4,0,0,0,1,1,5,0,0
14,Jared Triolo,Pittsburgh Pirates,Philadelphia Phillies,1,5,2,2,0,0,1,5,2,0
15,Josh Palacios,Pittsburgh Pirates,Philadelphia Phillies,1,5,1,3,2,0,1,5,7,1
