,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Mike Tauchman,Chicago Cubs,Cincinnati Reds,0,5,1,1,0,0,2,5,1,0
1,Nico Hoerner,Chicago Cubs,Cincinnati Reds,0,5,1,2,0,0,0,5,2,0
2,Ian Happ,Chicago Cubs,Cincinnati Reds,0,3,2,2,2,2,1,5,6,0
3,Cody Bellinger,Chicago Cubs,Cincinnati Reds,0,5,1,2,3,0,0,5,5,0
4,Dansby Swanson,Chicago Cubs,Cincinnati Reds,0,4,0,1,0,1,1,5,1,0
5,Seiya Suzuki,Chicago Cubs,Cincinnati Reds,0,4,1,1,1,1,1,5,4,0
6,Christopher Morel,Chicago Cubs,Cincinnati Reds,0,2,0,0,0,0,0,2,0,0
7,Jeimer Candelario,Chicago Cubs,Cincinnati Reds,0,2,0,0,0,0,0,2,0,0
8,Miguel Amaya,Chicago Cubs,Cincinnati Reds,0,3,0,0,0,1,3,4,0,0
9,Nick Madrigal,Chicago Cubs,Cincinnati Reds,0,3,0,1,0,1,0,4,1,0
10,Harrison Bader,Cincinnati Reds,Chicago Cubs,1,3,0,0,0,0,0,3,0,0
11,Jake Fraley,Cincinnati Reds,Chicago Cubs,1,1,0,0,0,0,0,1,0,0
12,Daniel Duarte,Cincinnati Reds,Chicago Cubs,1,0,0,0,0,0,0,0,0,0
13,Will Benson,Cincinnati Reds,Chicago Cubs,1,1,0,1,1,0,0,1,1,0
14,Spencer Steer,Cincinnati Reds,Chicago Cubs,1,4,0,2,0,1,0,5,2,0
15,Elly De La Cruz,Cincinnati Reds,Chicago Cubs,1,3,0,0,0,1,1,5,0,0
16,Hunter Renfroe,Cincinnati Reds,Chicago Cubs,1,4,0,0,0,0,0,4,0,0
17,Christian Encarnacion-Strand,Cincinnati Reds,Chicago Cubs,1,4,0,0,0,0,1,4,0,0
18,Nick Senzel,Cincinnati Reds,Chicago Cubs,1,2,1,1,0,0,1,2,1,0
19,Nick Martini,Cincinnati Reds,Chicago Cubs,1,1,0,0,0,0,0,2,0,0
20,Tyler Stephenson,Cincinnati Reds,Chicago Cubs,1,3,0,1,0,1,1,4,1,0
21,Noelvi Marte,Cincinnati Reds,Chicago Cubs,1,3,1,2,1,1,0,4,2,0
22,Stuart Fairchild,Cincinnati Reds,Chicago Cubs,1,2,0,0,0,0,1,2,0,0
23,TJ Friedl,Cincinnati Reds,Chicago Cubs,1,1,0,0,0,0,0,2,0,0
0,Mike Tauchman,Chicago Cubs,Cincinnati Reds,0,3,0,0,0,1,0,4,0,0
1,Nico Hoerner,Chicago Cubs,Cincinnati Reds,0,2,1,0,0,2,0,4,0,0
2,Ian Happ,Chicago Cubs,Cincinnati Reds,0,4,0,1,1,0,2,4,0,0
3,Cody Bellinger,Chicago Cubs,Cincinnati Reds,0,3,1,2,1,1,1,4,5,1
4,Dansby Swanson,Chicago Cubs,Cincinnati Reds,0,4,0,0,0,0,2,4,0,0
5,Seiya Suzuki,Chicago Cubs,Cincinnati Reds,0,4,0,1,0,0,1,4,2,0
6,Jeimer Candelario,Chicago Cubs,Cincinnati Reds,0,2,0,0,0,2,1,4,0,0
7,Yan Gomes,Chicago Cubs,Cincinnati Reds,0,4,0,0,0,0,0,4,0,0
8,Christopher Morel,Chicago Cubs,Cincinnati Reds,0,3,0,1,0,0,1,3,1,0
9,Nick Madrigal,Chicago Cubs,Cincinnati Reds,0,1,0,0,0,0,0,1,0,0
10,Jake Fraley,Cincinnati Reds,Chicago Cubs,1,4,1,3,0,0,0,4,5,0
11,Harrison Bader,Cincinnati Reds,Chicago Cubs,1,0,0,0,0,0,0,0,0,0
12,TJ Friedl,Cincinnati Reds,Chicago Cubs,1,3,0,1,1,0,2,4,1,0
13,Tyler Stephenson,Cincinnati Reds,Chicago Cubs,1,0,0,0,0,0,0,0,0,0
