,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,0,Max Kepler,Minnesota Twins,Boston Red Sox,0,5,0,2,1,0,1,5,3,0
1,1,Carlos Correa,Minnesota Twins,Boston Red Sox,0,3,0,1,0,0,0,3,0,0
2,2,Donovan Solano,Minnesota Twins,Boston Red Sox,0,0,0,0,0,1,0,2,0,0
3,3,Edouard Julien,Minnesota Twins,Boston Red Sox,0,5,0,1,1,0,3,5,1,0
4,4,Trevor Larnach,Minnesota Twins,Boston Red Sox,0,4,0,1,0,0,2,4,0,0
5,5,Joey Gallo,Minnesota Twins,Boston Red Sox,0,3,0,0,0,1,1,4,0,0
6,6,Jose Miranda,Minnesota Twins,Boston Red Sox,0,4,1,1,0,0,1,4,1,0
7,7,Nick Gordon,Minnesota Twins,Boston Red Sox,0,4,1,1,0,0,0,4,2,0
8,8,Christian Vázquez,Minnesota Twins,Boston Red Sox,0,4,1,1,1,0,1,4,0,0
9,9,Willi Castro,Minnesota Twins,Boston Red Sox,0,4,2,2,2,0,1,4,6,1
10,10,Alex Verdugo,Boston Red Sox,Minnesota Twins,1,4,2,2,1,0,1,4,5,1
11,11,Rob Refsnyder,Boston Red Sox,Minnesota Twins,1,1,0,0,0,0,0,1,0,0
12,12,Rafael Devers,Boston Red Sox,Minnesota Twins,1,4,1,1,1,0,0,4,2,0
13,13,Christian Arroyo,Boston Red Sox,Minnesota Twins,1,1,1,1,0,0,0,1,2,0
14,14,Justin Turner,Boston Red Sox,Minnesota Twins,1,5,0,1,0,0,0,5,1,0
15,15,Masataka Yoshida,Boston Red Sox,Minnesota Twins,1,5,1,2,2,0,0,5,2,0
16,16,Enrique Hernández,Boston Red Sox,Minnesota Twins,1,5,2,3,0,0,0,5,0,0
17,17,Triston Casas,Boston Red Sox,Minnesota Twins,1,2,2,1,0,2,1,4,1,0
18,18,Connor Wong,Boston Red Sox,Minnesota Twins,1,4,1,1,2,0,1,4,1,0
19,19,Jarren Duran,Boston Red Sox,Minnesota Twins,1,2,0,1,3,1,0,4,2,0
20,20,Yu Chang,Boston Red Sox,Minnesota Twins,1,4,1,1,2,0,1,4,4,1
21,0,Taylor Ward,Los Angeles Angels,New York Yankees,0,4,0,0,1,0,2,5,0,0
22,1,Shohei Ohtani,Los Angeles Angels,New York Yankees,0,3,0,0,0,1,0,4,0,0
23,2,Mike Trout,Los Angeles Angels,New York Yankees,0,4,0,1,0,0,1,4,1,0
24,3,Anthony Rendon,Los Angeles Angels,New York Yankees,0,4,0,0,0,0,2,4,0,0
25,4,Hunter Renfroe,Los Angeles Angels,New York Yankees,0,4,0,1,0,0,1,4,1,0
26,5,Brandon Drury,Los Angeles Angels,New York Yankees,0,4,1,1,0,0,1,4,1,0
27,6,Luis Rengifo,Los Angeles Angels,New York Yankees,0,2,2,1,0,2,0,4,2,0
28,7,Logan O'Hoppe,Los Angeles Angels,New York Yankees,0,4,0,3,2,0,0,4,0,0
29,8,Matt Thaiss,Los Angeles Angels,New York Yankees,0,0,0,0,0,0,0,0,0,0
30,9,Zach Neto,Los Angeles Angels,New York Yankees,0,3,0,0,0,0,2,4,0,0
31,10,Anthony Volpe,New York Yankees,Los Angeles Angels,1,3,1,0,0,2,2,5,0,0
32,11,Aaron Judge,New York Yankees,Los Angeles Angels,1,4,2,1,0,1,2,5,1,0
33,12,Franchy Cordero,New York Yankees,Los Angeles Angels,1,0,0,0,0,0,0,0,0,0
34,13,Anthony Rizzo,New York Yankees,Los Angeles Angels,1,3,2,3,1,2,0,5,3,0
35,14,Gleyber Torres,New York Yankees,Los Angeles Angels,1,4,1,1,0,1,1,5,0,0
36,15,DJ LeMahieu,New York Yankees,Los Angeles Angels,1,3,2,1,1,1,1,5,2,0
37,16,Oswald Peraza,New York Yankees,Los Angeles Angels,1,4,1,1,2,1,2,5,0,0
38,17,Oswaldo Cabrera,New York Yankees,Los Angeles Angels,1,4,0,0,0,1,2,5,0,0
39,18,Jose Trevino,New York Yankees,Los Angeles Angels,1,4,0,1,3,1,0,5,2,0
40,19,Isiah Kiner-Falefa,New York Yankees,Los Angeles Angels,1,3,0,1,2,1,0,4,0,0
41,0,Jonathan India,Cincinnati Reds,Pittsburgh Pirates,0,4,1,3,1,0,0,4,4,0
42,1,TJ Friedl,Cincinnati Reds,Pittsburgh Pirates,0,4,0,1,0,0,2,4,1,0
