,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Ha-Seong Kim,San Diego Padres,Cincinnati Reds,0,5,2,1,0,0,1,5,0,0
1,Fernando Tatis Jr.,San Diego Padres,Cincinnati Reds,0,4,1,2,3,0,0,5,0,0
2,Juan Soto,San Diego Padres,Cincinnati Reds,0,4,1,1,4,0,0,5,4,1
3,Manny Machado,San Diego Padres,Cincinnati Reds,0,5,2,2,3,0,1,5,8,2
4,Xander Bogaerts,San Diego Padres,Cincinnati Reds,0,4,0,0,0,1,0,5,0,0
5,Nelson Cruz,San Diego Padres,Cincinnati Reds,0,5,0,2,0,0,0,5,0,0
6,Brandon Dixon,San Diego Padres,Cincinnati Reds,0,2,0,0,0,0,1,2,0,0
7,Jake Cronenworth,San Diego Padres,Cincinnati Reds,0,1,1,0,0,1,0,3,0,0
8,Trent Grisham,San Diego Padres,Cincinnati Reds,0,3,3,1,1,1,1,5,1,0
9,Austin Nola,San Diego Padres,Cincinnati Reds,0,3,2,1,1,0,1,4,1,0
10,TJ Friedl,Cincinnati Reds,San Diego Padres,1,5,0,0,0,0,2,5,0,0
11,Matt McLain,Cincinnati Reds,San Diego Padres,1,4,1,2,1,1,1,5,4,0
12,Jonathan India,Cincinnati Reds,San Diego Padres,1,3,1,1,4,1,0,4,4,1
13,Elly De La Cruz,Cincinnati Reds,San Diego Padres,1,4,0,0,0,0,1,4,0,0
14,Jake Fraley,Cincinnati Reds,San Diego Padres,1,4,0,2,0,0,0,4,3,0
15,Joey Votto,Cincinnati Reds,San Diego Padres,1,3,0,0,0,1,2,4,0,0
16,Spencer Steer,Cincinnati Reds,San Diego Padres,1,4,0,0,0,0,0,4,0,0
17,Tyler Stephenson,Cincinnati Reds,San Diego Padres,1,2,2,0,0,2,0,4,0,0
18,Will Benson,Cincinnati Reds,San Diego Padres,1,4,1,3,0,0,0,4,3,0
0,DJ LeMahieu,New York Yankees,St. Louis Cardinals,0,4,0,1,0,1,0,5,1,0
1,Jake Bauers,New York Yankees,St. Louis Cardinals,0,5,1,1,2,0,2,5,4,1
2,Gleyber Torres,New York Yankees,St. Louis Cardinals,0,4,0,1,0,1,1,5,0,0
3,Anthony Rizzo,New York Yankees,St. Louis Cardinals,0,2,0,0,0,3,0,5,0,0
4,Isiah Kiner-Falefa,New York Yankees,St. Louis Cardinals,0,4,1,1,0,1,0,5,0,0
5,Billy McKinney,New York Yankees,St. Louis Cardinals,0,4,0,0,0,0,1,4,0,0
6,Anthony Volpe,New York Yankees,St. Louis Cardinals,0,4,1,2,0,0,1,4,2,0
7,Oswaldo Cabrera,New York Yankees,St. Louis Cardinals,0,4,1,3,1,0,0,4,3,0
