,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Corbin Carroll,Arizona Diamondbacks,Chicago Cubs,0,3,0,2,1,1,1,4,2,0
1,Ketel Marte,Arizona Diamondbacks,Chicago Cubs,0,4,0,0,0,0,1,4,0,0
2,Tommy Pham,Arizona Diamondbacks,Chicago Cubs,0,4,0,0,0,0,4,4,0,0
3,Christian Walker,Arizona Diamondbacks,Chicago Cubs,0,4,0,0,0,0,2,4,0,0
4,Alek Thomas,Arizona Diamondbacks,Chicago Cubs,0,4,0,1,0,0,1,4,1,0
5,Lourdes Gurriel Jr.,Arizona Diamondbacks,Chicago Cubs,0,4,1,1,0,0,1,4,0,0
6,Gabriel Moreno,Arizona Diamondbacks,Chicago Cubs,0,2,0,0,0,1,1,3,0,0
7,Jordan Lawlar,Arizona Diamondbacks,Chicago Cubs,0,3,0,0,0,0,2,3,0,0
8,Emmanuel Rivera,Arizona Diamondbacks,Chicago Cubs,0,0,0,0,0,0,0,0,0,0
9,Geraldo Perdomo,Arizona Diamondbacks,Chicago Cubs,0,3,0,0,0,0,2,3,0,0
10,Mike Tauchman,Chicago Cubs,Arizona Diamondbacks,1,3,0,0,0,1,1,4,0,0
11,Nico Hoerner,Chicago Cubs,Arizona Diamondbacks,1,3,0,1,0,0,0,4,1,0
12,Ian Happ,Chicago Cubs,Arizona Diamondbacks,1,4,0,0,0,0,2,4,0,0
13,Cody Bellinger,Chicago Cubs,Arizona Diamondbacks,1,3,0,0,0,0,0,3,0,0
14,Dansby Swanson,Chicago Cubs,Arizona Diamondbacks,1,3,0,0,0,0,2,3,0,0
15,Seiya Suzuki,Chicago Cubs,Arizona Diamondbacks,1,3,0,2,0,0,1,3,2,0
16,Jeimer Candelario,Chicago Cubs,Arizona Diamondbacks,1,3,0,0,0,0,1,3,0,0
17,Miles Mastrobuoni,Chicago Cubs,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,0
18,Patrick Wisdom,Chicago Cubs,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,0
19,Nick Madrigal,Chicago Cubs,Arizona Diamondbacks,1,3,0,0,0,0,1,3,0,0
20,Miguel Amaya,Chicago Cubs,Arizona Diamondbacks,1,2,0,0,0,0,1,2,0,0
21,Yan Gomes,Chicago Cubs,Arizona Diamondbacks,1,1,0,0,0,0,0,1,0,0
0,Tommy Edman,St. Louis Cardinals,Cincinnati Reds,0,4,1,0,0,0,1,5,0,0
1,Tyler O'Neill,St. Louis Cardinals,Cincinnati Reds,0,4,1,2,0,1,0,5,0,0
2,Paul Goldschmidt,St. Louis Cardinals,Cincinnati Reds,0,3,2,0,0,2,2,5,0,0
3,Nolan Arenado,St. Louis Cardinals,Cincinnati Reds,0,5,2,3,1,0,0,5,3,0
4,Willson Contreras,St. Louis Cardinals,Cincinnati Reds,0,4,2,1,3,1,1,5,4,1
5,Luken Baker,St. Louis Cardinals,Cincinnati Reds,0,3,0,1,3,0,1,3,2,0
6,Alec Burleson,St. Louis Cardinals,Cincinnati Reds,0,1,0,0,0,0,0,1,0,0
7,Nolan Gorman,St. Louis Cardinals,Cincinnati Reds,0,4,0,0,0,0,2,4,0,0
8,Jordan Walker,St. Louis Cardinals,Cincinnati Reds,0,4,1,1,0,0,1,4,1,0
9,Lars Nootbaar,St. Louis Cardinals,Cincinnati Reds,0,4,0,1,1,0,1,4,2,0
10,Harrison Bader,Cincinnati Reds,St. Louis Cardinals,1,3,0,1,0,0,0,3,1,0
11,Will Benson,Cincinnati Reds,St. Louis Cardinals,1,1,0,0,0,1,0,2,0,0
12,Spencer Steer,Cincinnati Reds,St. Louis Cardinals,1,4,1,2,0,0,0,5,2,0
13,Hunter Renfroe,Cincinnati Reds,St. Louis Cardinals,1,4,1,2,2,1,1,5,5,1
14,Elly De La Cruz,Cincinnati Reds,St. Louis Cardinals,1,4,0,0,0,1,0,5,0,0
15,Nick Senzel,Cincinnati Reds,St. Louis Cardinals,1,2,1,1,1,0,0,2,4,1
16,TJ Friedl,Cincinnati Reds,St. Louis Cardinals,1,1,0,0,0,0,0,1,0,0
17,Tyler Stephenson,Cincinnati Reds,St. Louis Cardinals,1,2,0,0,0,0,2,2,0,0
18,Christian Encarnacion-Strand,Cincinnati Reds,St. Louis Cardinals,1,5,0,2,0,0,1,5,0,0
19,Stuart Fairchild,Cincinnati Reds,St. Louis Cardinals,1,1,0,0,0,1,0,2,0,0
20,Nick Martini,Cincinnati Reds,St. Louis Cardinals,1,3,0,1,0,0,2,3,1,0
21,Noelvi Marte,Cincinnati Reds,St. Louis Cardinals,1,4,1,1,0,0,0,4,1,0
22,Luke Maile,Cincinnati Reds,St. Louis Cardinals,1,2,0,0,0,1,1,4,0,0
0,Tim Anderson,Chicago White Sox,Detroit Tigers,0,4,1,0,0,1,2,5,0,0
1,Andrew Benintendi,Chicago White Sox,Detroit Tigers,0,4,1,1,2,0,1,4,0,0
2,Luis Robert Jr.,Chicago White Sox,Detroit Tigers,0,3,1,1,0,0,0,4,0,0
3,Eloy Jiménez,Chicago White Sox,Detroit Tigers,0,3,0,1,1,1,0,4,0,0
4,Yoán Moncada,Chicago White Sox,Detroit Tigers,0,4,1,2,3,0,1,4,0,0
5,Andrew Vaughn,Chicago White Sox,Detroit Tigers,0,4,0,1,0,0,1,4,1,0
6,Elvis Andrus,Chicago White Sox,Detroit Tigers,0,4,0,0,0,0,0,4,0,0
7,Yasmani Grandal,Chicago White Sox,Detroit Tigers,0,4,1,1,0,0,1,4,1,0
8,Oscar Colás,Chicago White Sox,Detroit Tigers,0,4,1,1,0,0,2,4,0,0
9,Akil Baddoo,Detroit Tigers,Chicago White Sox,1,4,0,0,0,0,3,4,0,0
10,Zach McKinstry,Detroit Tigers,Chicago White Sox,1,4,0,0,0,0,1,4,0,0
11,Spencer Torkelson,Detroit Tigers,Chicago White Sox,1,3,0,0,0,0,0,3,0,0
12,Kerry Carpenter,Detroit Tigers,Chicago White Sox,1,3,0,2,0,0,0,3,2,0
13,Miguel Cabrera,Detroit Tigers,Chicago White Sox,1,3,0,0,0,0,0,3,0,0
14,Andy Ibáñez,Detroit Tigers,Chicago White Sox,1,2,0,1,0,1,1,3,0,0
15,Parker Meadows,Detroit Tigers,Chicago White Sox,1,3,0,0,0,0,2,3,0,0
16,Javier Báez,Detroit Tigers,Chicago White Sox,1,1,0,0,0,0,0,2,0,0
17,Andre Lipcius,Detroit Tigers,Chicago White Sox,1,1,0,0,0,0,0,1,0,0
18,Jake Rogers,Detroit Tigers,Chicago White Sox,1,3,0,0,0,0,1,3,0,0
0,J.P. Crawford,Seattle Mariners,Tampa Bay Rays,0,5,0,0,0,0,2,5,0,0
1,Julio Rodríguez,Seattle Mariners,Tampa Bay Rays,0,4,1,1,1,0,0,4,0,0
2,Cal Raleigh,Seattle Mariners,Tampa Bay Rays,0,4,1,1,1,0,1,4,4,1
3,Teoscar Hernández,Seattle Mariners,Tampa Bay Rays,0,4,0,1,0,0,2,4,0,0
4,Eugenio Suárez,Seattle Mariners,Tampa Bay Rays,0,4,1,2,1,0,0,4,0,0
5,Dominic Canzone,Seattle Mariners,Tampa Bay Rays,0,4,1,1,0,0,1,4,2,0
6,Ty France,Seattle Mariners,Tampa Bay Rays,0,4,0,0,0,0,1,4,0,0
7,Mike Ford,Seattle Mariners,Tampa Bay Rays,0,2,0,0,0,2,1,4,0,0
8,Cade Marlowe,Seattle Mariners,Tampa Bay Rays,0,0,0,0,0,0,0,0,0,0
9,Dylan Moore,Seattle Mariners,Tampa Bay Rays,0,2,0,1,1,1,0,3,2,0
10,Josh Rojas,Seattle Mariners,Tampa Bay Rays,0,1,0,0,0,0,1,1,0,0
11,Yandy Díaz,Tampa Bay Rays,Seattle Mariners,1,2,1,0,0,2,0,4,0,0
12,Brandon Lowe,Tampa Bay Rays,Seattle Mariners,1,4,1,0,0,0,2,4,0,0
13,Harold Ramírez,Tampa Bay Rays,Seattle Mariners,1,3,2,1,2,0,0,4,0,0
14,Randy Arozarena,Tampa Bay Rays,Seattle Mariners,1,3,0,1,0,1,2,4,2,0
15,Isaac Paredes,Tampa Bay Rays,Seattle Mariners,1,4,1,3,2,0,1,4,6,1
16,Josh Lowe,Tampa Bay Rays,Seattle Mariners,1,3,0,0,1,0,0,4,0,0
17,Taylor Walls,Tampa Bay Rays,Seattle Mariners,1,4,0,0,0,0,2,4,0,0
18,Jose Siri,Tampa Bay Rays,Seattle Mariners,1,4,1,2,0,0,0,4,5,0
19,René Pinto,Tampa Bay Rays,Seattle Mariners,1,4,1,1,2,0,1,4,0,0
0,Christian Yelich,Milwaukee Brewers,New York Yankees,0,4,0,1,0,1,2,5,1,0
1,William Contreras,Milwaukee Brewers,New York Yankees,0,5,1,2,1,0,1,5,2,0
2,Carlos Santana,Milwaukee Brewers,New York Yankees,0,5,2,3,2,0,1,5,3,0
3,Sal Frelick,Milwaukee Brewers,New York Yankees,0,5,0,1,0,0,2,5,1,0
4,Willy Adames,Milwaukee Brewers,New York Yankees,0,4,1,2,3,0,0,5,6,1
5,Rowdy Tellez,Milwaukee Brewers,New York Yankees,0,5,0,1,0,0,2,5,1,0
6,Mark Canha,Milwaukee Brewers,New York Yankees,0,3,0,1,0,1,1,4,1,0
7,Joey Wiemer,Milwaukee Brewers,New York Yankees,0,1,1,0,0,0,0,1,0,0
8,Brice Turang,Milwaukee Brewers,New York Yankees,0,5,1,3,0,0,1,5,3,0
9,Andruw Monasterio,Milwaukee Brewers,New York Yankees,0,5,2,2,2,0,1,5,4,0
10,DJ LeMahieu,New York Yankees,Milwaukee Brewers,1,3,0,0,0,1,1,4,0,0
11,Aaron Judge,New York Yankees,Milwaukee Brewers,1,2,1,1,0,2,1,4,1,0
12,Jasson Domínguez,New York Yankees,Milwaukee Brewers,1,3,1,1,2,1,1,4,0,0
13,Gleyber Torres,New York Yankees,Milwaukee Brewers,1,4,0,0,0,0,1,4,0,0
14,Austin Wells,New York Yankees,Milwaukee Brewers,1,3,0,0,0,1,0,4,0,0
15,Anthony Volpe,New York Yankees,Milwaukee Brewers,1,4,0,0,0,0,2,4,0,0
16,Oswald Peraza,New York Yankees,Milwaukee Brewers,1,4,0,1,0,0,1,4,2,0
17,Jake Bauers,New York Yankees,Milwaukee Brewers,1,4,0,0,0,0,2,4,0,0
18,Oswaldo Cabrera,New York Yankees,Milwaukee Brewers,1,3,0,0,0,0,0,3,0,0
0,Luis Arraez,Miami Marlins,Philadelphia Phillies,0,4,0,0,0,0,1,4,0,0
1,Josh Bell,Miami Marlins,Philadelphia Phillies,0,3,0,1,0,1,0,4,1,0
2,Jake Burger,Miami Marlins,Philadelphia Phillies,0,4,0,1,0,0,0,4,0,0
3,Bryan De La Cruz,Miami Marlins,Philadelphia Phillies,0,4,1,2,0,0,1,4,0,0
4,Yuli Gurriel,Miami Marlins,Philadelphia Phillies,0,4,0,0,0,0,2,4,0,0
5,Garrett Hampson,Miami Marlins,Philadelphia Phillies,0,2,0,1,0,0,0,2,1,0
6,Jesús Sánchez,Miami Marlins,Philadelphia Phillies,0,2,1,1,2,0,0,2,0,0
7,Jazz Chisholm Jr.,Miami Marlins,Philadelphia Phillies,0,3,0,0,0,1,2,4,0,0
8,Jon Berti,Miami Marlins,Philadelphia Phillies,0,3,0,0,0,0,1,3,0,0
9,Joey Wendle,Miami Marlins,Philadelphia Phillies,0,1,0,0,0,0,0,1,0,0
10,Jacob Stallings,Miami Marlins,Philadelphia Phillies,0,4,1,1,1,0,1,4,4,1
11,Kyle Schwarber,Philadelphia Phillies,Miami Marlins,1,5,0,1,0,0,3,5,1,0
12,Trea Turner,Philadelphia Phillies,Miami Marlins,1,3,2,2,1,1,1,4,5,1
13,Bryce Harper,Philadelphia Phillies,Miami Marlins,1,2,0,1,1,2,0,4,1,0
14,Nick Castellanos,Philadelphia Phillies,Miami Marlins,1,4,0,0,0,0,1,4,0,0
