,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Julio Rodríguez,Seattle Mariners,Kansas City Royals,0,5,1,5,5,0,0,5,0,0
1,Eugenio Suárez,Seattle Mariners,Kansas City Royals,0,2,0,0,0,2,1,5,0,0
2,Ty France,Seattle Mariners,Kansas City Royals,0,5,0,0,0,0,2,5,0,0
3,Teoscar Hernández,Seattle Mariners,Kansas City Royals,0,5,0,1,0,0,3,5,0,0
4,Dylan Moore,Seattle Mariners,Kansas City Royals,0,3,0,1,0,1,1,5,1,0
5,Brian O'Keefe,Seattle Mariners,Kansas City Royals,0,4,0,0,0,0,2,4,0,0
6,Cal Raleigh,Seattle Mariners,Kansas City Royals,0,1,1,1,1,0,0,1,4,1
7,José Caballero,Seattle Mariners,Kansas City Royals,0,4,1,1,0,0,2,5,0,0
8,Cade Marlowe,Seattle Mariners,Kansas City Royals,0,3,2,2,0,1,1,4,3,0
9,Sam Haggerty,Seattle Mariners,Kansas City Royals,0,2,0,0,0,0,0,2,0,0
10,Dominic Canzone,Seattle Mariners,Kansas City Royals,0,0,1,0,0,2,0,2,0,0
11,Maikel Garcia,Kansas City Royals,Seattle Mariners,1,4,0,0,0,0,0,4,0,0
12,Bobby Witt,Kansas City Royals,Seattle Mariners,1,4,1,2,0,0,0,4,4,0
13,Michael Massey,Kansas City Royals,Seattle Mariners,1,4,1,1,1,0,1,4,1,0
14,Nelson Velázquez,Kansas City Royals,Seattle Mariners,1,4,2,2,1,0,1,4,0,0
15,MJ Melendez,Kansas City Royals,Seattle Mariners,1,4,0,2,1,0,0,4,3,0
16,Freddy Fermin,Kansas City Royals,Seattle Mariners,1,3,0,1,1,0,0,4,1,0
17,Drew Waters,Kansas City Royals,Seattle Mariners,1,3,0,0,0,0,1,3,0,0
18,Matt Duffy,Kansas City Royals,Seattle Mariners,1,3,0,1,0,0,0,3,1,0
19,Kyle Isbel,Kansas City Royals,Seattle Mariners,1,3,0,0,0,0,1,3,0,0
0,Rob Refsnyder,Boston Red Sox,Washington Nationals,0,3,1,1,0,1,0,4,1,0
1,Reese McGuire,Boston Red Sox,Washington Nationals,0,1,0,0,0,0,0,1,0,0
2,Rafael Devers,Boston Red Sox,Washington Nationals,0,5,1,1,2,0,2,5,4,0
3,Trevor Story,Boston Red Sox,Washington Nationals,0,5,0,0,0,0,2,5,0,0
4,Adam Duvall,Boston Red Sox,Washington Nationals,0,4,1,1,0,0,1,4,1,0
5,Masataka Yoshida,Boston Red Sox,Washington Nationals,0,4,0,2,0,0,2,4,2,0
6,Pablo Reyes,Boston Red Sox,Washington Nationals,0,4,1,1,0,0,0,4,1,0
7,Triston Casas,Boston Red Sox,Washington Nationals,0,3,2,1,1,1,1,4,4,0
8,Connor Wong,Boston Red Sox,Washington Nationals,0,3,0,0,0,0,2,3,0,0
9,Alex Verdugo,Boston Red Sox,Washington Nationals,0,1,0,1,0,0,0,1,1,0
10,Luis Urías,Boston Red Sox,Washington Nationals,0,3,1,2,4,0,1,3,0,0
