,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,DJ LeMahieu,New York Yankees,Detroit Tigers,0,3,0,1,0,1,1,4,1,0
1,Gleyber Torres,New York Yankees,Detroit Tigers,0,4,1,0,0,0,1,4,0,0
2,Anthony Volpe,New York Yankees,Detroit Tigers,0,4,1,2,3,0,1,4,6,1
3,Giancarlo Stanton,New York Yankees,Detroit Tigers,0,4,0,0,0,0,1,4,0,0
4,Ben Rortvedt,New York Yankees,Detroit Tigers,0,0,0,0,0,0,0,0,0,0
5,Isiah Kiner-Falefa,New York Yankees,Detroit Tigers,0,3,0,0,0,0,1,3,0,0
6,Aaron Judge,New York Yankees,Detroit Tigers,0,1,0,0,0,0,0,1,0,0
7,Jake Bauers,New York Yankees,Detroit Tigers,0,2,0,1,0,0,0,2,1,0
8,Oswald Peraza,New York Yankees,Detroit Tigers,0,2,0,0,0,0,0,2,0,0
9,Everson Pereira,New York Yankees,Detroit Tigers,0,4,0,0,0,0,2,4,0,0
10,Oswaldo Cabrera,New York Yankees,Detroit Tigers,0,2,1,1,0,1,0,3,1,0
11,Kyle Higashioka,New York Yankees,Detroit Tigers,0,3,0,0,0,0,1,3,0,0
12,Zach McKinstry,Detroit Tigers,New York Yankees,1,4,0,0,0,1,3,5,0,0
13,Riley Greene,Detroit Tigers,New York Yankees,1,5,1,2,1,0,1,5,2,0
14,Andy Ibáñez,Detroit Tigers,New York Yankees,1,4,0,2,0,0,0,4,0,0
15,Akil Baddoo,Detroit Tigers,New York Yankees,1,1,0,0,0,0,0,1,0,0
16,Matt Vierling,Detroit Tigers,New York Yankees,1,0,0,0,0,0,0,0,0,0
17,Spencer Torkelson,Detroit Tigers,New York Yankees,1,4,0,0,0,1,2,5,0,0
18,Kerry Carpenter,Detroit Tigers,New York Yankees,1,5,1,2,1,0,2,5,2,0
19,Miguel Cabrera,Detroit Tigers,New York Yankees,1,5,0,0,0,0,1,5,0,0
20,Parker Meadows,Detroit Tigers,New York Yankees,1,4,0,1,0,1,2,5,2,0
21,Zack Short,Detroit Tigers,New York Yankees,1,4,1,1,1,1,1,5,4,1
22,Carson Kelly,Detroit Tigers,New York Yankees,1,1,1,0,0,3,0,4,0,0
0,Luis Arraez,Miami Marlins,Washington Nationals,0,5,1,2,0,0,1,5,0,0
1,Josh Bell,Miami Marlins,Washington Nationals,0,5,1,3,0,0,1,5,0,0
2,Jake Burger,Miami Marlins,Washington Nationals,0,4,2,1,1,0,2,5,1,0
3,Jazz Chisholm Jr.,Miami Marlins,Washington Nationals,0,5,1,2,3,0,0,5,0,0
4,Bryan De La Cruz,Miami Marlins,Washington Nationals,0,5,0,1,1,0,1,5,0,0
5,Jesús Sánchez,Miami Marlins,Washington Nationals,0,4,1,1,0,0,2,4,0,0
6,Garrett Hampson,Miami Marlins,Washington Nationals,0,3,0,2,0,1,1,4,1,0
7,Joey Wendle,Miami Marlins,Washington Nationals,0,4,0,1,0,0,0,4,0,0
8,Nick Fortes,Miami Marlins,Washington Nationals,0,3,0,0,0,0,0,4,0,0
9,CJ Abrams,Washington Nationals,Miami Marlins,1,3,0,0,1,0,0,4,0,0
10,Joey Meneses,Washington Nationals,Miami Marlins,1,3,0,0,0,0,0,4,0,0
11,Keibert Ruiz,Washington Nationals,Miami Marlins,1,4,0,0,0,0,0,4,0,0
12,Carter Kieboom,Washington Nationals,Miami Marlins,1,4,0,1,0,0,0,4,1,0
13,Dominic Smith,Washington Nationals,Miami Marlins,1,3,0,0,0,1,0,4,0,0
14,Alex Call,Washington Nationals,Miami Marlins,1,2,0,0,0,1,0,3,0,0
15,Michael Chavis,Washington Nationals,Miami Marlins,1,3,0,0,0,0,0,3,0,0
16,Jake Alu,Washington Nationals,Miami Marlins,1,3,1,1,0,0,0,3,0,0
17,Jacob Young,Washington Nationals,Miami Marlins,1,3,0,1,0,0,2,3,2,0
0,LaMonte Wade Jr.,San Francisco Giants,San Diego Padres,0,5,1,0,0,0,0,5,0,0
1,Thairo Estrada,San Francisco Giants,San Diego Padres,0,5,1,2,0,0,3,5,2,0
2,Mitch Haniger,San Francisco Giants,San Diego Padres,0,4,0,1,0,1,2,5,3,0
3,Joc Pederson,San Francisco Giants,San Diego Padres,0,4,1,2,1,0,0,4,2,0
4,Paul DeJong,San Francisco Giants,San Diego Padres,0,1,0,0,0,0,0,1,0,0
5,Mike Yastrzemski,San Francisco Giants,San Diego Padres,0,3,2,2,2,1,0,4,5,0
6,Austin Slater,San Francisco Giants,San Diego Padres,0,1,0,0,0,0,0,1,0,0
7,J.D. Davis,San Francisco Giants,San Diego Padres,0,4,1,0,0,0,0,4,0,0
8,Wade Meckler,San Francisco Giants,San Diego Padres,0,4,1,1,1,0,2,4,1,0
9,Blake Sabol,San Francisco Giants,San Diego Padres,0,4,0,2,1,0,1,4,3,0
10,Casey Schmitt,San Francisco Giants,San Diego Padres,0,3,0,0,1,0,2,4,0,0
11,Ha-Seong Kim,San Diego Padres,San Francisco Giants,1,5,0,1,1,0,0,5,0,0
12,Juan Soto,San Diego Padres,San Francisco Giants,1,2,1,0,0,2,1,5,0,0
13,Manny Machado,San Diego Padres,San Francisco Giants,1,4,0,0,0,0,1,4,0,0
14,Fernando Tatis Jr.,San Diego Padres,San Francisco Giants,1,4,0,2,0,0,0,4,0,0
15,Xander Bogaerts,San Diego Padres,San Francisco Giants,1,3,0,0,0,1,2,4,0,0
16,Matt Carpenter,San Diego Padres,San Francisco Giants,1,0,0,0,0,2,0,2,0,0
17,Garrett Cooper,San Diego Padres,San Francisco Giants,1,2,0,1,1,0,1,2,2,0
18,Gary Sánchez,San Diego Padres,San Francisco Giants,1,4,0,1,0,0,2,4,0,0
19,Matthew Batten,San Diego Padres,San Francisco Giants,1,3,0,1,0,1,0,4,1,0
20,Trent Grisham,San Diego Padres,San Francisco Giants,1,3,0,0,0,0,0,3,0,0
21,José Azocar,San Diego Padres,San Francisco Giants,1,1,1,1,0,0,0,1,0,0
0,Ronald Acuna Jr.,Atlanta Braves,Los Angeles Dodgers,0,4,1,3,4,1,0,5,0,1
1,Michael Harris II,Atlanta Braves,Los Angeles Dodgers,0,5,1,2,2,0,0,5,0,1
2,Austin Riley,Atlanta Braves,Los Angeles Dodgers,0,5,1,2,1,0,0,5,1,1
3,Matt Olson,Atlanta Braves,Los Angeles Dodgers,0,5,0,0,0,0,1,5,0,0
4,Marcell Ozuna,Atlanta Braves,Los Angeles Dodgers,0,3,1,1,0,1,0,4,0,0
5,Eddie Rosario,Atlanta Braves,Los Angeles Dodgers,0,4,0,0,0,0,1,4,0,0
6,Sean Murphy,Atlanta Braves,Los Angeles Dodgers,0,3,1,0,0,0,0,4,0,0
7,Orlando Arcia,Atlanta Braves,Los Angeles Dodgers,0,4,1,1,0,0,1,4,0,0
8,Nicky Lopez,Atlanta Braves,Los Angeles Dodgers,0,3,2,0,1,1,0,4,0,0
9,Mookie Betts,Los Angeles Dodgers,Atlanta Braves,1,4,3,2,4,1,0,5,8,2
10,Freddie Freeman,Los Angeles Dodgers,Atlanta Braves,1,3,0,1,0,2,0,5,1,0
11,Will Smith,Los Angeles Dodgers,Atlanta Braves,1,5,0,2,0,0,2,5,2,0
12,Max Muncy,Los Angeles Dodgers,Atlanta Braves,1,5,1,1,2,0,2,5,4,1
13,David Peralta,Los Angeles Dodgers,Atlanta Braves,1,3,0,0,0,0,1,3,0,0
14,Enrique Hernández,Los Angeles Dodgers,Atlanta Braves,1,2,0,0,0,0,1,2,0,0
15,Jason Heyward,Los Angeles Dodgers,Atlanta Braves,1,3,1,1,0,0,1,3,1,0
16,Chris Taylor,Los Angeles Dodgers,Atlanta Braves,1,0,0,0,0,1,0,1,0,0
17,James Outman,Los Angeles Dodgers,Atlanta Braves,1,3,1,1,0,1,2,4,1,0
18,Michael Busch,Los Angeles Dodgers,Atlanta Braves,1,4,1,1,1,0,2,4,4,1
19,Amed Rosario,Los Angeles Dodgers,Atlanta Braves,1,4,0,0,0,0,3,4,0,0
