,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,0,Marcus Semien,Texas Rangers,Cincinnati Reds,0,4,1,0,0,1,2,5,0,0
1,1,Travis Jankowski,Texas Rangers,Cincinnati Reds,0,2,0,0,0,0,1,2,0,0
2,2,Leody Taveras,Texas Rangers,Cincinnati Reds,0,3,1,1,0,0,1,3,1,0
3,3,Nathaniel Lowe,Texas Rangers,Cincinnati Reds,0,3,0,1,1,1,0,4,2,0
4,4,Adolis García,Texas Rangers,Cincinnati Reds,0,2,0,1,1,1,1,4,0,0
5,5,Josh Jung,Texas Rangers,Cincinnati Reds,0,0,0,0,0,0,0,1,0,0
6,6,Ezequiel Duran,Texas Rangers,Cincinnati Reds,0,2,0,0,0,0,0,3,0,0
7,7,Jonah Heim,Texas Rangers,Cincinnati Reds,0,3,0,1,0,1,0,4,2,0
8,8,Bubba Thompson,Texas Rangers,Cincinnati Reds,0,0,1,0,0,0,0,0,0,0
9,9,Robbie Grossman,Texas Rangers,Cincinnati Reds,0,4,0,1,0,0,0,4,1,0
10,10,Sandy León,Texas Rangers,Cincinnati Reds,0,0,0,0,0,0,0,0,0,0
11,11,Brad Miller,Texas Rangers,Cincinnati Reds,0,3,0,0,1,0,1,4,0,0
12,12,Josh H. Smith,Texas Rangers,Cincinnati Reds,0,3,0,0,0,0,2,4,0,0
13,13,Jonathan India,Cincinnati Reds,Texas Rangers,1,2,0,0,0,2,0,4,0,0
14,14,TJ Friedl,Cincinnati Reds,Texas Rangers,1,3,0,0,1,0,1,4,0,0
15,15,Spencer Steer,Cincinnati Reds,Texas Rangers,1,4,0,0,0,0,3,4,0,0
16,16,Tyler Stephenson,Cincinnati Reds,Texas Rangers,1,3,1,2,0,1,0,4,3,0
17,17,Stuart Fairchild,Cincinnati Reds,Texas Rangers,1,0,0,0,0,0,0,0,0,0
18,18,Jake Fraley,Cincinnati Reds,Texas Rangers,1,4,0,1,0,0,1,4,1,0
19,19,Henry Ramos,Cincinnati Reds,Texas Rangers,1,4,1,1,1,0,0,4,3,0
20,20,Ian Gibaut,Cincinnati Reds,Texas Rangers,1,0,0,0,0,0,0,0,0,0
21,21,Kevin Newman,Cincinnati Reds,Texas Rangers,1,4,1,1,1,0,1,4,0,0
22,22,Nick Senzel,Cincinnati Reds,Texas Rangers,1,4,2,2,2,0,0,4,5,1
23,23,Curt Casali,Cincinnati Reds,Texas Rangers,1,1,0,0,0,0,0,3,0,0
24,0,Alex Verdugo,Boston Red Sox,Baltimore Orioles,0,4,1,1,0,0,0,4,2,0
25,1,Rafael Devers,Boston Red Sox,Baltimore Orioles,0,4,0,0,0,0,0,4,0,0
26,2,Justin Turner,Boston Red Sox,Baltimore Orioles,0,3,0,1,1,0,1,4,1,0
27,3,Masataka Yoshida,Boston Red Sox,Baltimore Orioles,0,4,1,1,1,0,1,4,4,0
28,4,Enrique Hernández,Boston Red Sox,Baltimore Orioles,0,3,0,2,0,1,1,4,0,0
29,5,Triston Casas,Boston Red Sox,Baltimore Orioles,0,3,0,0,0,1,1,4,0,0
30,6,Jarren Duran,Boston Red Sox,Baltimore Orioles,0,4,0,2,0,0,1,4,2,0
31,7,Enmanuel Valdez,Boston Red Sox,Baltimore Orioles,0,2,0,0,0,0,1,2,0,0
32,8,Christian Arroyo,Boston Red Sox,Baltimore Orioles,0,2,0,0,0,0,1,2,0,0
33,9,Connor Wong,Boston Red Sox,Baltimore Orioles,0,2,0,0,0,0,2,2,0,0
34,10,Reese McGuire,Boston Red Sox,Baltimore Orioles,0,2,0,0,0,0,1,2,0,0
35,11,Cedric Mullins,Baltimore Orioles,Boston Red Sox,1,3,1,2,1,1,0,5,2,0
36,12,Adley Rutschman,Baltimore Orioles,Boston Red Sox,1,2,0,0,1,2,0,5,0,0
37,13,Anthony Santander,Baltimore Orioles,Boston Red Sox,1,3,0,0,2,0,0,5,0,0
38,14,Ryan Mountcastle,Baltimore Orioles,Boston Red Sox,1,4,0,1,0,0,0,4,1,0
39,15,Gunnar Henderson,Baltimore Orioles,Boston Red Sox,1,3,0,0,0,1,2,4,0,0
40,16,Adam Frazier,Baltimore Orioles,Boston Red Sox,1,4,1,1,0,0,1,4,1,0
41,17,Ryan O'Hearn,Baltimore Orioles,Boston Red Sox,1,4,1,1,0,0,1,4,0,0
42,18,Ramón Urías,Baltimore Orioles,Boston Red Sox,1,4,3,4,1,0,0,4,0,0
43,19,Terrin Vavra,Baltimore Orioles,Boston Red Sox,1,1,0,0,0,0,0,2,0,0
44,20,Ryan McKenna,Baltimore Orioles,Boston Red Sox,1,2,0,2,1,0,0,2,3,0
45,0,Elvis Andrus,Chicago White Sox,Toronto Blue Jays,0,4,0,0,0,0,2,4,0,0
46,1,Andrew Vaughn,Chicago White Sox,Toronto Blue Jays,0,4,0,1,0,0,2,4,0,0
47,2,Luis Robert Jr.,Chicago White Sox,Toronto Blue Jays,0,4,0,1,0,0,3,4,0,0
48,3,Eloy Jiménez,Chicago White Sox,Toronto Blue Jays,0,4,0,0,0,0,3,4,0,0
49,4,Andrew Benintendi,Chicago White Sox,Toronto Blue Jays,0,3,0,1,0,0,1,3,1,0
50,5,Jake Burger,Chicago White Sox,Toronto Blue Jays,0,3,0,0,0,0,1,3,0,0
51,6,Seby Zavala,Chicago White Sox,Toronto Blue Jays,0,2,0,0,0,1,2,3,0,0
52,7,Lenyn Sosa,Chicago White Sox,Toronto Blue Jays,0,3,0,0,0,0,1,3,0,0
53,8,Romy Gonzalez,Chicago White Sox,Toronto Blue Jays,0,2,0,1,0,0,1,2,1,0
54,9,Adam Haseley,Chicago White Sox,Toronto Blue Jays,0,1,0,0,0,0,1,1,0,0
55,10,George Springer,Toronto Blue Jays,Chicago White Sox,1,1,1,0,0,0,0,2,0,0
56,11,Cavan Biggio,Toronto Blue Jays,Chicago White Sox,1,3,0,0,0,0,2,3,0,0
57,12,Bo Bichette,Toronto Blue Jays,Chicago White Sox,1,4,2,3,3,1,1,5,6,1
