,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Lane Thomas,Washington Nationals,Philadelphia Phillies,0,3,1,0,0,2,1,5,0,0
1,Joey Meneses,Washington Nationals,Philadelphia Phillies,0,5,2,2,3,0,1,5,8,2
2,Dominic Smith,Washington Nationals,Philadelphia Phillies,0,0,0,0,0,0,0,0,0,0
3,Keibert Ruiz,Washington Nationals,Philadelphia Phillies,0,5,0,0,0,0,2,5,0,0
4,Stone Garrett,Washington Nationals,Philadelphia Phillies,0,4,1,1,0,1,0,5,0,0
5,Riley Adams,Washington Nationals,Philadelphia Phillies,0,3,0,1,0,1,1,4,1,0
6,Ildemaro Vargas,Washington Nationals,Philadelphia Phillies,0,4,1,2,2,0,0,4,5,1
7,Alex Call,Washington Nationals,Philadelphia Phillies,0,4,0,2,0,0,1,4,2,0
8,Michael Chavis,Washington Nationals,Philadelphia Phillies,0,2,0,0,0,0,1,2,0,0
9,CJ Abrams,Washington Nationals,Philadelphia Phillies,0,2,0,0,0,0,0,2,0,0
10,Jeter Downs,Washington Nationals,Philadelphia Phillies,0,2,0,0,0,0,0,2,0,0
11,Jake Alu,Washington Nationals,Philadelphia Phillies,0,2,0,0,0,0,2,2,0,0
12,Kyle Schwarber,Philadelphia Phillies,Washington Nationals,1,3,1,0,0,2,1,5,0,0
13,Nick Castellanos,Philadelphia Phillies,Washington Nationals,1,5,1,2,0,0,1,5,2,0
14,Bryce Harper,Philadelphia Phillies,Washington Nationals,1,5,1,1,2,0,3,5,4,1
15,Trea Turner,Philadelphia Phillies,Washington Nationals,1,4,1,2,1,0,1,4,3,0
16,Bryson Stott,Philadelphia Phillies,Washington Nationals,1,3,0,1,1,1,0,4,1,0
17,Rodolfo Castro,Philadelphia Phillies,Washington Nationals,1,4,0,0,0,0,2,4,0,0
18,Jake Cave,Philadelphia Phillies,Washington Nationals,1,4,0,1,0,0,1,4,0,0
19,Garrett Stubbs,Philadelphia Phillies,Washington Nationals,1,4,0,1,0,0,1,4,2,0
20,Johan Rojas,Philadelphia Phillies,Washington Nationals,1,3,0,0,0,1,1,4,0,0
0,CJ Abrams,Washington Nationals,Philadelphia Phillies,0,5,1,2,0,0,0,5,3,0
1,Lane Thomas,Washington Nationals,Philadelphia Phillies,0,5,1,1,2,0,1,5,4,1
2,Joey Meneses,Washington Nationals,Philadelphia Phillies,0,4,1,1,0,0,1,4,1,0
3,Dominic Smith,Washington Nationals,Philadelphia Phillies,0,4,0,3,0,0,1,4,4,0
4,Keibert Ruiz,Washington Nationals,Philadelphia Phillies,0,4,1,3,2,0,0,4,6,1
5,Jake Alu,Washington Nationals,Philadelphia Phillies,0,4,0,1,0,0,2,4,0,0
6,Ildemaro Vargas,Washington Nationals,Philadelphia Phillies,0,4,0,0,0,0,0,4,0,0
7,Blake Rutherford,Washington Nationals,Philadelphia Phillies,0,4,0,0,0,0,0,4,0,0
8,Alex Call,Washington Nationals,Philadelphia Phillies,0,4,0,0,0,0,2,4,0,0
9,Kyle Schwarber,Philadelphia Phillies,Washington Nationals,1,4,2,2,5,0,1,4,8,2
10,Alec Bohm,Philadelphia Phillies,Washington Nationals,1,4,1,1,1,0,0,4,4,1
11,Bryce Harper,Philadelphia Phillies,Washington Nationals,1,4,0,0,0,0,3,4,0,0
12,Nick Castellanos,Philadelphia Phillies,Washington Nationals,1,4,0,1,0,0,2,4,1,0
13,Bryson Stott,Philadelphia Phillies,Washington Nationals,1,3,0,1,0,1,1,4,0,0
14,J.T. Realmuto,Philadelphia Phillies,Washington Nationals,1,4,0,0,0,0,1,4,0,0
15,Trea Turner,Philadelphia Phillies,Washington Nationals,1,3,1,1,0,1,1,4,2,0
16,Jake Cave,Philadelphia Phillies,Washington Nationals,1,4,2,2,2,0,1,4,5,1
17,Johan Rojas,Philadelphia Phillies,Washington Nationals,1,4,2,2,0,0,1,4,2,0
0,Jorge Soler,Miami Marlins,Cincinnati Reds,0,3,1,3,2,1,0,4,6,0
