,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,TB,HRs
0,Steven Kwan,Cleveland Guardians,Pittsburgh Pirates,0,4,1,0,0,1,0,5,0,0
1,Amed Rosario,Cleveland Guardians,Pittsburgh Pirates,0,5,1,1,2,0,1,5,2,0
2,José Ramírez,Cleveland Guardians,Pittsburgh Pirates,0,4,1,1,0,0,0,4,0,0
3,Josh Bell,Cleveland Guardians,Pittsburgh Pirates,0,4,1,3,2,0,0,4,6,0
4,Andrés Giménez,Cleveland Guardians,Pittsburgh Pirates,0,4,0,1,1,0,0,4,0,0
5,Tyler Freeman,Cleveland Guardians,Pittsburgh Pirates,0,4,0,1,0,0,0,4,1,0
6,David Fry,Cleveland Guardians,Pittsburgh Pirates,0,3,0,1,0,0,0,3,2,0
7,Josh Naylor,Cleveland Guardians,Pittsburgh Pirates,0,1,0,0,0,0,0,1,0,0
8,Gabriel Arias,Cleveland Guardians,Pittsburgh Pirates,0,0,0,0,0,0,0,0,0,0
9,Myles Straw,Cleveland Guardians,Pittsburgh Pirates,0,3,1,2,0,0,0,4,3,0
10,Cam Gallagher,Cleveland Guardians,Pittsburgh Pirates,0,3,0,0,0,0,2,3,0,0
11,Will Brennan,Cleveland Guardians,Pittsburgh Pirates,0,1,0,0,0,0,1,1,0,0
12,Jack Suwinski,Pittsburgh Pirates,Cleveland Guardians,1,3,0,1,1,0,1,3,2,0
13,Connor Joe,Pittsburgh Pirates,Cleveland Guardians,1,2,0,1,0,0,1,2,1,0
14,Bryan Reynolds,Pittsburgh Pirates,Cleveland Guardians,1,4,1,0,1,0,0,4,0,0
15,Carlos Santana,Pittsburgh Pirates,Cleveland Guardians,1,3,1,0,0,1,1,4,0,0
16,Ji Man Choi,Pittsburgh Pirates,Cleveland Guardians,1,3,1,1,2,1,0,4,0,0
17,Henry Davis,Pittsburgh Pirates,Cleveland Guardians,1,3,1,1,0,1,0,4,1,0
18,Jared Triolo,Pittsburgh Pirates,Cleveland Guardians,1,4,1,2,2,0,1,4,2,0
19,Tucupita Marcano,Pittsburgh Pirates,Cleveland Guardians,1,4,0,0,0,0,2,4,0,0
20,Nick Gonzales,Pittsburgh Pirates,Cleveland Guardians,1,3,1,2,1,1,0,4,2,0
21,Austin Hedges,Pittsburgh Pirates,Cleveland Guardians,1,2,0,0,0,0,0,2,0,0
22,Endy Rodríguez,Pittsburgh Pirates,Cleveland Guardians,1,2,1,1,0,0,1,2,0,0
0,Mookie Betts,Los Angeles Dodgers,Baltimore Orioles,0,4,0,0,0,1,1,5,0,0
1,Freddie Freeman,Los Angeles Dodgers,Baltimore Orioles,0,3,2,0,0,1,1,4,0,0
2,Max Muncy,Los Angeles Dodgers,Baltimore Orioles,0,4,1,1,2,0,1,4,4,1
3,Will Smith,Los Angeles Dodgers,Baltimore Orioles,0,3,1,2,1,1,0,4,3,0
4,David Peralta,Los Angeles Dodgers,Baltimore Orioles,0,4,0,2,1,0,0,4,2,0
5,Jason Heyward,Los Angeles Dodgers,Baltimore Orioles,0,1,0,0,0,1,0,2,0,0
6,Chris Taylor,Los Angeles Dodgers,Baltimore Orioles,0,2,0,0,0,0,1,2,0,0
7,James Outman,Los Angeles Dodgers,Baltimore Orioles,0,4,1,1,1,0,2,4,4,1
8,Miguel Rojas,Los Angeles Dodgers,Baltimore Orioles,0,3,0,0,0,0,0,3,0,0
9,Yonny Hernández,Los Angeles Dodgers,Baltimore Orioles,0,1,0,0,0,0,0,1,0,0
10,Austin Barnes,Los Angeles Dodgers,Baltimore Orioles,0,4,0,1,0,0,0,4,1,0
11,Austin Hays,Baltimore Orioles,Los Angeles Dodgers,1,4,0,0,1,0,1,5,0,0
12,Anthony Santander,Baltimore Orioles,Los Angeles Dodgers,1,2,1,0,0,2,1,4,0,0
13,Ryan Mountcastle,Baltimore Orioles,Los Angeles Dodgers,1,4,1,1,0,0,0,4,1,0
14,Colton Cowser,Baltimore Orioles,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,0
15,Aaron Hicks,Baltimore Orioles,Los Angeles Dodgers,1,4,1,2,1,0,1,4,2,0
16,Jordan Westburg,Baltimore Orioles,Los Angeles Dodgers,1,4,1,2,1,0,0,4,3,0
17,Gunnar Henderson,Baltimore Orioles,Los Angeles Dodgers,1,3,3,1,1,1,0,4,4,1
18,Ramón Urías,Baltimore Orioles,Los Angeles Dodgers,1,3,0,2,3,1,0,4,0,0
19,James McCann,Baltimore Orioles,Los Angeles Dodgers,1,4,0,1,0,0,1,4,2,0
20,Jorge Mateo,Baltimore Orioles,Los Angeles Dodgers,1,4,1,1,0,0,0,4,2,0
0,Yandy Díaz,Tampa Bay Rays,Texas Rangers,0,4,0,2,0,0,2,4,0,0
1,Luke Raley,Tampa Bay Rays,Texas Rangers,0,2,0,0,0,0,2,2,0,0
2,Randy Arozarena,Tampa Bay Rays,Texas Rangers,0,2,0,0,0,0,1,2,0,0
3,Isaac Paredes,Tampa Bay Rays,Texas Rangers,0,4,0,1,0,0,0,4,1,0
4,Brandon Lowe,Tampa Bay Rays,Texas Rangers,0,4,0,1,0,0,0,4,1,0
5,Jose Siri,Tampa Bay Rays,Texas Rangers,0,4,1,2,1,0,1,4,5,1
6,Josh Lowe,Tampa Bay Rays,Texas Rangers,0,3,0,0,0,1,1,4,0,0
7,Manuel Margot,Tampa Bay Rays,Texas Rangers,0,4,0,2,0,0,1,4,3,0
8,Taylor Walls,Tampa Bay Rays,Texas Rangers,0,3,0,1,0,0,1,3,1,0
9,Francisco Mejía,Tampa Bay Rays,Texas Rangers,0,0,0,0,0,0,0,0,0,0
10,Christian Bethancourt,Tampa Bay Rays,Texas Rangers,0,2,0,1,0,0,0,2,1,0
11,Wander Franco,Tampa Bay Rays,Texas Rangers,0,1,0,0,0,0,1,1,0,0
12,Marcus Semien,Texas Rangers,Tampa Bay Rays,1,4,0,0,0,0,1,4,0,0
13,Corey Seager,Texas Rangers,Tampa Bay Rays,1,4,0,1,0,0,1,4,1,0
14,Nathaniel Lowe,Texas Rangers,Tampa Bay Rays,1,4,1,2,0,0,2,4,3,0
15,Adolis García,Texas Rangers,Tampa Bay Rays,1,3,0,0,0,0,1,4,0,0
16,Josh H. Smith,Texas Rangers,Tampa Bay Rays,1,0,1,0,0,0,0,0,0,0
17,Josh Jung,Texas Rangers,Tampa Bay Rays,1,4,0,1,0,0,0,4,1,0
18,Jonah Heim,Texas Rangers,Tampa Bay Rays,1,4,1,2,3,0,0,4,6,1
19,Travis Jankowski,Texas Rangers,Tampa Bay Rays,1,3,1,1,0,1,0,4,1,0
20,Robbie Grossman,Texas Rangers,Tampa Bay Rays,1,3,0,0,0,1,2,4,0,0
21,Leody Taveras,Texas Rangers,Tampa Bay Rays,1,4,1,2,2,0,0,4,5,1
0,Luis Arraez,Miami Marlins,St. Louis Cardinals,0,5,0,2,1,0,0,5,0,0
1,Jorge Soler,Miami Marlins,St. Louis Cardinals,0,5,1,1,0,0,2,5,0,0
2,Bryan De La Cruz,Miami Marlins,St. Louis Cardinals,0,4,1,2,1,0,0,4,0,1
3,Jesús Sánchez,Miami Marlins,St. Louis Cardinals,0,4,0,1,2,0,0,4,0,0
4,Yuli Gurriel,Miami Marlins,St. Louis Cardinals,0,4,0,0,0,0,0,4,0,0
5,Jon Berti,Miami Marlins,St. Louis Cardinals,0,4,0,3,0,0,0,4,1,0
6,Joey Wendle,Miami Marlins,St. Louis Cardinals,0,2,0,0,0,0,0,2,0,0
7,Garrett Cooper,Miami Marlins,St. Louis Cardinals,0,1,0,0,0,0,1,1,0,0
8,Garrett Hampson,Miami Marlins,St. Louis Cardinals,0,1,1,1,0,0,0,1,1,0
9,Dane Myers,Miami Marlins,St. Louis Cardinals,0,4,0,0,0,0,1,4,0,0
10,Jacob Stallings,Miami Marlins,St. Louis Cardinals,0,3,1,2,0,1,0,4,0,0
11,Brendan Donovan,St. Louis Cardinals,Miami Marlins,1,5,1,1,0,0,1,5,2,0
12,Paul Goldschmidt,St. Louis Cardinals,Miami Marlins,1,4,1,1,0,0,1,4,1,0
13,Lars Nootbaar,St. Louis Cardinals,Miami Marlins,1,3,2,1,0,1,2,4,1,0
14,Nolan Arenado,St. Louis Cardinals,Miami Marlins,1,4,1,2,1,0,0,4,2,0
15,Nolan Gorman,St. Louis Cardinals,Miami Marlins,1,4,1,2,4,0,0,4,5,1
16,Iván Herrera,St. Louis Cardinals,Miami Marlins,1,2,0,1,0,2,1,4,0,0
17,Alec Burleson,St. Louis Cardinals,Miami Marlins,1,4,0,2,0,0,0,4,2,0
18,Paul DeJong,St. Louis Cardinals,Miami Marlins,1,4,0,1,0,0,0,4,1,0
19,Dylan Carlson,St. Louis Cardinals,Miami Marlins,1,4,0,0,0,0,2,4,0,0
0,Mauricio Dubón,Houston Astros,Colorado Rockies,0,4,0,1,1,0,1,4,0,0
1,Jeremy Peña,Houston Astros,Colorado Rockies,0,4,0,0,0,0,1,4,0,0
2,Kyle Tucker,Houston Astros,Colorado Rockies,0,3,1,1,0,1,1,4,2,0
3,Alex Bregman,Houston Astros,Colorado Rockies,0,4,0,0,0,0,0,4,0,0
4,José Abreu,Houston Astros,Colorado Rockies,0,4,1,2,1,0,1,4,0,0
5,Chas McCormick,Houston Astros,Colorado Rockies,0,4,1,2,2,0,1,4,5,1
6,Corey Julks,Houston Astros,Colorado Rockies,0,4,0,0,0,0,2,4,0,0
7,Jake Meyers,Houston Astros,Colorado Rockies,0,4,1,2,0,0,1,4,3,0
8,Martín Maldonado,Houston Astros,Colorado Rockies,0,4,0,0,0,0,0,4,0,0
9,Jurickson Profar,Colorado Rockies,Houston Astros,1,4,0,0,0,0,0,4,0,0
10,Kris Bryant,Colorado Rockies,Houston Astros,1,2,0,0,0,0,0,3,0,0
11,Nolan Jones,Colorado Rockies,Houston Astros,1,1,0,0,0,0,1,1,0,0
12,Ryan McMahon,Colorado Rockies,Houston Astros,1,3,0,0,0,1,2,4,0,0
13,C.J. Cron,Colorado Rockies,Houston Astros,1,4,1,1,1,0,1,4,4,1
14,Elias Díaz,Colorado Rockies,Houston Astros,1,4,0,0,0,0,1,4,0,0
15,Michael Toglia,Colorado Rockies,Houston Astros,1,2,0,1,0,2,0,4,1,0
16,Ezequiel Tovar,Colorado Rockies,Houston Astros,1,3,0,0,0,0,1,3,0,0
17,Harold Castro,Colorado Rockies,Houston Astros,1,3,0,0,0,0,2,3,0,0
18,Brenton Doyle,Colorado Rockies,Houston Astros,1,2,0,0,0,1,0,3,0,0
0,Rob Refsnyder,Boston Red Sox,Oakland Athletics,0,4,2,1,1,1,0,5,1,0
1,Masataka Yoshida,Boston Red Sox,Oakland Athletics,0,4,0,1,0,0,1,4,2,0
2,Justin Turner,Boston Red Sox,Oakland Athletics,0,4,1,1,3,0,0,4,4,1
3,Rafael Devers,Boston Red Sox,Oakland Athletics,0,4,0,0,0,0,1,4,0,0
4,Adam Duvall,Boston Red Sox,Oakland Athletics,0,4,1,2,0,0,1,4,2,0
5,Alex Verdugo,Boston Red Sox,Oakland Athletics,0,3,0,0,0,1,2,4,0,0
6,Enrique Hernández,Boston Red Sox,Oakland Athletics,0,3,0,1,0,0,0,3,0,0
7,Jarren Duran,Boston Red Sox,Oakland Athletics,0,1,0,0,0,0,0,1,0,0
8,Connor Wong,Boston Red Sox,Oakland Athletics,0,2,1,0,0,2,1,4,0,0
