,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,K.Hayes o1.5 Total Bases,AnthonyDabbundo,115,0.58,1.247,Pittsburgh Pirates,K.Hayes,Los Angeles Dodgers,1.0,0.6670000000000001,Y,0.391304347826087,0,0.6,1,0.7,1
1,D.Rasmussen u5.5 Ks,The_Oddsmaker,-120,1.0,1.8333333333333333,Tampa Bay Rays,D.Rasmussen,Houston Astros,1.0,0.8333333333333333,Y,0.4,0,0.4,0,0.4,0
2,V.Pasquantino o0.5 HR,charliedisturco,500,0.1,0.6000000000000001,Kansas City Royals,V.Pasquantino,Arizona Diamondbacks,0.0,0.5000000000000001,N,0.125,0,0.2,0,0.2,0
3,V.Pasquantino o1.5 Total Bases,charliedisturco,105,0.5,1.025,Kansas City Royals,V.Pasquantino,Arizona Diamondbacks,0.0,0.5249999999999999,N,0.4583333333333333,0,0.4,0,0.5,0
4,G.Springer o0.5 Runs Scored,_Collin1,-131,0.66,1.16381679389313,Toronto Blue Jays,G.Springer,Chicago White Sox,1.0,0.50381679389313,N,0.3333333333333333,0,0.2,0,0.2,0
5,N.Cortes o6.5 Ks,_Collin1,120,0.5,1.1,New York Yankees,N.Cortes,Minnesota Twins,0.0,0.6000000000000001,N,0.4,0,0.4,0,0.4,0
6,R.Feltner u3.5 Ks,_Collin1,125,0.5,1.125,Colorado Rockies,R.Feltner,Cleveland Guardians,0.0,0.625,N,0.2,0,0.2,0,0.2,0
7,R.Mountcastle u1.5 Total Bases,_Collin1,-135,0.68,1.1837037037037037,Baltimore Orioles,R.Mountcastle,Boston Red Sox,1.0,0.5037037037037037,N,0.5652173913043478,1,0.6,1,0.8,1
8,A.Santander o1.5 Total Bases,_Collin1,115,0.5,1.075,Baltimore Orioles,A.Santander,Boston Red Sox,1.0,0.575,N,0.38095238095238093,0,0.4,0,0.4,0
9,N.Cortes o6.0 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909087,New York Yankees,N.Cortes,Minnesota Twins,0.0,0.9090909090909088,N,0.4,0,0.4,0,0.4,0
