,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,H.Ramos o0.5 Runs Scored,Thespinzone,155,0.12,0.306,Cincinnati Reds,H.Ramos,Texas Rangers,1.0,0.186,Y,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
1,J.Heim o0.5 RBI,Thespinzone,210,0.08,0.248,Texas Rangers,J.Heim,Cincinnati Reds,0.0,0.1679999999999999,N,0.42105263157894735,0,0.4,0,0.5,0
2,J.Gray o5.5 Ks,PropBetGuy,-120,1.2,2.2,Texas Rangers,J.Gray,Cincinnati Reds,0.0,1.0000000000000002,N,0.2,0,0.2,0,0.2,0
3,A.Vaughn o0.5 RBI,NicholaskMartin,230,0.5,1.65,Chicago White Sox,A.Vaughn,Toronto Blue Jays,0.0,1.15,N,0.4583333333333333,0,0.2,0,0.3,0
4,B.Bichette o1.5 Total Bases,charliedisturco,-115,0.5,0.934782608695652,Toronto Blue Jays,B.Bichette,Chicago White Sox,1.0,0.434782608695652,Y,0.36,0,0.2,0,0.2,0
5,C.Taylor o0.5 RBI,Thespinzone,260,0.05,0.18,Los Angeles Dodgers,C.Taylor,Pittsburgh Pirates,0.0,0.13,N,0.3888888888888889,0,0.2,0,0.3,0
6,C.Taylor o0.5 HR,Thespinzone,950,0.08,0.84,Los Angeles Dodgers,C.Taylor,Pittsburgh Pirates,0.0,0.76,N,0.2777777777777778,0,0.2,0,0.3,0
7,A.Pollock o0.5 RBI,Thespinzone,240,0.08,0.272,Seattle Mariners,A.Pollock,Philadelphia Phillies,0.0,0.192,N,0.2,0,0.2,0,0.2,0
8,L.Gilbert o5.5 Ks,PropBetGuy,-130,1.0,1.7692307692307692,Seattle Mariners,L.Gilbert,Philadelphia Phillies,0.0,0.7692307692307692,Y,1.0,1,1.0,1,1.0,1
9,Z.Gallen u6.5 Ks,cowhitchurch,-110,0.55,1.05,Arizona Diamondbacks,Z.Gallen,Kansas City Royals,1.0,0.5,N,0.16666666666666666,0,0.2,0,0.16666666666666666,0
10,Z.Gallen u6.5 Ks,The_Oddsmaker,108,1.0,2.08,Arizona Diamondbacks,Z.Gallen,Kansas City Royals,1.0,1.08,N,0.16666666666666666,0,0.2,0,0.16666666666666666,0
11,Z.Gallen u6.5 Ks,AnthonyDabbundo,100,1.0,2.0,Arizona Diamondbacks,Z.Gallen,Kansas City Royals,1.0,1.0,N,0.16666666666666666,0,0.2,0,0.16666666666666666,0
12,M.Machado o1.5 Total Bases,charliedisturco,120,0.6,1.32,San Diego Padres,M.Machado,Chicago Cubs,0.0,0.7200000000000001,Y,0.24,0,0.2,0,0.1,0
13,T.Houck o4.5 Ks,The_Oddsmaker,110,1.0,2.1,Boston Red Sox,T.Houck,Baltimore Orioles,0.0,1.1,N,0.6,1,0.6,1,0.6,1
14,T.Walls o0.5 Runs Scored,Thespinzone,180,0.08,0.2239999999999999,Tampa Bay Rays,T.Walls,Houston Astros,1.0,0.1439999999999999,N,0.625,1,0.4,0,0.6,1
15,D.Smyly o4.5 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909087,Chicago Cubs,D.Smyly,San Diego Padres,1.0,0.9090909090909088,N,0.4,0,0.4,0,0.4,0
