,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,C.Bethancourt o0.5 Runs Scored,Thespinzone,135,0.2,0.47,Tampa Bay Rays,C.Bethancourt,Texas Rangers,1.0,0.27,Y,0.4523809523809524,0,0.6,1,0.6,1
1,W.Franco o0.5 Runs Scored,Thespinzone,105,0.1,0.205,Tampa Bay Rays,W.Franco,Texas Rangers,1.0,0.1049999999999999,N,0.47540983606557374,0,0.4,0,0.5,0
2,J.Siri o0.5 HR,Thespinzone,560,0.04,0.264,Tampa Bay Rays,J.Siri,Texas Rangers,1.0,0.224,N,0.24324324324324326,0,0.2,0,0.2,0
3,C.Bethancourt o0.5 HR,Thespinzone,520,0.04,0.248,Tampa Bay Rays,C.Bethancourt,Texas Rangers,1.0,0.208,N,0.14285714285714285,0,0.0,0,0.0,0
4,R.Arozarena o0.5 RBI,Thespinzone,155,0.1,0.255,Tampa Bay Rays,R.Arozarena,Texas Rangers,1.0,0.155,N,0.4032258064516129,0,0.4,0,0.3,0
5,R.Arozarena o0.5 HR,Thespinzone,400,0.04,0.2,Tampa Bay Rays,R.Arozarena,Texas Rangers,1.0,0.16,N,0.14516129032258066,0,0.2,0,0.1,0
6,C.Seager o0.5 RBI,Thespinzone,185,0.1,0.285,Texas Rangers,C.Seager,Tampa Bay Rays,0.0,0.185,N,0.4838709677419355,0,0.2,0,0.4,0
7,J.Heim o0.5 RBI,Thespinzone,220,0.1,0.32,Texas Rangers,J.Heim,Tampa Bay Rays,0.0,0.22,N,0.4716981132075472,0,0.4,0,0.4,0
8,W.Franco o1.5 Total Bases,PropBetGuy,115,1.5,3.225,Tampa Bay Rays,W.Franco,Texas Rangers,1.0,1.7249999999999996,N,0.39344262295081966,0,0.4,0,0.5,0
9,W.Smith o0.5 Runs Scored,Thespinzone,-102,0.15,0.2970588235294117,Los Angeles Dodgers,W.Smith,Philadelphia Phillies,0.0,0.1470588235294117,N,0.5777777777777777,1,0.2,0,0.4,0
10,B.Stott o0.5 Runs Scored,Thespinzone,160,0.15,0.39,Philadelphia Phillies,B.Stott,Los Angeles Dodgers,1.0,0.24,N,0.31666666666666665,0,0.2,0,0.2,0
11,B.Marsh o0.5 Runs Scored,Thespinzone,163,0.1,0.263,Philadelphia Phillies,B.Marsh,Los Angeles Dodgers,1.0,0.163,N,0.3559322033898305,0,0.2,0,0.3,0
12,B.Harper o0.5 Runs Scored,Thespinzone,-115,0.15,0.2804347826086956,Philadelphia Phillies,B.Harper,Los Angeles Dodgers,1.0,0.1304347826086956,N,0.5625,1,0.4,0,0.4,0
13,C.Taylor o0.5 HR,Thespinzone,600,0.04,0.28,Los Angeles Dodgers,C.Taylor,Philadelphia Phillies,0.0,0.24,N,0.13725490196078433,0,0.0,0,0.1,0
14,A.Verdugo o0.5 Runs Scored,Thespinzone,133,0.1,0.233,Boston Red Sox,A.Verdugo,New York Yankees,0.0,0.133,N,0.5666666666666667,1,0.4,0,0.3,0
15,A.Verdugo o1.5 Total Bases,charliedisturco,165,0.83,2.1995,Boston Red Sox,A.Verdugo,New York Yankees,0.0,1.3695,Y,0.45,0,0.4,0,0.5,0
16,A.Verdugo o0.5 HR,charliedisturco,925,0.1,1.025,Boston Red Sox,A.Verdugo,New York Yankees,0.0,0.9250000000000002,N,0.08333333333333333,0,0.0,0,0.0,0
17,S.Marte o0.5 HR,cowhitchurch,630,0.1,0.73,New York Mets,S.Marte,Pittsburgh Pirates,0.0,0.63,N,0.05084745762711865,0,0.2,0,0.1,0
18,S.Marte o1.5 Total Bases,cowhitchurch,130,0.65,1.495,New York Mets,S.Marte,Pittsburgh Pirates,0.0,0.8449999999999999,Y,0.3220338983050847,0,0.6,1,0.4,0
19,T.Pham o0.5 HR,charliedisturco,680,0.1,0.78,New York Mets,T.Pham,Pittsburgh Pirates,0.0,0.68,N,0.06976744186046512,0,0.4,0,0.2,0
20,T.Pham o1.5 Total Bases,charliedisturco,155,0.78,1.989,New York Mets,T.Pham,Pittsburgh Pirates,0.0,1.209,Y,0.23255813953488372,0,0.8,1,0.5,0
21,Y.Darvish u5.5 Ks,The_Oddsmaker,100,1.0,2.0,San Diego Padres,Y.Darvish,Colorado Rockies,0.0,1.0,N,0.4166666666666667,0,0.4,0,0.3,0
22,C.Carroll o0.5 Runs Scored,Thespinzone,102,0.15,0.303,Arizona Diamondbacks,C.Carroll,Detroit Tigers,0.0,0.153,Y,0.5333333333333333,1,0.8,1,0.7,1
23,K.Marte o0.5 Runs Scored,Thespinzone,120,0.18,0.396,Arizona Diamondbacks,K.Marte,Detroit Tigers,0.0,0.216,Y,0.5254237288135594,1,0.8,1,0.8,1
24,J.Wiemer o0.5 RBI,Thespinzone,160,0.1,0.26,Milwaukee Brewers,J.Wiemer,Oakland Athletics,1.0,0.16,N,0.20967741935483872,0,0.4,0,0.4,0
25,S.Perez o0.5 RBI,Thespinzone,180,0.1,0.2799999999999999,Kansas City Royals,S.Perez,Baltimore Orioles,0.0,0.1799999999999999,N,0.40350877192982454,0,0.2,0,0.2,0
26,J.Mateo o0.5 Runs Scored,Thespinzone,155,0.1,0.255,Baltimore Orioles,J.Mateo,Kansas City Royals,1.0,0.155,N,0.48214285714285715,0,0.6,1,0.5,0
27,C.Yelich o0.5 hits,Teddy Ricketson,-250,1.0,1.4,Milwaukee Brewers,C.Yelich,Oakland Athletics,1.0,,N,0.6229508196721312,1,0.6,1,0.7,1
