,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,A.Nola u7.5 Ks,The_Oddsmaker,-150,1.0,1.6666666666666663,Philadelphia Phillies,A.Nola,New York Yankees,0.0,0.6666666666666663,Y,1.0,1,1.0,1,1.0,1
1,A.Rizzo o0.5 HR,GDAWG5000,625,0.1,0.7250000000000001,New York Yankees,A.Rizzo,Philadelphia Phillies,1.0,0.6250000000000001,N,0.2,0,0.2,0,0.2,0
3,C.Flexen o3.5 Ks,The_Oddsmaker,-105,1.0,1.9523809523809523,Seattle Mariners,C.Flexen,Los Angeles Angels,1.0,0.9523809523809524,Y,0.5,0,0.5,0,0.5,0
4,A.Kirk o0.5 RBI,NicholaskMartin,205,0.25,0.7625,Toronto Blue Jays,A.Kirk,Kansas City Royals,0.0,0.5125,N,0.25,0,0.25,0,0.25,0
5,G.Springer o0.5 HR,NicholaskMartin,650,0.15,1.125,Toronto Blue Jays,G.Springer,Kansas City Royals,0.0,0.975,N,0.0,0,0.0,0,0.0,0
6,P.Corbin o3.5 Ks,Thespinzone,125,0.12,0.27,Washington Nationals,P.Corbin,Tampa Bay Rays,1.0,0.15,N,0.0,0,0.0,0,0.0,0
7,A.Bregman o1.5 Total Bases,charliedisturco,120,0.5,1.1,Houston Astros,A.Bregman,Detroit Tigers,1.0,0.6000000000000001,N,0.14285714285714285,0,0.2,0,0.14285714285714285,0
8,D.Cease o7.5 Ks,JoeDellera,100,0.25,0.5,Chicago White Sox,D.Cease,San Francisco Giants,1.0,0.25,Y,1.0,1,1.0,1,1.0,1
9,D.Cease o7.5 Ks,PropBetGuy,-126,1.0,1.7936507936507935,Chicago White Sox,D.Cease,San Francisco Giants,1.0,0.7936507936507935,Y,1.0,1,1.0,1,1.0,1
10,M.Mikolas u4.5 Ks,The_Oddsmaker,-115,1.15,2.1499999999999995,St. Louis Cardinals,M.Mikolas,Atlanta Braves,1.0,0.9999999999999996,N,0.0,0,0.0,0,0.0,0
11,B.Elder o3.5 Ks,jimsannes,-130,0.77,1.3623076923076922,Atlanta Braves,B.Elder,St. Louis Cardinals,0.0,0.5923076923076922,Y,1.0,1,1.0,1,1.0,1
12,M.Chapman o0.5 hits,Teddy Ricketson,-185,1.0,1.5405405405405406,Toronto Blue Jays,M.Chapman,Kansas City Royals,0.0,0.5405405405405406,Y,0.8333333333333334,1,0.8,1,0.8333333333333334,1
13,S.Ohtani o7.5 strikeouts,Teddy Ricketson,-125,1.0,1.8,Los Angeles Angels,S.Ohtani,Seattle Mariners,0.0,0.8,Y,1.0,1,1.0,1,1.0,1
14,K.Muller u5.5 hits allowed,Teddy Ricketson,-150,1.0,1.6666666666666663,Oakland Athletics,K.Muller,Cleveland Guardians,1.0,0.6666666666666663,Y,1.0,1,1.0,1,1.0,1
15,D.Cease o7.5 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909087,Chicago White Sox,D.Cease,San Francisco Giants,1.0,0.9090909090909088,Y,1.0,1,1.0,1,1.0,1
