,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
0,A.Frazier o0.5 Runs Scored,Thespinzone,120,0.09,A.Frazier,0.198,0.108,Baltimore Orioles,New York Yankees,0.0
1,C.Morel o0.5 Runs Scored,Thespinzone,150,0.08,C.Morel,0.2,0.12,Chicago Cubs,New York Mets,1.0
