,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
0,Y.Diaz o0.5 Runs Scored,Thespinzone,-110,0.11,0.21,0.1,Y.Diaz,Houston Astros,Seattle Mariners,1.0
1,C.Bellinger o0.5 Runs Scored,Thespinzone,195,0.1,0.295,0.195,C.Bellinger,Chicago Cubs,New York Yankees,0.0
2,K.Tucker o0.5 Runs Scored,Thespinzone,133,0.08,0.1864,0.1064,K.Tucker,Houston Astros,Seattle Mariners,1.0
